Ticker,Name,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Rating (1M),Rating (3M),Rating (6M),Rating (9M),Price,52W pos,MA10,MA30,Volume / VMA10
8937,合騏,143.47,131.24,124.34,50.49,-16.26,-2.89,99,99,96,30,61,89.1,1.0,71.14,42.9,0.77
2543,皇昌,136.46,122.91,83.94,88.71,95.65,67.85,99,98,98,99,98,96.4,1.0,69.6,50.31,0.69
4583,台灣精銳,109.91,115.99,116.21,5.66,1.58,-12.1,99,99,80,75,28,782.0,0.94,709.4,432.88,0.51
3230,錦明,107.35,118.16,192.65,65.97,-4.47,-21.35,99,99,97,63,7,46.8,0.79,50.31,29.12,0.36
6609,瀧澤科,99.05,120.94,88.6,18.28,-9.3,-16.7,99,98,88,52,15,105.0,0.87,91.4,60.51,0.46
4569,六方科-KY,96.57,104.55,116.73,-9.88,-9.66,-10.22,99,99,55,51,34,261.0,0.94,228.2,142.94,3.27
8032,光菱,90.7,93.72,21.01,-17.93,-17.14,-7.37,99,91,29,27,47,68.6,0.96,45.26,34.27,1.93
6442,光聖,90.62,98.15,74.68,178.2,41.24,13.63,99,98,99,95,87,469.5,0.87,403.8,334.28,0.88
3450,聯鈞,89.45,98.67,81.98,53.92,-0.73,15.94,99,98,96,71,88,213.5,0.91,194.35,133.74,0.83
6535,順藥,88.99,91.38,82.02,49.91,71.09,94.95,99,98,96,98,99,380.0,0.99,302.35,237.13,0.8
3081,聯亞,86.87,108.2,78.27,-8.49,-4.53,-14.27,99,98,58,62,21,322.5,0.86,280.5,184.55,0.84
3167,大量,86.45,82.99,93.99,8.83,7.54,6.18,98,99,83,82,80,149.5,0.93,125.65,85.92,1.01
3447,展達,86.43,80.45,-5.88,-23.86,-36.55,-25.0,98,64,14,2,4,79.2,1.0,49.75,38.39,3.27
3013,晟銘電,82.57,82.46,69.28,68.99,40.89,9.26,98,98,97,95,84,162.5,1.0,132.5,106.64,0.76
2424,隴華,77.88,91.89,64.46,-22.04,-26.03,-10.9,98,97,17,10,32,73.4,0.88,67.38,42.29,0.32
8374,羅昇,75.08,77.28,115.77,169.24,-9.74,-14.74,98,99,99,51,20,129.0,0.81,136.75,99.32,0.1
3581,博磊,75.06,69.54,56.74,10.16,-9.97,3.86,98,97,84,50,76,71.9,1.0,59.12,44.1,1.5
5438,東友,74.52,58.74,24.12,-14.84,-12.11,-10.73,98,93,40,44,32,37.8,1.0,25.76,20.54,1.05
1595,川寶,73.8,51.77,3.35,-14.52,-21.27,-14.1,98,78,41,16,21,78.2,1.0,53.48,42.67,0.67
6199,天品,73.74,74.4,56.61,10.63,26.9,34.14,98,97,84,92,95,68.3,0.99,58.78,42.48,1.37
6151,晉倫,73.46,75.59,26.54,-2.11,-16.27,-9.24,98,93,70,30,38,60.7,0.97,46.4,34.92,0.15
8080,印鉐,63.43,75.81,71.52,8.82,38.41,0.35,98,98,83,94,69,32.65,0.86,34.16,22.53,0.17
4903,聯光通,62.27,88.05,56.02,25.87,-15.73,-11.01,98,97,91,31,31,42.35,0.73,39.05,28.82,0.31
4991,環宇-KY,61.44,50.15,4.05,-10.44,-20.76,-15.33,98,79,53,18,18,67.0,1.0,48.93,41.93,0.76
6706,惠特,60.87,67.14,78.67,43.69,-34.89,-21.21,98,98,95,3,8,162.5,0.91,161.56,115.12,0.26
6223,旺矽,60.76,61.95,67.91,59.18,53.41,33.52,98,98,97,96,95,805.0,0.97,780.5,609.8,0.52
4562,穎漢,60.06,66.45,86.94,127.71,4.15,-13.24,98,98,99,78,24,64.5,0.77,67.45,53.97,0.2
6763,綠界科技*,59.32,60.04,-12.65,-19.32,-25.28,-4.71,98,46,24,11,56,82.0,0.97,55.39,47.32,0.68
