Ticker,Name,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Rating (1M),Rating (3M),Rating (6M),Rating (9M),Price,52W pos,MA10,MA30,Volume / VMA10
8937,合騏,166.05,156.89,111.93,50.14,-17.39,-4.47,99,99,95,25,57,103.0,1.0,75.38,45.82,0.6
3230,錦明,141.58,127.22,187.03,68.2,1.53,-9.85,99,99,97,74,36,57.8,1.0,51.7,30.87,1.29
8032,光菱,132.4,109.2,13.08,-17.0,-16.74,-8.32,99,87,28,27,42,87.5,1.0,51.9,36.41,2.64
3450,聯鈞,114.87,96.62,90.43,46.95,-0.0,18.55,99,98,95,71,89,254.0,1.0,203.2,140.01,1.26
2543,皇昌,112.79,130.05,94.3,81.54,125.26,63.73,99,98,98,99,97,91.1,0.97,72.37,52.28,0.49
4583,台灣精銳,106.17,104.33,100.4,27.38,2.22,-11.97,99,99,92,75,29,800.0,0.97,732.3,450.55,0.51
3081,聯亞,103.46,98.63,124.85,-17.62,1.4,5.28,99,99,26,73,77,367.0,1.0,301.75,192.92,0.07
3447,展達,101.63,94.47,-1.74,-20.71,-36.5,-24.54,99,70,18,2,5,88.6,1.0,54.9,40.37,0.35
6609,瀧澤科,97.38,102.12,80.04,22.81,-7.51,-15.6,99,98,90,55,17,108.5,0.91,95.03,63.0,0.4
6442,光聖,96.91,99.55,68.04,202.14,73.89,39.57,99,98,99,98,95,510.0,0.95,416.2,347.25,0.77
4991,環宇-KY,96.43,77.33,7.72,-5.07,-18.4,-16.9,99,82,64,22,15,84.6,1.0,54.18,43.99,5.14
5438,東友,89.58,81.52,12.54,-14.03,-12.45,-11.79,98,86,38,41,29,42.5,1.0,28.45,21.38,2.16
2424,隴華,87.87,90.58,77.99,-15.63,-28.73,-12.88,98,98,32,6,26,80.4,1.0,71.1,44.19,0.18
4903,聯光通,84.52,78.11,94.13,29.75,-16.61,-12.52,98,98,93,28,27,50.2,0.92,41.79,30.08,1.27
3167,大量,83.42,81.95,98.09,12.15,11.97,19.33,98,99,85,84,89,152.5,0.95,131.69,88.69,0.75
8374,羅昇,76.99,76.04,106.9,164.59,-10.74,-14.14,98,99,99,47,21,136.0,0.86,136.6,102.81,0.4
3013,晟銘電,76.39,77.99,57.7,49.09,40.81,13.21,98,97,95,94,85,163.0,1.0,136.95,109.45,0.71
4569,六方科-KY,74.69,83.08,116.02,-8.75,-12.83,-7.19,98,99,55,40,48,239.0,0.82,238.9,147.03,0.75
4950,牧東,71.55,42.99,43.82,-26.95,-45.11,-55.16,98,96,8,1,1,15.0,0.5,12.53,8.62,0.82
8249,菱光,69.1,69.12,44.0,-18.16,-15.64,-10.85,98,96,25,30,32,72.0,1.0,59.97,41.74,1.91
6151,晉倫,67.37,74.86,31.64,0.87,-14.88,-7.54,98,94,74,33,46,60.4,0.96,47.71,36.07,0.21
6199,天品,67.1,74.78,52.36,67.45,15.7,29.42,98,97,97,87,92,68.2,0.99,59.99,43.96,0.76
6535,順藥,65.8,80.41,75.94,60.47,63.88,127.73,98,98,96,97,99,347.0,0.9,309.15,241.5,0.74
6706,惠特,64.2,73.13,86.09,45.31,-31.48,-23.15,98,98,95,4,6,172.0,0.98,166.11,119.52,0.35
1736,喬山,63.5,53.91,58.18,25.95,3.45,-13.95,98,97,91,76,22,173.0,1.0,145.35,114.35,1.19
6658,聯策,63.23,72.21,32.51,31.16,-12.4,1.51,98,94,93,41,70,101.0,0.91,83.45,65.44,0.98
3581,博磊,61.05,75.6,52.84,12.38,-11.55,6.12,98,97,85,44,79,68.3,0.93,60.99,45.37,0.31
6223,旺矽,60.2,57.93,62.06,49.3,50.99,40.38,98,97,95,96,95,832.0,1.0,785.3,623.4,0.46
6763,綠界科技*,59.58,65.05,-13.58,-16.28,-23.64,-16.68,98,36,30,12,15,84.4,0.99,59.21,48.87,0.26
4562,穎漢,59.57,59.13,79.32,151.11,-3.73,-13.02,98,98,99,64,25,66.8,0.8,66.9,55.59,0.54
4807,日成-KY,59.09,48.31,21.84,-10.42,-14.76,-18.25,98,91,50,33,12,34.75,1.0,26.0,21.05,3.33
6739,竹陞科技,58.46,56.27,56.87,62.05,30.03,7.53,97,97,97,92,81,190.0,0.85,189.0,138.86,0.49
6231,系微,57.46,56.05,61.54,61.25,13.09,45.14,97,97,96,85,96,547.0,0.95,523.4,397.47,0.38
3293,鈊象,55.7,60.66,63.76,43.54,18.01,24.75,97,98,95,88,91,1050.0,0.97,962.8,746.13,0.44
8028,昇陽半導體,55.44,50.45,52.31,61.37,-13.98,-16.64,97,97,96,36,15,139.5,1.0,129.2,103.66,0.75
4510,高鋒,55.37,54.79,77.12,92.18,-8.48,-7.04,97,98,98,53,48,43.3,0.79,45.75,32.07,0.27
5443,均豪,55.15,55.73,102.71,85.33,32.03,3.46,97,99,98,93,74,127.0,0.81,136.45,100.22,0.42
8080,印鉐,54.61,65.16,83.43,9.48,35.85,57.9,97,98,83,93,97,32.05,0.84,33.85,23.1,0.22
4576,大銀微系統,54.51,58.78,16.41,-4.62,-8.84,-14.6,97,89,65,52,20,140.5,0.95,115.77,90.7,0.12
6768,志強-KY,53.3,41.26,17.57,17.98,7.71,-6.69,97,89,88,81,49,146.0,1.0,108.41,96.61,3.93
4563,百德,52.29,48.49,96.26,11.07,-17.71,-7.92,97,98,84,24,44,109.0,0.81,108.8,76.0,0.13
8111,立碁,51.23,55.01,71.02,-6.05,1.88,2.2,97,98,62,74,72,42.6,0.93,38.09,28.45,0.79
6791,虎門科技,51.06,41.57,-9.17,-11.28,-19.96,-16.95,97,53,48,18,15,154.5,1.0,104.85,92.36,1.9
6438,迅得,51.01,45.06,23.64,-9.57,-3.53,-8.73,97,92,53,64,41,213.0,1.0,170.0,136.33,0.82
6405,悅城,50.98,46.91,38.5,-14.7,-18.15,-4.34,97,95,35,23,57,47.15,0.99,41.17,30.24,0.65
8064,東捷,49.4,54.54,45.26,94.61,27.7,5.95,97,96,98,91,78,63.7,0.92,60.09,50.87,0.6
6187,萬潤,48.16,60.24,87.43,26.28,47.2,71.65,97,98,91,96,98,447.0,0.89,457.35,333.73,0.72
2467,志聖,47.07,38.86,54.71,67.59,64.78,56.12,97,97,97,97,97,233.5,0.93,220.3,185.08,1.21
6854,錼創科技-KY創,46.59,50.09,2.21,-35.79,-26.9,-16.53,97,76,2,7,16,151.0,0.93,115.67,88.82,1.15
2070,精湛,46.15,53.63,111.15,73.31,-10.22,-7.4,97,99,97,48,47,82.6,0.63,95.55,64.7,0.11
6640,均華,46.1,29.74,95.56,149.09,98.06,49.5,97,98,99,98,96,790.0,0.79,870.7,699.98,1.26
2360,致茂,45.72,38.65,22.26,3.8,-6.53,-15.91,97,91,77,58,17,460.0,1.0,389.95,324.52,0.64
1235,興泰,45.27,49.0,50.88,15.6,-9.34,3.51,96,97,87,51,74,159.5,1.0,147.15,112.17,1.33
6134,萬旭,43.59,62.73,25.9,-11.9,-15.97,-11.99,96,92,46,29,29,38.05,0.84,33.79,26.2,1.14
1595,川寶,43.23,57.26,27.89,-14.47,-19.78,-13.53,96,93,36,19,23,65.7,0.79,55.29,43.41,0.67
1540,喬福,42.02,43.97,70.85,66.59,0.96,-6.48,96,98,97,72,50,41.7,0.82,44.4,32.86,0.18
5278,尚凡,41.83,37.82,19.2,-2.49,5.6,9.05,96,90,69,79,82,311.5,1.0,263.75,215.51,1.52
