Ticker,Name,Sector,Industry,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Price,MA10,MA30,Volume / VMA10,EPS RS (%),TTM EPS,Rev RS (%),TTM RPS,TTM PE
3567,逸昌,Technology,Semiconductors,-28.89,-25.9,-21.59,-17.58,-4.26,13.99,7,32.8,34.28,38.79,0.78,-32.96,2.74,-22.49,11.108,11.97
2239,英利-KY,Consumer Cyclical,Auto Parts,-28.91,-19.27,-31.99,-30.8,-25.23,-17.89,7,45.1,45.39,52.05,0.68,-379.0,2.2,-16.81,196.65,20.5
3037,欣興,Technology,Electronic Components,-28.91,-27.88,-26.66,-21.33,-5.96,-7.22,7,141.0,150.1,173.48,0.91,-50.6,6.18,-5.4,70.098,22.82
1323,永裕,Consumer Cyclical,Packaging & Containers,-28.92,-22.1,-14.16,-24.65,-17.04,-9.55,7,25.1,28.38,29.94,1.6,12.46,0.95,-11.69,35.407,26.42
8437,大地-KY,Consumer Defensive,Education & Training Services,-28.95,-21.87,-37.3,-57.95,-62.33,-47.84,7,30.55,29.9,30.54,1.6,-492.36,-0.52,-45.37,7.75,
5210,寶碩,Technology,Software—Application,-28.96,-26.13,-41.41,-33.39,9.63,62.72,7,30.9,26.87,31.85,0.7,-47.89,-2.07,-45.29,4.289,
3038,全台,Technology,Electronic Components,-29.02,-24.98,-22.88,-25.15,-14.41,-4.58,7,25.0,26.67,29.88,1.17,-44.59,2.7,-14.94,26.497,9.26
2515,中工,Industrials,Engineering & Construction,-29.02,-21.62,-18.41,-7.22,17.58,21.15,7,11.15,12.81,14.82,1.33,4.93,0.4,-7.28,13.234,27.87
8420,明揚,Consumer Cyclical,Leisure,-29.04,-28.3,-29.67,-45.69,-31.79,-29.16,7,41.9,42.59,45.06,1.52,205.09,-19.35,-11.36,20.143,
4113,聯上,Industrials,Engineering & Construction,-29.1,-27.81,5.86,16.94,29.04,49.91,7,32.35,41.76,46.67,0.61,197.35,2.43,127.76,18.216,13.31
5351,鈺創,Technology,Semiconductor Equipment & Materials,-29.19,-25.18,-31.85,-17.0,-2.97,9.58,7,38.55,38.08,45.1,1.46,72.06,-2.84,16.22,11.13,
2331,精英,Technology,Computer Hardware,-29.28,-27.06,-29.48,-11.32,-11.09,9.57,7,24.2,25.18,29.66,0.41,-289.0,1.14,5.77,30.912,21.23
6708,天擎,Technology,Communication Equipment,-29.44,-25.16,-22.33,-23.92,-22.06,-10.96,7,37.6,40.23,43.01,1.77,609.9,-0.47,6.63,6.649,
2740,天蔥,Consumer Cyclical,Restaurants,-29.44,-28.47,-35.55,-38.0,-24.6,-13.05,7,29.0,27.9,32.09,0.21,4.37,-3.05,-4.71,7.818,
4164,承業醫,Healthcare,Medical Distribution,-29.45,-29.66,-33.8,-30.08,-16.39,-8.2,7,44.7,43.65,50.24,2.32,10.52,1.5,-9.37,22.893,29.8
2743,山富,Consumer Cyclical,Travel Services,-29.48,-28.69,-24.03,-6.62,-16.66,15.59,6,105.0,111.15,132.97,0.3,-519.51,10.89,-9.21,187.032,9.64
2712,遠雄來,Consumer Cyclical,Resorts & Casinos,-29.48,-27.16,-26.08,-31.22,-24.7,-8.37,6,25.95,27.06,29.3,1.35,-655.11,-0.5,-333.4,4.852,
6243,迅杰,Technology,Semiconductors,-29.52,-25.04,-33.01,-22.57,1.02,50.49,6,51.5,50.4,57.45,0.59,-106.19,1.29,-15.69,17.746,39.92
5465,富驊,Technology,Computer Hardware,-29.65,-28.43,-28.88,-29.31,-10.16,10.27,6,33.95,33.71,38.39,0.32,19.99,1.78,-31.12,34.296,19.07
2369,菱生,Technology,Semiconductor Equipment & Materials,-29.67,-25.91,-24.68,-12.17,3.65,17.58,6,18.1,19.09,21.56,1.07,746.8,-0.56,-13.81,15.287,
2482,連宇,Industrials,Business Equipment & Supplies,-29.87,-26.02,-28.25,-17.26,-43.19,-29.19,6,28.75,30.28,33.69,0.78,-17322.65,0.75,-31.57,10.025,38.33
6141,柏承,Technology,Electronic Components,-29.94,-26.1,-29.28,-18.73,-12.3,-10.07,6,13.45,14.01,16.16,0.69,-25.34,-6.7,-26.11,23.73,
6756,威鋒電子,Technology,Electronic Components,-30.06,-26.34,-31.82,-28.78,-17.08,15.62,6,172.0,170.05,189.6,0.95,-25.25,2.7,-8.85,28.216,63.7
6875,國邑*,Healthcare,Biotechnology,-30.06,-22.05,-29.25,-39.65,-23.52,-6.98,6,64.8,62.47,69.08,2.05,-214.41,0.35,-759.27,2.709,185.14
6203,海韻電,Technology,Electronic Components,-30.06,-20.64,-25.62,-26.65,-19.42,5.93,6,70.5,74.7,81.81,0.96,-118.29,6.14,-29.32,34.384,11.48
3704,合勤控,Technology,Communication Equipment,-30.09,-25.29,-27.61,-34.92,-16.27,1.11,6,35.9,36.45,39.82,1.51,-31.18,1.85,-11.76,65.95,19.41
3152,璟德,Technology,Communication Equipment,-30.18,-28.32,-32.01,-26.04,-8.16,2.58,6,171.5,171.0,197.85,0.72,-12.95,5.73,-10.13,23.431,29.93
1471,首利,Technology,Computer Hardware,-30.19,-27.6,-28.79,-25.8,-12.64,14.78,6,12.85,13.58,14.91,0.79,-120.25,0.02,4.61,1.819,642.5
6213,聯茂,Technology,Electronic Components,-30.25,-29.01,-28.22,14.48,20.28,3.35,6,74.2,75.74,97.89,0.48,-5.66,2.51,1.87,74.774,29.56
6684,安格,Technology,Semiconductor Equipment & Materials,-30.28,-28.66,-27.69,-6.01,26.75,39.72,6,66.0,68.03,79.69,0.4,62.78,-4.64,-15.86,9.616,
6129,普誠,Technology,Semiconductors,-30.51,-27.12,-30.68,-27.99,-25.45,-10.65,6,21.25,21.54,23.9,0.71,-189.94,0.62,-25.67,7.591,34.27
4137,麗豐-KY,Consumer Defensive,Household & Personal Products,-30.54,-26.56,-35.11,-34.74,-13.67,-9.96,6,141.5,137.85,160.65,2.15,-6.42,9.54,-10.54,56.052,14.83
6285,啟碁,Technology,Communication Equipment,-30.71,-29.41,-29.79,-18.61,6.25,29.76,6,114.0,117.9,140.8,0.5,-6.8,9.09,-3.44,252.453,12.54
8044,網家,Consumer Cyclical,Internet Retail,-30.71,-28.87,-31.22,-31.23,-39.06,-22.07,6,29.7,29.99,32.17,1.27,2.25,-4.64,-28.37,285.959,
3276,宇環,Technology,Electronic Components,-30.74,-27.26,-27.95,-27.1,-11.82,26.99,5,16.45,16.66,17.93,1.36,-479.17,0.34,-63.54,19.649,48.38
4439,冠星-KY,Consumer Cyclical,Textile Manufacturing,-31.04,-28.58,-29.59,-30.45,-30.28,-3.13,5,90.6,94.03,102.66,0.61,-37.94,4.55,8.79,135.487,19.91
5425,台半,Technology,Semiconductors,-31.08,-29.03,-29.35,-25.49,-25.89,-14.06,5,60.9,62.8,70.67,0.89,-34.75,2.26,-7.69,56.342,26.95
3035,智原,Technology,Semiconductor Equipment & Materials,-31.11,-31.92,-30.24,-20.32,-5.68,38.83,5,267.5,274.95,301.65,0.76,-28.08,4.79,-14.03,43.768,55.85
8478,東哥遊艇,Consumer Cyclical,Recreational Vehicles,-31.11,-29.52,-29.4,-22.47,-18.96,-20.93,5,287.0,298.95,352.51,0.64,-1.43,22.79,-9.77,77.476,12.59
2941,米斯特,Consumer Cyclical,Internet Retail,-31.28,-31.54,-30.42,-31.99,-24.07,29.92,5,80.0,80.89,86.54,0.11,-20.79,3.63,-5.79,53.886,22.04
6792,詠業,Technology,Electronic Components,-31.4,-27.73,-29.97,-30.34,-18.16,-4.4,5,65.1,66.81,75.51,1.09,-104.29,3.17,-17.31,28.204,20.54
1591,駿吉-KY,Industrials,Tools & Accessories,-31.48,-27.05,-18.58,1.98,28.23,28.98,5,44.0,50.03,60.78,0.71,0.83,-1.6,74.9,4.325,
1796,金穎生技,Healthcare,Drug Manufacturers—Specialty & Generic,-31.68,-33.64,-38.31,-32.16,-37.59,-26.65,5,50.0,48.48,56.4,1.36,-237.75,0.78,-42.18,14.771,64.1
4121,優盛,Healthcare,Medical Devices,-31.79,-29.09,-30.32,-28.02,-17.85,-8.78,5,18.1,18.56,21.55,0.9,-1307.74,-0.21,-9.45,44.768,
6108,競國,Technology,Electronic Components,-31.8,-26.48,-20.24,-21.09,-6.53,14.31,5,16.05,17.85,19.62,2.77,-5281.83,0.28,-18.57,36.031,57.32
5701,劍湖山,Consumer Cyclical,Leisure,-31.87,-29.19,-29.33,-34.06,-36.28,-19.58,5,4.84,4.94,5.54,0.96,-112.4,-0.38,-34.88,3.798,
3693,營邦,Technology,Computer Hardware,-32.03,-27.1,-20.44,-23.95,-20.6,19.11,5,315.5,364.55,362.97,0.8,-25.05,26.79,-16.07,233.642,11.78
4966,譜瑞-KY,Technology,Semiconductors,-32.43,-31.64,-31.82,-31.59,-26.63,-0.19,5,736.0,751.5,798.5,0.64,-11.44,29.96,-7.55,191.735,24.57
6770,力積電,Technology,Semiconductors,-32.53,-29.97,-30.98,-23.72,-25.24,-5.12,5,20.15,21.09,23.77,0.69,-156.75,-1.18,-7.82,10.604,
2344,華邦電,Technology,Semiconductors,-32.66,-28.93,-26.95,-24.52,-16.15,4.17,5,20.05,21.95,24.31,0.83,710.66,0.17,-3.05,19.539,117.94
3006,晶豪科,Technology,Semiconductors,-32.68,-29.51,-31.71,-11.2,-15.55,5.61,5,69.2,74.53,85.97,0.64,1306.05,-2.01,-0.81,46.707,
6645,金萬林-創,Healthcare,Diagnostics & Research,-32.98,-31.55,-34.23,-30.67,-19.01,-5.07,5,28.3,29.25,33.81,0.5,-16.77,-2.82,-2.14,8.946,
