Ticker,Name,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Rating (1M),Rating (3M),Rating (6M),Rating (9M),Price,52W pos,MA10,MA30,Volume / VMA10
8937,合騏,156.89,131.24,124.34,50.49,-16.26,-2.89,99,99,96,30,61,94.1,1.0,71.64,43.07,1.14
2543,皇昌,130.05,122.91,83.94,88.71,95.65,67.85,99,98,98,99,98,93.5,1.0,69.31,50.22,0.97
3230,錦明,127.22,118.16,192.65,65.97,-4.47,-21.35,99,99,97,63,7,51.4,0.88,50.77,29.28,0.55
8032,光菱,109.2,93.72,21.01,-17.93,-17.14,-7.37,99,91,29,27,47,75.4,1.0,45.95,34.49,2.24
4583,台灣精銳,104.33,115.99,116.21,5.66,1.58,-12.1,99,99,80,75,28,759.0,0.9,707.1,432.12,0.64
6609,瀧澤科,102.12,120.94,88.6,18.28,-9.3,-16.7,99,98,88,52,15,106.5,0.89,91.55,60.56,0.53
6442,光聖,99.55,98.15,74.68,178.2,41.24,13.63,99,98,99,95,87,491.5,0.91,406.0,335.02,1.16
3081,聯亞,98.63,108.2,78.27,-8.49,-4.53,-14.27,99,98,58,62,21,343.0,0.94,282.55,185.23,1.09
3450,聯鈞,96.62,98.67,81.98,53.92,-0.73,15.94,99,98,96,71,88,221.5,0.95,195.15,134.0,1.04
3447,展達,94.47,80.45,-5.88,-23.86,-36.55,-25.0,99,64,14,2,4,82.6,1.0,50.09,38.5,3.39
2424,隴華,90.58,91.89,64.46,-22.04,-26.03,-10.9,99,97,17,10,32,78.7,0.97,67.91,42.46,0.43
4569,六方科-KY,83.08,104.55,116.73,-9.88,-9.66,-10.22,98,99,55,51,34,242.0,0.84,226.3,142.31,3.52
3167,大量,81.95,82.99,93.99,8.83,7.54,6.18,98,99,83,82,80,145.5,0.89,125.25,85.79,1.29
5438,東友,81.52,58.74,24.12,-14.84,-12.11,-10.73,98,93,40,44,32,39.3,1.0,25.91,20.59,1.78
6535,順藥,80.41,91.38,82.02,49.91,71.09,94.95,98,98,96,98,99,361.5,0.94,300.5,236.52,1.17
4903,聯光通,78.11,88.05,56.02,25.87,-15.73,-11.01,98,97,91,31,31,46.55,0.83,39.47,28.96,0.47
3013,晟銘電,77.99,82.46,69.28,68.99,40.89,9.26,98,98,97,95,84,158.0,0.97,132.05,106.49,0.97
4991,環宇-KY,77.33,50.15,4.05,-10.44,-20.76,-15.33,98,79,53,18,18,73.7,1.0,49.6,42.16,1.67
8374,羅昇,76.04,77.28,115.77,169.24,-9.74,-14.74,98,99,99,51,20,129.5,0.81,136.8,99.34,0.12
3581,博磊,75.6,69.54,56.74,10.16,-9.97,3.86,98,97,84,50,76,72.0,1.0,59.13,44.11,1.63
6151,晉倫,74.86,75.59,26.54,-2.11,-16.27,-9.24,98,93,70,30,38,61.1,0.98,46.43,34.94,0.19
6199,天品,74.78,74.4,56.61,10.63,26.9,34.14,98,97,84,92,95,68.6,1.0,58.8,42.48,1.77
6706,惠特,73.13,67.14,78.67,43.69,-34.89,-21.21,98,98,95,3,8,175.0,1.0,162.81,115.53,0.47
6658,聯策,72.21,77.34,23.14,26.38,-9.4,1.87,98,92,91,52,73,103.0,0.94,81.64,63.47,1.22
8249,菱光,69.12,61.66,70.58,-20.49,-16.54,-10.34,98,98,21,29,34,69.8,1.0,56.3,40.42,2.47
6763,綠界科技*,65.05,60.04,-12.65,-19.32,-25.28,-4.71,98,46,24,11,56,84.9,1.0,55.68,47.42,0.79
8080,印鉐,62.98,75.81,71.52,8.82,38.41,0.35,98,98,83,94,69,32.5,0.86,34.14,22.53,0.19
