Ticker,Name,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Rating (1M),Rating (3M),Rating (6M),Rating (9M),Price,52W pos,MA10,MA30,Volume / VMA10
8937,合騏,131.24,131.91,100.42,28.37,-14.17,2.65,99,98,92,34,73,83.9,1.0,67.39,40.62,0.85
2543,皇昌,122.91,87.81,78.02,84.85,125.29,66.72,99,98,98,99,98,89.5,1.0,65.03,47.98,1.2
6609,瀧澤科,120.94,117.88,99.96,11.42,-6.0,-18.91,99,98,85,59,11,116.5,1.0,87.4,58.18,1.95
3230,錦明,118.16,160.8,211.18,70.34,-20.84,-29.59,99,99,97,17,3,48.9,0.83,49.73,27.91,1.03
4583,台灣精銳,115.99,126.12,143.47,2.14,-7.83,-10.59,99,99,77,54,31,802.0,0.97,669.05,415.02,1.34
3081,聯亞,108.2,100.14,60.02,-0.63,0.26,-17.45,99,97,74,71,13,360.0,1.0,260.5,178.63,0.56
4569,六方科-KY,104.55,62.12,113.46,-11.71,-7.34,-11.65,99,99,54,55,28,272.5,1.0,212.35,137.42,3.92
3450,聯鈞,98.67,109.51,92.14,65.66,1.08,17.25,99,98,97,72,89,224.0,0.96,187.2,129.16,1.45
6442,光聖,98.15,84.27,80.69,249.28,49.26,11.0,99,98,99,96,85,485.0,0.9,401.9,323.17,1.61
8032,光菱,93.72,42.09,30.84,-20.16,-15.33,-10.97,99,93,28,30,30,70.2,1.0,41.25,32.96,2.69
2424,隴華,91.89,94.66,91.35,-23.71,-25.82,-9.41,99,98,16,9,36,80.1,0.99,63.56,40.83,0.34
6535,順藥,91.38,62.79,55.58,44.51,90.29,77.32,98,96,95,98,98,382.5,1.0,290.3,231.0,1.22
4903,聯光通,88.05,97.42,46.97,39.25,-16.2,-7.69,98,96,95,28,43,49.4,0.9,37.89,27.96,0.73
6144,得利影,87.34,168.98,219.06,219.72,23.58,-12.99,98,99,99,90,24,85.1,0.68,106.61,62.79,1.51
3167,大量,82.99,78.58,68.79,1.77,10.0,15.96,98,97,77,82,88,147.0,0.91,120.08,82.99,1.47
3013,晟銘電,82.46,81.34,53.55,72.39,51.24,14.84,98,96,97,96,87,162.5,1.0,128.65,103.36,1.49
