Ticker,Name,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Rating (1M),Rating (3M),Rating (6M),Rating (9M),Price,52W pos,MA10,MA30,Volume / VMA10
6192,巨路,-6.92,-6.82,2.63,1.04,14.7,5.39,67,77,76,86,78,112.5,0.74,115.75,114.92,0.24
00913,兆豐台灣晶圓製造,-6.92,-7.63,-5.99,-1.11,-3.93,-0.1,67,61,73,63,67,21.44,0.81,20.91,20.99,0.34
2838,聯邦銀,-7.0,-6.49,-3.03,-9.66,-9.67,-11.92,67,67,59,49,27,15.4,0.85,15.25,14.93,0.24
6613,朋億*,-7.0,-10.23,-8.25,-7.97,34.44,11.11,67,56,63,93,85,179.5,0.68,163.95,180.5,0.56
00915,凱基優選高股息30,-7.01,-7.24,-4.14,-4.22,4.49,6.81,67,65,69,78,80,26.93,0.93,26.84,26.67,0.29
00653L,富邦印度正2,-7.03,-6.38,7.17,-0.07,-4.32,10.43,67,82,75,63,84,64.05,0.75,67.25,63.03,0.44
4305,世坤,-7.04,-6.4,0.07,-4.52,2.21,7.22,67,73,69,74,80,45.7,0.87,46.1,44.75,0.27
8473,山林水,-7.09,-6.35,15.05,35.06,42.04,-7.33,67,87,94,95,44,42.25,0.51,44.47,44.38,0.12
6127,九豪,-7.09,-11.19,-15.48,5.01,-10.09,14.68,67,33,80,47,87,30.1,0.77,27.42,27.93,2.17
6263,普萊德,-7.09,-8.07,3.12,-5.42,-5.72,2.89,67,77,67,59,73,170.0,0.85,173.0,166.88,0.1
4961,天鈺,-7.1,-9.95,-10.7,-17.21,-15.74,-10.52,67,49,38,29,31,280.0,0.93,265.8,261.37,0.75
00701,國泰股利精選30,-7.11,-6.27,-4.35,-9.04,-9.44,-6.08,67,65,60,50,49,29.45,0.95,29.07,28.37,0.35
6160,欣技,-7.13,-8.57,-7.42,-9.44,-31.16,-27.33,67,58,59,4,3,26.4,0.5,25.82,25.88,0.26
912000,晨訊科-DR,-7.13,-6.04,-4.94,22.33,6.16,-7.76,67,63,90,80,42,3.07,0.41,3.11,3.29,0.27
1416,廣豐,-7.21,-6.57,-7.06,-12.07,0.19,-4.4,67,59,53,71,55,13.3,0.8,12.95,12.78,0.28
8067,志旭,-7.22,-5.67,-1.41,4.48,1.74,-12.36,66,70,79,74,26,18.1,0.7,18.28,17.81,0.45
5206,坤悅,-7.24,-7.09,9.87,35.94,30.41,22.98,66,84,94,92,92,38.4,0.62,41.96,41.97,0.2
6279,胡連,-7.24,-7.15,1.73,-15.38,-14.22,-5.33,66,75,44,34,52,170.5,0.76,169.38,160.75,0.22
8410,森田,-7.25,-8.24,2.62,-2.12,9.13,50.56,66,77,72,82,97,79.4,0.79,81.53,78.44,0.33
3188,鑫龍騰,-7.28,-5.32,32.55,60.82,29.88,5.89,66,93,97,92,78,29.75,0.48,36.88,35.48,0.22
1742,台蠟,-7.31,-9.28,-6.76,-17.05,-8.88,-6.48,66,60,39,51,48,18.85,0.86,17.89,17.79,0.72
4728,雙美,-7.31,-7.12,-1.73,6.51,-6.14,-4.92,66,69,81,58,54,262.0,0.63,270.55,276.53,0.32
