Ticker,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Rating (1M),Rating (3M),Rating (6M),Rating (9M),Price,52W pos,MA10,MA30,Volume / VMA10
QMMM,935.62,1442.6,91.37,8.17,-58.76,-88.91,99,98,81,6,3,82.84,1.0,34.77,12.86,
ORBS,417.05,677.74,9.57,-21.74,-35.7,-47.67,99,81,18,12,13,12.79,0.81,6.58,3.15,
OPEN,300.71,342.54,150.93,-53.31,-28.68,-36.68,99,99,5,16,19,9.57,1.0,6.95,3.32,
SOGP,250.95,321.48,38.58,36.19,10.46,-19.1,99,95,95,82,35,21.8,0.7,18.11,9.01,
AGMH,224.08,-19.84,-57.79,-90.16,-93.71,-3.05,99,4,1,2,61,10.34,0.09,3.67,2.84,
ZEPP,216.15,279.59,423.48,-14.96,21.37,-30.92,99,99,26,91,23,48.0,0.95,46.72,23.35,
TURB,199.94,-2.1,-12.68,-4.72,28.1,19.6,99,30,49,94,87,8.7,1.0,3.63,2.75,
ENTO,185.13,88.27,21.28,5.3,-1.95,-76.72,99,90,77,54,5,5.16,0.16,3.07,1.95,
FORD,170.13,255.69,75.59,7.44,-15.44,-19.38,99,98,80,29,35,30.45,0.83,21.74,13.5,
BW,169.54,149.67,66.88,-4.94,-42.14,-0.43,99,97,48,10,66,3.27,0.71,2.43,1.54,
KALA,168.07,173.9,44.18,-32.2,2.2,-19.76,99,96,11,63,35,19.63,1.0,14.65,8.94,
IMRX,166.45,168.49,54.38,44.55,2.8,-35.66,99,97,96,65,19,9.26,1.0,6.78,4.56,
AEI,163.08,116.7,9.61,-2.45,-22.53,-15.48,99,81,56,22,40,3.47,1.0,2.09,1.43,
ATCH,162.81,9.31,-63.68,-92.98,-92.62,-91.15,99,3,1,2,2,0.92,0.0,0.38,0.25,
NVFY,160.87,179.96,30.32,87.76,-31.12,-75.23,99,93,98,15,5,5.21,1.0,3.65,2.52,
ONDS,159.98,181.59,144.0,14.38,-41.16,36.05,99,99,87,10,92,6.72,1.0,5.85,3.5,
SUPX,159.76,206.56,129.46,28.2,100.88,-17.16,99,99,93,98,38,55.25,0.93,51.64,26.71,
APLM,157.69,0.3,-18.92,-25.19,-14.03,-76.62,99,20,15,31,5,18.43,0.04,8.08,6.66,
CHEK,156.67,-10.15,-20.87,-20.07,-31.91,-71.29,99,18,20,14,6,2.28,0.46,1.01,0.83,
SCLX,154.79,147.72,102.57,-50.26,-64.2,-68.1,99,98,6,5,6,29.08,0.37,22.96,14.09,
OPAD,153.91,132.16,-7.39,-48.65,-40.99,-43.69,99,44,6,10,14,5.09,0.43,4.25,2.3,
NKTR,153.75,144.01,67.76,-29.89,-18.77,-24.79,99,97,12,25,29,55.14,1.0,40.18,27.78,
BE,153.63,117.48,75.86,-3.01,28.75,66.48,99,98,54,94,96,84.93,1.0,62.15,40.29,
ABVX,152.54,185.75,303.82,-13.47,-17.64,-43.26,99,99,29,26,15,82.3,0.93,82.53,49.21,
NRGV,151.04,99.42,42.05,-36.74,-33.6,8.16,99,95,9,14,78,3.11,1.0,2.23,1.42,
BITF,147.77,90.49,12.69,-36.37,-44.99,-33.67,99,83,9,9,21,3.12,0.83,1.85,1.31,
IREN,145.75,136.07,72.52,12.9,-29.32,33.5,99,98,86,16,92,38.64,1.0,29.33,20.21,
SLGL,144.6,117.77,83.4,-0.16,-23.75,-52.74,99,98,64,20,11,30.5,1.0,25.75,15.33,
WLDS,143.45,356.16,-45.02,-46.46,-86.14,-76.25,99,6,7,2,5,5.37,0.07,3.61,2.22,
BLNE,142.87,51.36,-32.26,-76.36,-72.92,-31.65,98,9,2,3,22,4.24,0.19,2.43,1.81,
