Ticker,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Rating (1M),Rating (3M),Rating (6M),Rating (9M),Price,52W pos,MA10,MA30,Volume / VMA10
ZEPP,406.46,423.48,262.22,-11.52,-5.94,-44.25,99,99,36,49,15,40.02,1.0,24.57,11.13,
OPEN,257.39,150.93,106.67,-48.05,-28.95,-31.72,99,98,7,18,23,5.01,1.0,2.95,1.52,
SUPX,217.54,129.46,10.84,45.97,-9.48,0.6,99,81,96,42,64,42.84,1.0,24.95,15.18,
EQ,214.74,101.59,-26.58,-37.95,-6.5,-48.53,99,12,11,48,13,1.9,0.63,0.93,0.55,
YYAI,213.82,203.07,33.84,-36.6,-90.78,-64.08,99,94,11,2,8,4.9,0.04,4.11,1.96,
IPA,213.31,119.34,157.47,24.15,-47.7,-71.65,99,99,93,9,6,3.2,1.0,2.2,1.38,
THAR,180.17,-14.42,2.23,-21.44,-37.28,-53.85,99,68,22,12,11,4.72,0.04,2.01,1.69,
IMAB,166.04,177.81,52.29,5.55,-26.1,-46.7,99,96,78,21,14,5.09,1.0,3.62,2.51,
SLGL,149.86,83.4,11.91,11.85,-24.18,-46.12,99,82,86,22,14,22.67,0.8,15.62,10.23,
VFF,146.2,129.9,42.22,65.89,-20.34,-30.74,98,96,98,27,24,2.96,1.0,2.06,1.48,
WBX,137.76,146.83,465.12,-32.28,-51.67,-57.19,98,99,13,8,10,4.58,0.73,4.86,2.96,
PGEN,124.33,65.46,4.28,-0.76,44.42,-38.43,98,72,61,96,18,4.18,1.0,2.43,1.83,
APM,121.48,22.71,49.35,-15.81,-57.84,-81.02,98,96,28,6,4,2.64,0.23,1.69,1.26,
BTAI,110.52,142.89,-18.54,-65.14,-84.16,-76.45,98,19,4,3,5,4.98,0.05,3.54,2.29,
DRRX,104.88,113.64,-29.17,-35.0,-33.43,-20.45,98,11,12,15,34,1.92,0.54,1.62,0.94,
JMIA,104.42,112.22,39.77,0.38,-52.16,-39.44,98,95,64,8,17,7.87,0.54,6.14,4.48,
MFI,103.09,132.23,121.24,8.03,-30.55,-24.2,98,98,82,17,29,37.3,0.9,33.18,26.56,
HIT,101.14,90.12,-50.0,-79.9,17.46,,98,5,3,89,,3.45,0.44,2.66,1.4,
NBTX,99.39,64.22,26.22,4.38,-21.63,-43.56,98,91,76,26,16,10.09,0.93,7.8,5.67,
VOR,92.12,94.58,126.44,-80.96,13.29,-54.17,98,98,2,86,11,2.17,0.78,2.14,1.3,
MPU,85.94,62.39,103.88,-10.45,-47.36,-29.56,98,98,38,9,25,2.72,0.64,3.05,1.82,
TLRY,82.61,65.28,-6.23,-51.36,-40.6,-36.07,98,42,7,12,20,1.15,0.3,0.82,0.58,
AREC,81.04,55.17,66.11,-14.18,-39.96,-7.63,98,97,30,12,51,1.78,1.0,1.45,1.07,
FOSL,78.77,96.13,5.55,3.82,3.48,-11.66,98,74,75,72,44,2.92,0.92,2.22,1.75,
SIF,77.62,74.1,42.2,-7.73,-16.27,-0.59,98,95,43,31,63,7.1,1.0,5.68,4.39,
RIGL,77.41,75.07,-11.39,-3.53,22.1,78.35,98,29,54,92,97,41.5,1.0,30.96,23.32,
ALAB,76.37,89.76,15.63,6.58,-1.0,49.1,98,85,79,61,95,179.09,0.95,159.51,115.12,
MOB,71.95,52.42,63.88,-15.47,27.51,-2.8,97,97,29,94,58,4.73,1.0,3.82,3.05,
RUN,69.14,50.03,16.97,-22.54,-38.22,-36.49,97,86,21,12,20,16.2,0.66,12.52,10.15,
ABVC,69.06,83.39,141.56,57.8,-1.66,-49.83,97,99,98,59,13,3.21,0.78,2.99,2.48,
TGEN,68.51,62.23,89.77,107.99,33.31,2.54,97,98,98,95,67,9.09,0.96,8.9,7.15,
SPAI,65.51,13.73,23.99,-9.2,19.09,56.2,97,91,40,90,96,5.69,1.0,4.15,3.37,
MNY,63.0,77.94,76.28,-22.66,-31.49,-39.34,97,97,21,16,18,1.82,0.12,1.85,1.22,
EMPG,62.71,47.82,-8.05,,,,97,37,,,,8.48,1.0,6.2,5.13,
ASMB,62.7,59.15,28.63,1.95,-22.14,-2.36,97,92,70,25,59,26.93,1.0,22.66,18.52,
WWW,61.99,56.44,17.34,-5.1,-16.38,68.93,97,86,50,31,96,30.72,1.0,26.45,20.84,
AAME,61.26,56.62,20.9,11.86,-7.85,-27.01,97,89,86,45,27,3.28,1.0,2.66,2.16,
ALAR,58.9,59.54,28.21,-15.9,-58.74,-28.54,97,92,28,6,26,16.55,0.35,14.33,11.64,
KALA,57.02,44.18,-2.86,-34.83,-8.41,-10.8,97,55,12,44,46,9.21,0.58,8.1,5.71,
ABAT,56.51,70.79,68.88,0.78,-27.68,-58.62,97,97,66,19,9,2.64,0.18,2.58,1.9,
METCB,55.3,71.73,54.54,-6.33,-15.37,-21.65,97,96,47,32,32,16.14,0.89,14.87,10.81,
FDMT,54.89,61.88,-2.15,-28.29,-64.96,-65.12,97,58,16,5,7,7.09,0.14,6.19,4.73,
ESPR,54.54,47.24,-16.63,-53.51,-19.62,0.15,97,21,6,28,64,2.17,0.52,1.8,1.29,
MEIP,54.45,56.43,121.5,-12.95,-14.56,-35.02,97,98,33,34,21,4.97,0.64,5.33,3.59,
RILYL,54.24,73.83,56.83,-54.18,-62.01,-56.12,96,97,6,5,10,6.69,0.24,6.74,4.2,
RILYP,53.31,79.03,57.51,-48.06,-62.3,-52.77,96,97,7,5,11,6.51,0.27,6.52,4.09,
THM,52.47,35.0,35.46,48.08,-9.18,-28.98,96,94,97,43,26,1.41,1.0,1.25,1.01,
LCTX,52.35,56.34,39.21,21.81,-20.3,-56.91,96,95,92,27,10,1.2,0.74,1.1,0.91,
VALN,52.16,53.94,-5.25,3.36,12.64,-49.45,96,46,74,85,13,11.64,0.77,9.44,7.2,
VENU,52.1,38.55,18.34,-4.35,0.18,,96,87,52,64,,17.93,1.0,15.29,12.48,
NVNI,51.76,16.38,-68.38,-73.07,23.35,-50.91,96,3,3,92,12,0.62,0.04,0.57,0.42,
MGRM,50.89,52.76,88.33,1.14,-9.43,-34.23,96,98,67,42,22,5.45,0.94,5.45,3.84,
RZLT,49.4,41.57,24.4,-7.39,-6.43,36.89,96,91,44,48,93,7.0,1.0,6.3,5.04,
XGN,49.36,45.9,22.2,54.26,9.85,67.43,96,90,97,82,96,10.1,1.0,8.94,7.59,
GXAI,49.05,-21.54,-13.73,-8.96,-43.8,-70.8,96,25,40,10,6,2.08,0.1,1.32,1.35,
MDXH,48.86,32.26,19.56,10.39,-24.31,-42.16,96,88,84,22,16,3.29,0.67,2.74,2.34,
KAVL,48.56,30.54,-30.82,-25.89,-35.21,-69.99,96,10,18,14,6,0.94,0.04,0.66,0.58,
TRON,48.48,104.46,369.7,25.71,-9.37,-54.43,96,99,93,42,11,5.22,0.46,7.24,5.57,
XTKG,47.38,51.17,30.87,50.1,-11.61,184.48,96,93,97,38,99,2.23,1.0,2.03,1.69,
CIFR,47.37,21.17,46.91,-21.69,4.85,47.45,96,96,22,75,94,6.38,0.85,5.55,4.81,
MBOT,47.35,22.44,4.89,48.04,19.13,-21.26,96,72,97,90,33,3.85,1.0,3.11,2.75,
SION,47.03,26.76,3.01,-12.04,-7.96,,96,69,35,45,,24.39,0.96,19.78,17.4,
SOFI,46.96,42.97,41.09,-4.23,25.97,69.67,95,95,52,93,97,25.02,1.0,22.66,18.39,
KTOS,46.79,56.36,54.03,19.44,-3.3,14.64,95,96,90,55,80,66.71,0.97,63.11,50.02,
AXTI,46.58,9.29,31.36,-19.18,-42.64,-42.02,95,93,25,11,16,2.82,0.44,2.26,2.02,
GRWG,46.23,21.38,-18.15,-20.18,-34.99,-28.38,95,19,24,14,26,1.77,0.33,1.27,1.13,
LXRX,46.19,55.88,67.33,-9.23,-49.34,-57.21,95,97,40,9,9,1.19,0.29,1.14,0.92,
PZG,45.87,27.37,34.11,24.85,-18.19,-14.34,95,94,93,30,41,0.84,1.0,0.71,0.64,
SNOA,45.84,58.07,13.33,15.28,-35.66,-32.63,95,83,88,14,23,5.09,0.18,3.98,3.49,
HOVR,45.33,52.18,86.49,50.53,-36.67,-83.1,95,98,97,13,4,1.66,0.13,1.63,1.49,
HLIO,43.66,38.25,-0.58,-23.07,-19.65,3.6,95,62,21,28,68,54.23,0.88,45.58,37.22,
IZEA,42.83,45.27,25.79,18.47,-3.77,6.27,95,91,90,54,72,4.22,1.0,3.97,3.21,
INFU,42.8,45.19,-17.12,-20.45,-1.32,2.71,95,20,23,61,67,9.57,0.81,7.95,6.61,
YSG,42.49,35.99,69.71,19.59,0.59,16.22,95,97,90,66,82,10.24,0.99,9.15,8.42,
TREE,42.36,33.13,-16.65,-20.7,-15.02,-7.88,95,21,23,33,51,69.48,1.0,57.14,43.42,
MBI,42.26,16.94,-12.44,-21.26,17.84,17.42,95,27,22,89,84,7.68,1.0,6.07,4.98,
OTLK,41.96,26.87,21.59,-24.92,-70.72,-41.65,95,90,19,4,16,2.68,0.07,2.18,1.94,
OCC,41.86,37.63,49.44,-20.78,22.51,-22.76,95,96,23,92,31,5.65,0.88,5.35,4.04,
KSS,40.86,40.74,-0.98,-32.85,-34.26,-32.73,95,60,13,15,23,13.89,0.38,12.46,9.86,
LMND,39.94,44.52,12.86,-7.04,21.5,136.8,94,83,45,91,98,56.82,0.99,47.91,41.74,
AAMI,39.85,37.9,29.88,9.98,-2.38,19.59,94,93,83,58,86,48.98,1.0,44.03,37.01,
INSM,39.2,37.76,19.26,-8.12,14.11,34.99,94,88,42,87,92,131.88,1.0,116.37,97.35,
PRM,39.18,36.23,34.7,2.35,-13.69,43.34,94,94,71,35,94,19.48,1.0,17.71,15.07,
ZURA,39.08,16.73,34.17,-45.76,-59.61,-38.6,94,94,8,6,18,2.01,0.17,1.65,1.36,
PRIM,38.12,38.27,16.27,1.04,-3.42,52.44,94,85,67,54,95,114.42,1.0,104.3,86.91,
EYPT,38.05,32.87,34.73,-20.56,-35.97,-48.71,94,94,23,13,13,11.83,0.3,10.67,9.26,
OTLY,37.89,39.46,28.38,-0.63,-54.06,-36.62,94,92,61,7,20,17.79,0.57,16.39,13.6,
VVPR,37.57,51.2,97.33,212.57,-55.65,-59.09,94,98,99,7,9,6.05,0.87,5.25,5.2,
RERE,37.55,29.75,19.37,-5.21,5.63,22.55,94,88,50,76,87,4.55,1.0,3.78,3.28,
CMPO,37.27,30.72,10.57,9.29,25.56,76.54,94,81,83,93,97,19.84,1.0,16.82,14.9,
LPTH,37.25,26.98,23.42,-2.07,16.56,-5.48,94,90,57,89,54,4.03,0.96,3.47,3.13,
ACFN,37.2,28.99,-12.98,6.4,26.97,90.77,94,26,79,93,97,27.25,0.94,25.34,19.87,
ATLN,36.72,50.37,-48.12,-44.26,-48.34,6.5,94,5,8,9,72,4.71,0.21,3.0,2.52,
TME,36.63,41.02,31.93,38.0,9.98,-10.38,94,93,95,82,46,25.35,0.99,22.97,20.03,
SCS,36.22,35.18,-11.56,-10.78,-6.37,-8.22,94,28,37,48,50,16.5,1.0,13.86,11.5,
NBY,36.0,-5.84,0.52,-8.39,-50.98,-82.7,94,64,41,8,4,0.91,0.02,0.68,0.63,
IBP,35.71,35.67,-1.42,-13.49,-24.89,-11.32,94,59,32,22,45,273.08,1.0,241.83,196.54,
NEPH,35.69,42.85,41.38,70.47,-18.45,-43.2,93,95,98,29,16,4.18,0.77,3.86,3.63,
SST,35.24,4.92,12.09,-40.74,-42.31,-40.64,93,82,9,11,17,7.5,0.17,6.45,5.73,
BSGM,34.82,35.37,51.17,338.32,-12.84,29.66,93,96,99,36,91,5.18,0.48,4.6,5.65,
MIRM,34.77,29.76,3.49,-1.36,25.0,21.84,93,70,59,93,87,71.52,1.0,60.65,52.6,
EBS,34.19,29.54,-3.96,-15.89,-14.52,54.34,93,52,28,34,95,9.23,0.62,7.89,7.04,
ANRO,34.17,8.99,-6.76,-14.32,-64.04,-68.5,93,40,30,5,7,3.9,0.11,3.25,2.78,
UMAC,34.06,20.01,28.18,-39.5,61.01,114.77,93,92,10,98,98,11.07,0.57,10.16,8.67,
CHCI,33.72,35.55,26.46,2.56,-7.48,21.54,93,92,72,46,87,15.03,1.0,13.66,11.45,
JOUT,33.46,28.68,6.37,-7.25,-22.43,-26.2,93,75,44,25,28,41.43,0.64,37.38,31.72,
OMEX,33.35,45.03,77.76,46.58,-79.18,-90.42,93,98,97,3,2,1.42,0.22,1.52,1.24,
ENTO,33.32,21.28,-5.79,-25.88,-50.66,-85.77,93,43,18,8,3,2.04,0.05,1.53,1.42,
MOD,33.02,34.13,-0.67,-11.47,-27.18,33.11,93,61,36,19,91,140.37,0.97,130.54,107.83,
FORD,32.97,75.59,39.18,40.54,1.44,-35.67,93,95,96,68,20,10.55,0.66,12.1,8.83,
NMRK,32.78,27.76,-5.92,-18.48,3.53,17.19,93,43,26,72,83,18.14,1.0,16.05,13.12,
WGS,32.5,31.81,-12.95,-13.4,70.96,189.7,93,26,32,98,99,128.66,1.0,108.32,86.63,
UAVS,32.45,39.41,37.11,-61.41,-87.78,-92.86,93,95,5,2,2,1.96,0.01,2.15,1.52,
ARRY,31.26,11.8,4.41,13.39,-24.17,-49.0,93,72,87,22,13,9.07,0.23,7.03,7.2,
GTN,31.16,29.7,19.06,0.45,-21.29,-37.14,92,88,65,26,19,6.07,0.53,5.1,4.59,
PTHS,31.02,23.6,22.52,-29.21,32.35,-62.25,92,90,16,94,8,22.5,0.4,21.07,15.85,
SGN,31.01,35.49,50.59,-75.8,-74.59,-69.89,92,96,3,4,6,1.55,0.01,1.48,1.35,
MNSO,30.91,-1.72,-12.07,-8.61,-7.15,-22.14,92,27,41,46,31,26.63,0.97,20.85,18.94,
TRS,30.86,28.25,12.98,6.26,-14.87,-6.85,92,83,79,33,52,38.33,1.0,35.37,30.12,
DPRO,30.72,30.66,84.92,-38.54,-33.32,-63.52,92,98,10,15,8,4.34,0.12,4.9,3.59,
HYPD,30.68,58.79,243.6,-71.22,-95.51,-90.94,92,99,4,1,2,6.16,0.03,7.12,6.87,
ARMP,30.55,25.52,24.13,2.69,-15.9,-31.55,92,91,73,32,23,2.68,0.53,2.51,2.16,
TDTH,30.34,59.01,136.19,-78.75,-67.32,-25.44,92,98,3,4,28,0.79,0.16,1.09,0.62,
SYM,30.07,51.57,79.7,13.77,-22.38,-9.7,92,98,87,25,47,46.23,0.73,51.65,41.46,
BWLP,29.69,18.3,10.05,-4.95,-12.65,-11.71,92,80,50,36,44,16.39,0.83,14.58,12.72,
AUPH,29.59,31.94,-0.9,-0.59,6.79,18.27,92,61,61,78,84,12.27,1.0,11.07,9.15,
ARCT,29.4,36.32,-6.57,-18.53,-20.29,-45.59,92,41,26,27,15,18.51,0.31,15.43,13.69,
RLYB,28.61,22.63,-19.1,-52.98,-37.75,-43.77,92,18,6,12,15,0.63,0.07,0.56,0.42,
MNMD,28.02,22.22,18.12,5.94,-1.92,0.14,92,87,78,58,64,10.19,0.91,9.57,8.11,
CPSH,27.81,33.54,15.13,75.27,-6.15,-29.47,92,85,98,48,25,3.13,0.97,2.92,2.75,
NERV,27.65,19.41,5.91,-24.03,-31.34,-50.67,92,74,20,16,12,2.43,0.12,2.1,1.83,
