Ticker,Name,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Rating (1M),Rating (3M),Rating (6M),Rating (9M),Price,52W pos,MA10,MA30,Volume / VMA10
3230,錦明,191.9,161.75,153.56,12.92,-25.89,-28.81,99,99,87,11,2,62.9,1.0,48.75,26.84,1.85
6144,得利影,175.34,187.23,203.71,137.78,16.68,-15.32,99,99,99,88,13,120.0,1.0,106.25,60.54,2.4
8937,合騏,139.78,140.94,85.4,23.53,-18.88,5.45,99,98,91,28,76,83.5,1.0,63.82,38.57,0.66
6609,瀧澤科,117.47,75.13,89.18,16.71,-11.14,-18.08,99,98,89,53,9,110.0,1.0,81.13,55.38,1.67
4903,聯光通,113.81,116.39,26.37,12.56,-21.51,-3.37,99,92,87,21,53,54.4,1.0,35.95,26.99,1.39
3450,聯鈞,111.46,97.41,95.51,62.47,15.85,18.65,99,98,97,88,89,229.5,1.0,178.25,124.07,1.47
4583,台灣精銳,108.78,111.14,136.1,-1.95,-5.02,-9.74,99,99,75,66,28,741.0,0.98,620.05,393.72,0.84
3081,聯亞,103.84,117.56,46.08,3.48,1.87,-13.37,99,95,80,77,17,339.0,0.95,236.35,171.12,0.19
2424,隴華,99.72,100.76,73.44,-24.51,-29.37,4.14,99,97,21,7,73,81.0,1.0,58.5,39.18,0.53
8374,羅昇,98.26,79.28,154.81,124.52,-10.87,-12.43,99,99,99,54,19,140.5,0.9,139.5,92.62,0.21
6442,光聖,95.75,86.29,73.17,213.35,58.74,9.15,99,97,99,97,82,459.5,0.85,395.3,312.25,1.28
2543,皇昌,94.14,108.33,73.16,72.14,86.32,94.3,98,97,98,98,99,94.3,0.96,77.73,58.33,0.92
3167,大量,89.59,108.98,35.01,-2.74,13.22,13.84,98,94,74,87,86,147.5,0.91,114.44,80.29,0.47
6640,均華,79.61,91.03,133.52,111.23,150.94,32.97,98,99,99,99,94,906.0,0.92,930.3,670.25,0.24
8111,立碁,77.84,69.86,23.7,-3.05,11.18,1.01,98,91,74,85,67,47.95,1.0,32.89,26.79,1.57
2070,精湛,75.92,85.83,115.3,25.84,-6.85,-4.66,98,99,92,63,48,94.0,0.76,93.3,59.62,0.41
6706,惠特,74.11,80.16,87.9,44.1,-36.12,-19.51,98,98,96,3,7,172.0,0.98,154.15,107.64,0.8
5443,均豪,74.04,86.4,135.42,71.99,58.23,0.49,98,99,98,97,65,133.0,0.86,138.6,94.18,0.22
6223,旺矽,72.92,66.31,90.71,57.91,56.59,35.78,98,98,97,97,95,839.0,1.0,767.2,577.48,0.76
6134,萬旭,71.58,39.98,27.38,-4.8,-18.92,-16.77,98,92,71,28,11,44.0,1.0,30.54,24.44,2.5
3013,晟銘電,71.46,56.63,45.95,39.17,45.65,16.01,98,95,95,96,88,147.0,1.0,123.55,99.56,1.1
3363,上詮,71.09,81.97,34.14,52.21,34.15,29.7,98,94,97,94,94,237.0,0.96,187.9,156.45,0.19
4569,六方科-KY,71.0,82.77,111.88,-16.19,-11.19,-8.98,98,98,48,53,31,220.5,0.75,196.4,131.72,0.52
3293,鈊象,70.23,69.61,47.59,41.88,29.77,20.04,98,96,96,93,90,1080.0,1.0,891.5,697.8,0.8
6187,萬潤,69.88,77.04,86.05,23.64,65.88,41.63,98,98,91,97,96,482.0,0.97,432.25,315.88,0.85
4909,新復興,68.23,68.46,92.69,78.87,147.09,62.99,98,98,98,99,98,154.0,0.8,145.8,114.3,0.46
6231,系微,68.19,58.42,92.72,82.14,21.38,79.16,98,98,98,91,98,544.0,1.0,491.3,364.53,0.66
4562,穎漢,67.99,54.87,111.09,142.89,-7.87,-10.54,98,98,99,61,25,65.3,0.78,68.97,50.67,0.19
6535,順藥,66.06,63.89,47.13,41.62,100.23,40.53,98,96,96,99,96,318.0,0.99,278.15,224.2,0.42
3498,陽程,65.17,37.65,33.3,19.4,-10.55,-21.32,98,94,90,55,6,73.8,1.0,56.08,46.27,2.66
8080,印鉐,65.03,70.31,123.35,4.95,14.18,-23.6,98,99,81,87,4,31.8,0.83,30.99,21.34,0.12
6739,竹陞科技,63.13,72.43,126.91,44.0,29.36,3.45,97,99,96,93,72,184.0,0.82,176.95,129.3,0.47
5481,新華,62.4,37.72,34.95,-13.5,-14.44,-2.66,97,94,55,44,56,29.2,1.0,24.88,17.69,1.43
4956,光鋐,61.86,36.87,21.44,15.32,-2.2,27.38,97,90,88,71,93,41.5,1.0,30.37,25.69,4.11
4563,百德,61.58,77.54,54.3,-4.78,-12.4,-2.67,97,96,71,49,56,111.0,0.83,99.41,70.39,0.38
8028,昇陽半導體,60.27,59.34,66.55,62.71,-18.41,-14.74,97,97,97,30,14,137.0,0.98,129.9,95.71,0.53
4510,高鋒,59.92,46.89,116.68,38.8,-5.69,-1.19,97,99,95,65,60,42.0,0.76,45.25,29.27,0.44
2467,志聖,55.77,70.39,75.21,82.81,75.23,29.48,97,97,98,98,93,232.0,0.93,222.1,176.52,0.57
2399,映泰,55.11,37.43,-2.86,-22.9,-16.38,6.85,97,67,27,37,79,43.1,1.0,29.04,24.34,1.43
8032,光菱,54.05,24.66,17.2,-23.41,-16.97,-10.34,97,88,25,35,26,54.3,1.0,37.34,31.7,3.33
4991,環宇-KY,53.27,35.74,-2.76,-3.92,-22.56,-13.3,97,67,73,18,18,63.2,1.0,43.5,39.6,6.45
3149,正達,51.34,36.84,11.44,-2.66,-10.64,-7.19,97,85,74,55,37,45.5,1.0,32.87,27.99,2.16
1540,喬福,48.86,44.99,93.69,18.95,-6.52,-4.91,97,98,90,63,47,41.65,0.82,43.04,30.45,0.28
4950,牧東,48.46,47.62,45.98,-37.68,-50.4,-56.73,97,95,3,1,1,12.9,0.37,10.54,7.95,0.56
3379,彬台,47.5,39.51,56.49,114.32,-12.09,11.63,97,96,99,51,84,38.25,0.8,37.6,29.51,0.59
8064,東捷,46.7,41.41,65.96,96.33,24.08,-5.88,97,97,98,92,43,58.5,0.86,58.96,47.2,0.22
6877,鏵友益,46.26,41.51,41.36,23.38,-26.66,-19.22,97,95,91,10,7,73.0,0.74,72.83,53.3,0.16
3581,博磊,45.11,42.32,39.32,23.97,-5.8,-4.41,97,95,92,64,49,58.0,0.95,54.31,41.34,0.22
3466,德晉,44.54,26.89,32.09,87.59,24.21,-18.69,97,93,98,92,8,78.0,0.71,66.38,66.79,2.01
6530,創威,43.04,36.3,17.95,-6.17,7.06,35.44,97,89,69,83,95,84.8,1.0,62.08,53.5,1.19
2486,一詮,43.03,39.81,16.12,78.16,34.4,24.48,97,88,98,94,92,124.0,0.85,101.64,100.09,1.38
1736,喬山,42.52,50.55,33.78,9.15,-5.17,-9.99,97,94,85,66,27,144.0,0.92,132.85,105.41,0.4
4807,日成-KY,41.99,21.45,12.2,-7.57,-17.27,-12.29,96,85,67,34,20,30.15,1.0,23.54,19.73,2.03
4716,大立,41.98,39.3,27.63,20.02,2.0,-5.27,96,92,90,77,46,28.2,0.89,26.06,21.22,0.35
5364,力麗店,41.9,49.76,85.83,-33.08,-40.24,-18.73,96,98,6,2,8,39.4,0.74,41.71,26.6,0.37
5345,天揚,41.15,40.81,80.23,54.35,-29.34,-37.22,96,97,97,7,1,27.6,0.76,30.07,21.62,0.16
6246,臺龍,41.08,36.9,18.44,-13.98,-18.43,2.18,96,89,54,30,70,25.6,0.85,20.11,16.66,0.21
1235,興泰,40.7,40.55,38.25,-4.27,-11.63,6.2,96,94,72,52,78,149.0,0.96,135.94,104.08,0.42
6438,迅得,40.23,35.78,-0.26,-11.79,4.04,-8.32,96,71,59,80,33,190.5,1.0,140.8,127.78,1.46
3018,隆銘綠能,39.94,42.43,51.01,16.25,-28.64,-6.94,96,96,89,7,39,29.7,0.88,28.94,21.77,0.38
2365,昆盈,39.88,38.11,87.39,145.26,32.69,18.16,96,98,99,94,89,48.4,0.71,55.26,43.02,0.44
3073,天方能源,39.54,41.46,80.65,78.79,-13.68,-25.31,96,98,98,46,3,72.0,0.61,81.63,60.34,0.16
4729,熒茂,39.47,19.67,25.98,-18.79,-7.89,-11.98,96,92,41,61,21,30.7,1.0,26.8,21.0,1.16
3086,華義,38.91,51.46,80.73,17.37,10.49,77.79,96,98,89,85,98,209.0,0.76,208.94,155.25,0.28
1595,川寶,38.31,36.27,-12.25,-17.65,-22.53,-12.7,96,44,44,18,19,61.4,1.0,45.12,39.74,3.76
3085,新零售,38.3,37.92,-4.8,-17.76,-45.63,-42.22,96,63,44,1,1,21.5,0.94,17.41,15.03,0.25
6854,錼創科技-KY創,37.94,18.29,-19.72,-38.0,-32.33,-10.48,96,21,3,4,25,138.5,1.0,90.83,81.09,3.16
