Ticker,Name,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Rating (1M),Rating (3M),Rating (6M),Rating (9M),Price,52W pos,MA10,MA30,Volume / VMA10
6144,得利影,168.98,187.23,203.71,137.78,16.68,-15.32,99,99,99,88,13,119.5,1.0,106.2,60.52,3.69
3230,錦明,160.8,161.75,153.56,12.92,-25.89,-28.81,99,99,87,11,2,57.0,1.0,48.16,26.64,2.25
8937,合騏,131.91,140.94,85.4,23.53,-18.88,5.45,99,98,91,28,76,82.3,1.0,63.7,38.53,0.79
4583,台灣精銳,126.12,111.14,136.1,-1.95,-5.02,-9.74,99,99,75,66,28,822.0,1.0,628.15,396.42,1.48
6609,瀧澤科,117.88,75.13,89.18,16.71,-11.14,-18.08,99,98,89,53,9,112.5,1.0,81.38,55.46,2.17
3450,聯鈞,109.51,97.41,95.51,62.47,15.85,18.65,99,98,97,88,89,232.0,1.0,178.5,124.15,2.27
3081,聯亞,100.14,117.56,46.08,3.48,1.87,-13.37,99,95,80,77,17,339.5,0.95,236.4,171.13,0.24
4903,聯光通,97.42,116.39,26.37,12.56,-21.51,-3.37,99,92,87,21,53,51.1,0.94,35.62,26.88,2.05
8374,羅昇,97.05,79.28,154.81,124.52,-10.87,-12.43,99,99,99,54,19,142.5,0.92,139.7,92.69,0.86
2424,隴華,94.66,100.76,73.44,-24.51,-29.37,4.14,99,97,21,7,73,80.5,1.0,58.45,39.16,0.8
2543,皇昌,87.81,108.33,73.16,72.14,86.32,94.3,99,97,98,98,99,93.0,0.95,77.6,58.29,1.29
6442,光聖,84.27,86.29,73.17,213.35,58.74,9.15,98,97,99,97,82,440.5,0.81,393.4,311.62,1.69
3013,晟銘電,81.34,56.63,45.95,39.17,45.65,16.01,98,95,95,96,88,159.0,1.0,124.75,99.96,2.06
2070,精湛,78.67,85.83,115.3,25.84,-6.85,-4.66,98,99,92,63,48,97.5,0.8,93.65,59.74,0.8
3167,大量,78.58,108.98,35.01,-2.74,13.22,13.84,98,94,74,87,86,141.5,0.86,113.84,80.09,1.06
4510,高鋒,77.32,46.89,116.68,38.8,-5.69,-1.19,98,99,95,65,60,47.7,0.9,45.82,29.46,1.24
4562,穎漢,75.66,54.87,111.09,142.89,-7.87,-10.54,98,98,99,61,25,69.8,0.85,69.42,50.82,1.48
6231,系微,73.39,58.42,92.72,82.14,21.38,79.16,98,98,98,91,98,573.0,1.0,494.2,365.5,1.2
6640,均華,71.4,91.03,133.52,111.23,150.94,32.97,98,99,99,99,94,881.0,0.89,927.8,669.42,0.45
8080,印鉐,70.89,70.31,123.35,4.95,14.18,-23.6,98,99,81,87,4,33.65,0.9,31.18,21.4,0.28
5443,均豪,68.76,86.4,135.42,71.99,58.23,0.49,98,99,98,97,65,131.5,0.85,138.45,94.13,0.33
6223,旺矽,67.18,66.31,90.71,57.91,56.59,35.78,98,98,97,97,95,827.0,1.0,766.0,577.08,1.07
3293,鈊象,66.88,69.61,47.59,41.88,29.77,20.04,98,96,96,93,90,1080.0,1.0,891.5,697.8,1.11
6706,惠特,66.85,80.16,87.9,44.1,-36.12,-19.51,98,98,96,3,7,168.0,0.95,153.75,107.51,1.11
3363,上詮,63.96,81.97,34.14,52.21,34.15,29.7,98,94,97,94,94,231.5,0.94,187.35,156.27,0.24
4956,光鋐,63.49,36.87,21.44,15.32,-2.2,27.38,98,90,88,71,93,42.8,1.0,30.5,25.73,4.32
1595,川寶,62.95,36.27,-12.25,-17.65,-22.53,-12.7,98,44,44,18,19,74.2,1.0,46.4,40.17,4.85
6535,順藥,62.79,63.89,47.13,41.62,100.23,40.53,98,96,96,99,96,318.0,0.99,278.15,224.2,0.59
4569,六方科-KY,62.12,82.77,111.88,-16.19,-11.19,-8.98,98,98,48,53,31,213.0,0.71,195.65,131.47,0.96
8111,立碁,62.03,69.86,23.7,-3.05,11.18,1.01,98,91,74,85,67,44.45,0.99,32.54,26.68,2.24
6739,竹陞科技,59.5,72.43,126.91,44.0,29.36,3.45,98,99,96,93,72,183.5,0.81,176.9,129.29,0.7
1540,喬福,57.99,44.99,93.69,18.95,-6.52,-4.91,97,98,90,63,47,45.2,0.92,43.4,30.57,1.17
5481,新華,56.82,37.72,34.95,-13.5,-14.44,-2.66,97,94,55,44,56,28.75,1.0,24.84,17.68,1.82
4909,新復興,56.1,68.46,92.69,78.87,147.09,62.99,97,98,98,99,98,145.5,0.75,144.95,114.01,0.73
6187,萬潤,55.82,77.04,86.05,23.64,65.88,41.63,97,98,91,97,96,450.0,0.9,429.05,314.81,0.94
3581,博磊,55.33,42.32,39.32,23.97,-5.8,-4.41,97,95,92,64,49,63.5,1.0,54.86,41.52,0.62
8028,昇陽半導體,54.34,59.34,66.55,62.71,-18.41,-14.74,97,97,97,30,14,134.5,0.96,129.65,95.63,1.41
6438,迅得,53.22,35.78,-0.26,-11.79,4.04,-8.32,97,71,59,80,33,213.0,1.0,143.05,128.53,2.36
3498,陽程,53.2,37.65,33.3,19.4,-10.55,-21.32,97,94,90,55,6,69.7,1.0,55.67,46.14,3.39
8064,東捷,53.11,41.41,65.96,96.33,24.08,-5.88,97,97,98,92,43,62.4,0.94,59.35,47.33,0.73
6134,萬旭,53.0,39.98,27.38,-4.8,-18.92,-16.77,97,92,71,28,11,39.9,1.0,30.13,24.3,3.05
4576,大銀微系統,52.54,17.13,16.96,-6.95,-3.64,-15.73,97,88,68,68,13,135.5,1.0,101.21,84.86,1.92
4991,環宇-KY,51.87,35.74,-2.76,-3.92,-22.56,-13.3,97,67,73,18,18,63.9,1.0,43.57,39.62,6.65
4563,百德,50.78,77.54,54.3,-4.78,-12.4,-2.67,97,96,71,49,56,105.5,0.78,98.86,70.21,0.53
4561,健椿,49.59,19.78,63.98,18.34,3.95,7.68,97,97,89,80,80,78.7,0.99,71.81,55.64,0.62
3466,德晉,47.87,26.89,32.09,87.59,24.21,-18.69,97,93,98,92,8,81.5,0.76,66.73,66.91,2.8
4950,牧東,46.63,47.62,45.98,-37.68,-50.4,-56.73,97,95,3,1,1,13.0,0.38,10.55,7.96,0.74
2467,志聖,46.63,70.39,75.21,82.81,75.23,29.48,97,97,98,98,93,222.5,0.88,221.15,176.2,0.82
1736,喬山,45.83,50.55,33.78,9.15,-5.17,-9.99,97,94,85,66,27,150.5,0.98,133.5,105.63,0.64
2399,映泰,45.03,37.43,-2.86,-22.9,-16.38,6.85,97,67,27,37,79,41.05,1.0,28.83,24.27,2.18
