Ticker,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Rating (1M),Rating (3M),Rating (6M),Rating (9M),Price,52W pos,MA10,MA30,Volume / VMA10
ZEPP,373.03,406.46,178.06,-12.55,-13.17,-28.49,99,99,34,37,23,45.0,1.0,31.35,13.94,
ANTE,260.77,167.51,86.11,30.43,-24.43,-57.57,99,98,95,22,8,4.31,1.0,2.8,1.5,
CGTX,258.66,365.49,75.57,-52.88,-53.61,-76.83,99,97,6,7,4,2.43,0.85,1.64,0.82,
ABVX,253.8,283.95,574.3,-15.3,-24.88,-39.32,99,99,30,22,15,81.03,1.0,74.16,33.58,
SOGP,245.09,12.87,86.03,-37.25,4.58,-34.54,99,98,10,75,18,11.99,1.0,5.86,4.26,
AGH,237.21,166.97,82.81,-58.74,17.88,,99,98,5,90,,4.34,0.77,3.43,1.66,
SUPX,236.29,217.54,14.12,64.47,-9.43,-10.12,99,84,98,43,45,51.4,1.0,33.04,17.87,
THAR,221.25,180.17,-9.52,-16.31,-49.0,-61.22,99,32,28,9,7,5.95,0.05,2.9,2.0,
OPAD,216.2,1.66,8.03,-55.46,-46.48,-30.74,99,78,5,9,21,5.15,0.36,2.1,1.54,
ONDS,210.1,163.01,50.07,-4.27,-21.48,-12.82,99,96,53,25,41,5.86,1.0,3.99,2.49,
QMMM,202.24,142.84,89.81,-26.59,-73.22,-82.54,99,98,17,4,3,5.3,0.43,3.39,2.12,
IPDN,195.65,0.34,4.81,-54.64,-47.45,-47.02,99,73,5,9,12,6.69,0.21,3.0,2.29,
OPEN,193.61,257.39,121.66,-49.5,-29.15,-19.49,99,99,6,18,32,4.45,0.87,3.34,1.77,
EQ,172.62,214.74,-29.62,-39.41,-14.18,-46.24,99,8,9,35,12,1.74,0.57,1.2,0.64,
CELC,163.58,193.21,11.04,-8.21,-36.15,-29.55,99,82,43,14,22,51.23,0.97,48.25,24.43,
OVID,163.31,124.17,39.49,-54.89,-57.15,-56.61,99,94,5,6,8,1.28,0.27,0.86,0.53,
ZONE,152.56,91.84,82.02,64.45,-36.42,-34.42,99,98,98,14,18,6.86,1.0,4.72,3.52,
VFF,152.14,146.2,55.57,53.97,-23.97,-29.13,99,96,97,23,22,3.27,1.0,2.41,1.62,
NBY,150.18,35.99,1.06,-13.06,-47.54,-83.83,99,66,33,9,3,1.78,0.07,0.9,0.71,
ONEG,142.86,143.28,63.48,32.96,-20.28,,99,97,95,27,,11.95,1.0,9.01,6.31,
SUIG,136.63,134.06,173.42,-10.85,-22.88,-32.01,99,99,37,24,20,6.93,0.94,6.31,3.61,
SLGL,135.9,149.86,47.91,3.92,-9.98,-42.69,99,96,76,42,14,22.79,0.8,17.98,11.25,
PGEN,129.78,124.33,-8.55,-7.27,31.78,-36.52,99,35,45,95,17,4.51,1.0,3.02,2.03,
BW,123.98,79.94,10.26,-38.28,-33.39,19.2,99,81,10,16,85,2.23,0.37,1.55,1.17,
MENS,120.77,110.51,35.28,,,,99,93,,,,54.81,1.0,42.0,24.53,
LWLG,117.93,63.19,91.88,-38.64,-55.37,-32.5,99,98,10,7,19,3.36,0.48,2.41,1.73,
VSAT,116.59,98.62,25.0,-9.23,-31.61,-52.51,99,90,40,17,10,32.33,1.0,25.91,17.23,
SATS,116.5,7.73,7.61,-30.28,29.46,24.13,99,78,14,95,88,61.79,1.0,34.66,27.97,
IPA,116.02,213.31,191.28,25.22,-49.98,-70.88,99,99,93,8,5,2.37,0.71,2.24,1.5,
IMRX,112.42,91.22,81.04,-2.16,-9.89,-41.99,98,98,59,42,14,5.75,0.59,4.2,3.36,
IREN,112.18,81.34,65.83,-10.97,-22.87,54.91,98,97,37,24,95,26.48,1.0,20.29,15.45,
TLRY,111.88,82.61,5.92,-50.83,-51.48,-36.07,98,75,6,8,17,1.38,0.38,0.96,0.64,
JMIA,111.06,104.42,41.97,3.48,-56.19,-38.31,98,95,76,7,16,8.6,0.6,6.89,4.84,
LIDR,108.97,115.2,356.84,-23.32,-57.74,-38.7,98,99,19,6,16,2.82,0.32,2.75,1.75,
CRML,105.32,128.89,52.65,-65.44,-75.77,-36.73,98,96,3,3,17,6.2,0.4,5.41,3.62,
IMAB,104.66,166.04,46.87,38.14,-26.26,-47.01,98,95,96,21,12,4.16,0.79,4.03,2.73,
COMM,104.54,108.2,29.86,17.91,45.61,54.33,98,92,90,97,95,16.04,1.0,14.1,9.38,
FSI,103.2,40.61,-9.83,-6.84,44.33,52.15,98,32,46,97,95,11.25,1.0,7.4,5.69,
WULF,100.25,101.98,23.95,-23.1,-18.91,100.17,98,90,20,29,98,9.45,1.0,7.47,5.44,
VSME,99.18,12.34,19.79,-21.08,-28.95,-52.98,98,88,22,18,10,2.23,0.05,1.45,1.15,
