Ticker,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Rating (1M),Rating (3M),Rating (6M),Rating (9M),Price,52W pos,MA10,MA30,Volume / VMA10
WBX,256.44,434.56,-40.57,-45.57,-57.99,-47.13,99,10,12,8,12,5.96,0.97,3.23,1.53,
ZEPP,224.15,213.81,-21.73,-11.55,-18.98,-14.48,99,21,41,30,37,14.0,1.0,6.34,4.01,
NNNN,179.48,269.99,21.39,14.09,,,99,94,89,,,47.75,0.97,30.24,16.0,
SY,169.88,185.01,3.96,-2.55,-12.5,-15.42,99,80,57,39,36,4.49,1.0,2.64,1.55,
SONN,155.61,57.43,-65.4,-72.66,-86.32,-67.99,99,5,5,3,6,9.77,0.14,4.06,2.91,
PTNM,129.76,93.68,44.45,,,,99,97,,,,13.97,1.0,8.61,5.78,
SRM,121.33,149.01,109.4,-46.89,-59.9,-52.89,99,99,11,8,10,6.72,0.6,5.53,2.8,
DALN,115.7,149.75,-20.88,-8.04,25.53,2.02,99,21,47,93,71,13.67,1.0,7.9,6.0,
NEGG,109.62,333.11,10.21,-57.01,-47.31,-38.66,99,88,8,11,15,29.33,0.56,20.98,12.96,
VIOT,107.64,84.26,-5.76,1.22,5.68,11.81,99,49,66,78,85,3.68,1.0,2.16,1.67,
IPA,107.21,90.08,14.38,-24.43,-47.63,-62.36,99,91,25,11,8,1.82,0.62,1.18,0.79,
VOR,106.63,166.7,-76.55,-38.83,-12.13,-61.5,99,4,15,40,8,2.24,0.65,1.38,0.99,
PROK,106.5,229.59,-37.56,-50.32,-42.52,-47.63,99,11,10,13,12,3.37,0.22,1.94,1.46,
TAOX,103.2,113.63,14.82,-36.87,-38.95,-54.91,99,91,16,14,10,9.69,0.39,6.49,4.28,
INKT,102.76,500.06,-15.03,-13.53,-9.2,-39.65,99,29,38,46,15,28.01,0.39,21.27,12.78,
ABVC,101.84,158.28,61.82,14.87,-46.52,-59.46,99,98,90,11,8,3.57,0.89,2.66,1.61,
BMNR,99.95,131.26,-32.3,,,,99,13,,,,39.96,0.27,36.11,19.02,
AMPX,98.08,90.64,33.8,-14.53,19.81,-52.04,99,96,36,91,10,7.49,0.98,4.91,3.46,
MTEN,96.73,75.06,43.95,-11.38,10.35,2.78,99,97,41,84,73,20.8,1.0,13.91,9.9,
PTHL,95.56,125.5,194.57,-14.7,-11.63,3.41,99,99,36,41,74,20.61,0.98,16.65,9.84,
SOGP,95.13,118.62,-19.58,-5.99,-32.27,-42.24,99,23,50,18,14,5.99,0.65,4.19,2.81,
SBET,91.12,56.97,-31.89,-60.48,-52.91,-40.73,99,13,7,9,15,28.97,0.36,19.62,13.8,
MP,90.6,62.56,27.53,28.77,9.96,0.83,99,96,96,84,69,58.22,1.0,38.16,28.46,
LIXT,90.13,129.37,-28.88,-32.52,-7.72,-32.19,99,15,18,49,19,3.71,0.86,2.35,1.82,
MGRM,86.97,12.28,-4.39,7.74,-13.76,-27.16,99,54,79,37,23,5.9,0.93,3.51,2.91,
