Ticker,Name,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
3114,好德,3.883892572787685e+22,3.883892572787685e+22,3.5422485988266486e+21,8.328205191364765e+16,98.86,100.78,99,99,31,26,22.8,0.0,21.6,34.02,2.18
1752,南光,34918185.83,240181277.2,1198318757521.88,2.1333932078064145e+24,1.3372346382644001e+23,383.42,99,99,99,99,35.5,0.0,35.1,58.67,0.88
00676R,富邦臺灣加權反1,386.61,520.92,1753.61,6869.97,2519.99,115.01,99,99,99,81,11.74,0.69,12.49,7.37,0.86
4946,辣椒,250.3,268.84,332.32,338.99,195.81,94.01,99,99,99,8,176.0,0.63,193.64,94.06,1.11
6499,益安,231.93,231.93,220.74,179.93,103.99,100.86,99,98,59,26,128.5,0.85,106.89,59.31,1.01
6925,意藍,214.15,214.15,200.05,150.81,120.15,98.16,99,97,90,16,172.0,0.92,117.8,70.25,1.37
5251,天鉞電,204.2,211.64,212.42,193.28,103.26,84.18,99,99,54,2,57.2,0.9,52.97,34.02,0.22
3297,杭特,202.83,202.83,196.54,163.53,103.81,98.48,99,98,57,17,69.9,0.98,44.06,29.0,1.91
8072,陞泰,173.81,182.23,185.16,182.62,109.31,100.38,99,98,77,24,43.15,0.7,46.93,32.14,0.11
2468,華經,168.03,178.95,218.4,239.54,172.44,102.83,99,99,98,35,61.8,0.68,66.92,41.96,0.16
3434,哲固,163.67,180.38,209.55,209.58,127.87,100.68,99,99,93,25,47.05,0.48,55.98,38.82,0.12
5475,德宏,161.44,161.44,149.31,115.8,99.91,99.68,98,85,37,21,30.1,0.92,20.62,14.98,1.84
6228,全譜,161.43,173.53,185.81,180.33,93.59,154.26,98,98,12,97,42.15,0.38,46.32,37.99,0.15
6276,安鈦克,158.4,158.54,158.65,144.71,105.82,86.86,98,97,67,2,57.4,0.75,54.49,40.84,0.2
6596,寬宏藝術,157.32,157.32,155.18,145.48,124.42,107.97,98,97,92,63,158.5,0.92,135.21,91.81,1.2
6148,驊宏資,155.99,171.36,207.44,224.14,161.86,106.97,98,99,98,57,51.6,0.58,61.35,41.11,0.11
1616,億泰,148.49,150.1,150.2,136.38,106.12,99.34,98,96,68,19,32.8,0.66,30.08,22.49,0.53
2429,銘旺科,147.3,152.77,176.48,177.25,152.7,100.19,98,98,98,23,64.4,0.74,62.43,42.65,0.66
8210,勤誠,145.68,145.68,136.15,115.35,100.62,103.56,98,84,41,39,527.0,0.98,378.38,296.81,1.3
5439,高技,143.63,145.07,157.6,158.45,146.56,111.9,98,98,97,76,236.0,0.95,201.17,139.74,1.1
2383,台光電,142.1,142.1,136.77,126.29,129.29,115.15,98,93,94,81,941.0,0.97,791.56,594.07,0.85
1295,生合,141.39,141.39,136.49,112.78,98.96,127.1,98,80,32,91,131.0,0.85,96.72,80.21,1.58
6574,霈方,140.96,142.13,142.03,124.91,104.56,118.86,98,93,62,85,76.5,0.57,75.12,59.26,0.45
2424,隴華,140.18,148.63,153.15,147.71,136.42,227.35,98,97,95,99,67.7,0.51,89.37,72.43,0.33
6130,上亞科技,139.76,141.54,156.86,154.91,109.2,97.93,98,97,77,15,38.95,0.72,36.11,29.24,3.01
6739,竹陞科技,138.63,138.63,130.27,135.62,135.69,147.03,98,96,95,96,401.0,0.97,296.43,230.86,0.42
3128,昇銳,138.41,138.41,128.43,114.67,106.04,105.37,98,83,67,48,45.4,0.85,35.16,29.81,0.65
6654,天正國際,137.95,145.03,162.26,162.45,129.08,100.03,98,98,94,22,76.5,0.8,76.99,56.4,0.48
6140,訊達,136.7,139.07,155.52,169.81,141.84,97.15,98,98,96,13,43.3,0.77,43.41,33.02,0.23
8088,品安,136.63,140.31,158.31,158.55,120.39,83.47,98,98,90,1,30.75,0.61,33.56,26.3,0.15
00632R,元大台灣50反1,136.27,154.4,226.75,1370.42,12199.69,2627.89,98,99,99,99,21.4,0.69,22.8,18.06,0.58
2756,聯發國際,136.18,138.55,139.06,133.4,103.04,101.61,98,95,53,30,111.5,0.92,104.9,83.87,3.82
3004,豐達科,136.12,136.17,136.82,133.46,109.88,102.23,97,95,78,32,126.0,0.6,131.37,101.09,0.14
6560,欣普羅,135.82,135.82,134.24,131.17,101.05,96.07,97,94,43,11,39.2,0.57,39.71,33.55,0.58
3205,佰研,135.46,135.46,128.56,109.65,94.54,94.1,97,72,15,8,48.8,0.87,41.24,34.98,0.25
5201,凱衛,135.22,139.99,157.65,164.55,128.11,108.09,97,98,93,64,41.85,0.47,44.47,34.35,0.24
3379,彬台,133.86,134.29,146.55,176.39,180.67,106.94,97,98,98,56,68.8,0.76,72.35,52.4,0.34
2408,南亞科,133.8,135.74,137.89,136.46,107.46,80.31,97,96,72,1,42.95,0.39,47.45,39.63,1.18
3528,安馳,133.51,136.69,167.41,169.3,129.0,115.37,97,98,94,82,86.3,0.82,83.4,63.74,1.01
6919,康霈*,133.51,133.51,128.87,145.53,149.23,104.0,97,97,97,40,1215.0,0.83,1002.64,752.15,1.14
1419,新紡,133.41,134.52,134.48,128.57,97.7,108.45,97,94,26,66,57.8,0.45,59.38,48.21,0.11
8489,三貝德,132.03,133.17,136.05,128.68,112.18,117.13,97,94,82,83,43.35,0.66,42.68,33.92,0.05
8038,長園科,131.84,131.84,126.36,107.96,103.65,107.43,97,65,56,59,36.2,0.75,32.87,27.95,1.37
3665,貿聯-KY,131.64,131.64,124.56,109.51,138.6,139.96,97,71,96,94,896.0,0.94,709.52,597.55,0.92
4554,橙的,131.39,132.0,134.38,133.35,104.24,108.19,97,95,60,64,39.2,0.58,39.06,31.6,0.59
3546,宇峻,131.15,134.78,135.92,136.83,105.69,102.52,97,96,66,34,101.5,0.49,107.94,86.48,0.42
