Ticker,Name,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
6144,得利影,Communication Services,Entertainment,469.3,507.62,578.49,568.43,353.05,125.61,99,99,99,77,114.0,0.92,103.01,45.6,2.64
3230,錦明,Technology,Electronic Components,414.3,468.84,429.16,403.5,186.62,105.51,99,99,94,58,57.0,0.89,46.08,21.37,
2543,皇昌,Industrials,Engineering & Construction,298.88,330.34,339.65,325.97,337.51,322.93,99,99,98,98,93.0,0.95,74.8,47.82,
6640,均華,Technology,Semiconductors,293.38,344.17,360.77,465.58,388.41,344.43,99,99,99,99,868.0,0.8,898.3,527.07,0.59
8374,羅昇,Industrials,Industrial Distribution,292.46,298.36,315.26,438.98,335.22,90.95,99,99,98,26,142.5,0.89,139.41,71.89,
6442,光聖,Technology,Electronic Components,292.2,325.09,325.09,504.47,537.11,228.44,99,99,99,97,440.5,0.79,394.26,244.93,
4583,台灣精銳,Industrials,Specialty Industrial Machinery,278.09,288.2,267.48,278.16,109.28,103.59,99,98,65,54,790.0,0.95,590.15,335.99,1.33
8937,合騏,Consumer Cyclical,Recreational Vehicles,275.94,294.76,322.55,266.68,133.51,101.39,99,97,81,50,82.4,0.98,62.13,33.11,1.15
4562,穎漢,Industrials,Specialty Industrial Machinery,261.57,272.55,276.89,352.39,339.46,101.93,99,99,98,51,69.8,0.84,69.94,39.62,
6609,瀧澤科,Technology,Electronic Components,254.68,254.68,216.2,223.49,126.88,89.55,99,96,78,22,112.5,1.0,76.51,47.48,
8080,印鉐,Technology,Electronic Components,249.93,249.93,243.23,281.46,171.94,186.26,99,98,92,94,35.65,0.89,29.3,18.75,0.89
4909,新復興,Technology,Electronic Components,248.0,273.08,339.57,305.62,314.82,340.16,98,98,98,99,145.5,0.71,141.93,94.69,
6535,順藥,Healthcare,Biotechnology,246.6,254.37,270.66,227.09,251.53,309.03,98,96,97,98,318.0,0.95,267.76,193.7,
3450,聯鈞,Technology,Semiconductor Equipment & Materials,246.23,260.82,247.79,240.92,204.39,149.51,98,97,96,88,232.0,0.92,170.96,104.78,
2424,隴華,Technology,Consumer Electronics,227.69,237.06,232.32,204.57,81.12,104.47,98,96,12,56,80.6,0.94,53.97,35.83,0.33
5443,均豪,Technology,Semiconductor Equipment & Materials,227.65,238.78,282.38,311.43,213.83,188.4,98,98,96,95,131.5,0.81,133.51,77.1,
4903,聯光通,Technology,Communication Equipment,225.51,250.26,250.13,158.32,147.58,101.75,98,92,87,51,51.1,0.92,33.74,23.57,
3081,聯亞,Technology,Semiconductor Equipment & Materials,218.37,253.72,253.72,164.38,113.64,131.14,98,93,69,81,339.5,0.86,217.83,154.8,0.15
2070,精湛,Industrials,Specialty Industrial Machinery,213.74,221.15,289.79,286.5,133.53,106.56,98,98,82,59,97.5,0.79,88.36,50.62,
6223,旺矽,Technology,Semiconductor Equipment & Materials,210.75,231.81,227.73,241.96,199.29,184.33,98,97,96,94,829.0,0.97,743.6,482.47,0.45
6231,系微,Technology,Software—Application,210.26,211.96,244.84,246.84,251.31,200.51,98,97,97,95,578.0,1.0,479.96,319.4,1.53
2467,志聖,Industrials,Specialty Industrial Machinery,208.68,230.47,245.31,274.47,249.72,249.3,98,97,97,97,222.5,0.87,216.3,150.23,
3167,大量,Industrials,Specialty Industrial Machinery,208.53,249.3,249.3,194.9,117.11,137.97,98,95,72,84,148.5,0.84,107.58,72.13,0.76
3363,上詮,Technology,Communication Equipment,207.37,220.97,220.97,183.38,220.63,251.7,98,94,96,98,243.5,0.97,183.02,135.88,0.17
6187,萬潤,Industrials,Specialty Industrial Machinery,205.13,221.31,268.68,249.98,197.22,264.15,98,97,95,98,450.0,0.78,406.37,275.82,
6425,易發,Technology,Semiconductor Equipment & Materials,201.67,208.32,209.97,168.33,349.91,333.66,98,93,99,99,88.0,0.88,67.47,64.19,2.83
2365,昆盈,Technology,Computer Hardware,201.18,205.14,253.38,373.04,345.15,196.01,98,99,98,95,49.5,0.69,56.68,35.37,0.24
4510,高鋒,Industrials,Specialty Industrial Machinery,200.35,200.35,257.79,290.65,144.04,100.58,98,98,86,48,47.5,0.81,45.4,25.07,1.12
3013,晟銘電,Technology,Computer Hardware,199.14,203.99,212.17,194.09,207.28,175.0,98,95,96,93,159.0,1.0,120.3,83.17,
5314,世紀,Technology,Semiconductors,199.07,205.53,230.95,263.84,613.63,1017.36,98,97,99,99,222.5,0.5,185.94,205.76,
6739,竹陞科技,Technology,Semiconductors,196.23,208.09,240.35,284.32,169.81,173.13,98,98,92,92,183.5,0.77,171.9,109.89,
6199,天品,Technology,Computer Hardware,195.28,195.97,201.76,235.67,128.4,153.26,97,97,79,89,55.3,0.84,57.06,35.89,
2359,所羅門,Technology,Electronic Components,192.48,195.03,222.16,280.45,387.33,240.42,97,98,99,97,150.5,0.8,153.49,112.19,0.64
3293,鈊象,Communication Services,Electronic Gaming & Multimedia,190.87,198.15,198.15,184.51,149.06,163.79,97,94,88,91,1080.0,1.0,863.84,607.78,
6706,惠特,Industrials,Specialty Industrial Machinery,187.59,208.22,220.93,205.33,167.18,83.64,97,96,92,9,166.5,0.86,146.99,92.75,0.5
8064,東捷,Technology,Semiconductor Equipment & Materials,186.9,186.9,196.82,244.83,212.98,152.02,97,97,96,88,62.4,0.89,59.13,39.75,
3466,德晉,Technology,Communication Equipment,184.45,184.45,162.63,221.1,308.94,129.46,97,96,98,80,81.5,0.76,67.36,54.39,
1799,易威,Healthcare,Drug Manufacturers—Specialty & Generic,182.22,215.06,304.54,452.0,450.29,239.89,97,99,99,97,110.0,0.43,173.31,104.33,
4956,光鋐,Technology,Electronic Components,181.75,183.92,168.67,150.87,136.22,136.13,97,90,83,83,43.0,1.0,29.43,23.81,0.44
4569,六方科-KY,Industrials,Metal Fabrication,178.05,196.33,240.78,233.35,96.84,87.92,97,96,46,17,207.0,0.68,177.3,116.18,1.01
6134,萬旭,Technology,Communication Equipment,177.67,177.67,155.02,126.72,97.93,97.71,97,81,49,42,43.85,0.99,29.21,23.12,1.32
3131,弘塑,Technology,Semiconductor Equipment & Materials,176.78,194.23,209.87,254.62,205.31,212.04,97,97,96,96,1670.0,0.73,1821.7,1206.32,0.48
1540,喬福,Industrials,Specialty Industrial Machinery,176.45,189.16,228.21,227.07,143.94,98.11,97,96,86,43,45.7,0.87,43.27,26.52,0.62
5481,新華,Consumer Defensive,Education & Training Services,174.64,183.28,180.13,189.76,93.66,95.22,97,95,41,37,28.75,0.97,23.64,16.22,
8111,立碁,Technology,Electronic Components,174.34,190.18,189.27,132.68,103.22,114.92,97,84,57,68,44.5,0.89,30.98,24.62,0.72
8028,昇陽半導體,Technology,Semiconductors,173.94,181.99,185.11,211.0,174.84,87.04,97,96,93,15,135.0,0.95,126.88,81.28,0.57
1595,川寶,Industrials,Specialty Industrial Machinery,173.32,173.32,137.46,94.49,86.27,85.53,97,46,23,12,78.9,1.0,43.7,38.6,10.49
3312,弘憶股,Technology,Electronics & Computer Distribution,173.09,176.26,199.56,280.27,302.7,200.93,97,98,98,95,72.6,0.61,77.21,57.42,0.72
4561,健椿,Industrials,Metal Fabrication,172.64,173.74,169.3,197.98,158.58,122.1,97,95,91,75,78.7,0.92,69.26,48.64,
5484,慧友,Industrials,Security & Protection Services,172.41,176.18,195.46,320.36,392.41,141.49,97,98,99,85,65.0,0.46,71.69,47.0,
8096,擎亞,Technology,Semiconductors,169.92,185.47,204.56,278.89,241.81,216.96,97,98,97,96,43.35,0.71,48.1,35.08,
5364,力麗店,Consumer Cyclical,Lodging,167.57,176.49,198.34,217.21,75.3,79.88,97,96,5,5,39.55,0.73,40.4,24.06,
