Ticker,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
DRUG,3748.36,3748.36,3256.08,93.19,71.31,90.76,99,36,9,26,54.08,1.0,15.15,4.76,0.15
WGS,1198.49,1289.64,1040.87,794.56,663.41,455.31,99,99,99,98,74.86,0.89,49.09,26.28,0.87
FTEL,808.08,905.65,905.65,579.66,1173.25,414.79,99,99,99,98,32.59,0.83,19.37,14.41,0.35
DOGZ,666.28,726.48,685.28,363.37,262.46,138.26,99,98,97,85,49.04,0.85,34.78,16.45,0.18
SEZL,628.51,707.27,710.02,521.68,297.61,313.32,99,99,98,97,204.72,0.89,171.19,96.51,0.61
WLGS,556.08,556.08,480.25,253.41,84.45,110.16,99,98,17,65,3.51,1.0,1.75,0.89,0.51
MNPR,526.61,553.22,1031.62,203.02,146.72,215.4,99,96,88,95,15.75,0.46,6.73,4.18,0.08
CHSN,467.37,632.87,636.03,683.75,152.8,116.62,99,99,90,73,9.67,0.62,6.62,3.06,0.48
ASTS,463.99,560.35,615.65,912.53,638.28,68.57,99,99,99,8,24.13,0.6,26.44,12.87,0.48
LENZ,463.76,466.31,446.24,588.61,614.29,743.7,99,99,99,99,28.65,1.0,24.26,17.09,0.92
NXL,436.32,453.65,361.31,182.48,445.69,467.62,99,95,99,98,2.85,0.89,1.14,1.08,0.68
CAPR,425.11,485.24,485.24,417.93,131.99,137.27,99,99,83,85,18.45,0.82,12.96,7.01,0.17
SMMT,399.37,467.59,544.45,818.49,419.71,241.74,99,99,98,96,20.39,0.62,20.24,9.79,0.23
CRVS,383.44,423.47,423.47,304.88,160.79,144.23,99,98,91,87,9.23,1.0,6.07,3.16,1.62
ATER,360.67,384.62,404.64,616.06,645.53,671.05,99,99,99,99,2.94,0.81,2.99,2.26,0.58
LUMN,352.83,398.32,445.38,493.55,208.44,90.58,99,99,95,25,7.61,1.0,6.32,2.98,1.6
