Ticker,Name,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
6144,得利影,Communication Services,Entertainment,302.83,320.25,335.88,335.11,196.86,111.32,99,99,98,78,105.0,0.84,103.79,46.22,1.01
3230,錦明,Technology,Electronic Components,287.77,288.54,280.36,229.7,138.89,108.1,99,99,93,74,52.2,0.8,47.29,21.79,0.57
8937,合騏,Consumer Cyclical,Recreational Vehicles,236.94,236.94,235.85,199.28,108.37,96.08,99,98,73,27,81.0,0.96,63.58,33.47,1.18
4510,高鋒,Industrials,Specialty Industrial Machinery,218.0,227.91,238.87,222.37,108.16,99.24,99,98,73,44,45.35,0.76,45.53,25.26,0.41
8374,羅昇,Industrials,Industrial Distribution,211.03,225.04,278.61,313.47,214.43,93.6,99,99,98,12,140.0,0.87,140.5,73.04,0.2
2070,精湛,Industrials,Specialty Industrial Machinery,210.52,211.37,211.67,189.64,111.56,103.57,99,98,77,62,97.3,0.79,90.01,51.28,0.36
4583,台灣精銳,Industrials,Specialty Industrial Machinery,206.89,206.89,195.07,161.53,107.9,100.55,99,96,72,51,820.0,1.0,605.03,339.66,0.75
5364,力麗店,Consumer Cyclical,Lodging,203.99,203.99,199.41,179.6,91.73,90.53,99,97,30,5,41.0,0.78,40.96,24.26,0.12
6199,天品,Technology,Computer Hardware,185.32,185.32,180.17,165.63,106.05,135.41,99,97,69,95,65.0,1.0,57.39,36.25,3.37
1540,喬福,Industrials,Specialty Industrial Machinery,184.29,190.18,190.75,179.62,109.52,99.13,99,97,74,44,45.1,0.86,43.33,26.7,0.19
5443,均豪,Technology,Semiconductor Equipment & Materials,182.73,188.54,201.27,200.01,152.28,151.92,99,98,95,97,130.5,0.81,135.22,78.13,0.12
2524,京城,Real Estate,Real Estate—Development,180.15,190.9,195.26,193.98,134.54,112.67,98,98,92,80,80.2,0.47,106.82,63.55,0.2
3073,天方能源,Technology,Semiconductors,179.92,200.7,223.68,222.97,142.13,106.88,98,98,94,71,75.9,0.59,81.5,50.51,0.8
8080,印鉐,Technology,Electronic Components,179.46,179.46,173.04,151.12,176.02,167.6,98,95,97,98,36.0,0.9,30.0,18.94,1.03
2424,隴華,Technology,Consumer Electronics,178.08,178.08,165.02,130.32,90.57,107.41,98,91,26,72,80.1,0.93,55.53,36.12,0.27
3167,大量,Industrials,Specialty Industrial Machinery,176.43,176.43,167.53,138.36,107.62,111.71,98,93,72,79,161.5,0.95,110.3,72.81,1.78
