Ticker,Name,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
6144,得利影,Communication Services,Entertainment,420.46,500.85,578.49,577.49,418.14,144.67,99,99,99,86,105.0,0.84,103.79,46.22,1.01
3230,錦明,Technology,Electronic Components,365.41,468.84,468.84,403.5,186.62,105.51,99,99,94,57,52.2,0.8,47.29,21.79,0.57
6442,光聖,Technology,Electronic Components,348.08,348.08,325.09,439.3,537.11,228.44,99,99,99,97,522.0,0.96,398.71,249.23,1.89
2543,皇昌,Industrials,Engineering & Construction,330.59,330.59,339.65,325.97,337.51,322.93,99,99,98,98,83.0,1.0,60.54,38.36,0.8
4583,台灣精銳,Industrials,Specialty Industrial Machinery,290.96,290.96,268.28,278.16,109.28,103.59,99,98,65,53,820.0,1.0,605.03,339.66,0.75
8374,羅昇,Industrials,Industrial Distribution,282.21,298.36,315.26,438.98,348.68,90.95,99,99,98,26,140.0,0.87,140.5,73.04,0.2
6640,均華,Technology,Semiconductors,281.56,331.02,360.77,465.58,388.41,344.43,99,99,99,99,829.0,0.76,905.88,532.47,0.57
8937,合騏,Consumer Cyclical,Recreational Vehicles,274.72,294.76,322.55,266.68,134.16,100.21,99,97,82,47,81.0,0.96,63.58,33.47,1.18
6609,瀧澤科,Technology,Electronic Components,268.37,268.37,252.14,223.49,126.88,90.32,99,96,78,24,118.0,1.0,79.19,48.32,2.0
3450,聯鈞,Technology,Semiconductor Equipment & Materials,268.13,268.13,247.79,240.92,204.39,149.51,99,97,96,88,251.5,1.0,176.03,106.62,1.57
8080,印鉐,Technology,Electronic Components,262.27,262.27,243.23,281.46,171.94,186.26,99,98,92,94,36.0,0.9,30.0,18.94,1.03
4562,穎漢,Industrials,Specialty Industrial Machinery,254.88,272.55,276.89,352.39,339.46,101.96,98,99,98,50,69.1,0.83,70.12,40.18,0.24
6535,順藥,Healthcare,Biotechnology,251.51,253.56,270.66,227.09,249.87,309.03,98,96,97,98,323.0,0.97,272.39,196.27,0.47
3081,聯亞,Technology,Semiconductor Equipment & Materials,238.41,238.41,253.72,168.26,113.64,131.14,98,93,70,81,362.0,0.94,225.27,156.34,0.16
4909,新復興,Technology,Electronic Components,231.79,273.08,339.57,305.62,285.96,340.16,98,98,98,99,145.0,0.71,143.12,95.84,0.46
3167,大量,Industrials,Specialty Industrial Machinery,230.9,230.9,249.3,213.67,117.11,137.97,98,96,72,84,161.5,0.95,110.3,72.81,1.78
2424,隴華,Technology,Consumer Electronics,229.21,232.29,237.06,204.57,81.12,104.47,98,96,12,55,80.1,0.93,55.53,36.12,0.27
5443,均豪,Technology,Semiconductor Equipment & Materials,228.24,236.17,282.38,311.43,213.83,188.4,98,98,96,95,130.5,0.81,135.22,78.13,0.12
6199,天品,Technology,Computer Hardware,225.1,225.1,201.76,235.67,128.4,153.26,98,97,79,89,65.0,1.0,57.39,36.25,3.37
4903,聯光通,Technology,Communication Equipment,219.54,250.26,250.26,168.46,147.58,101.75,98,93,87,50,51.8,0.93,34.79,23.91,0.97
6223,旺矽,Technology,Semiconductor Equipment & Materials,219.45,227.19,231.81,241.96,199.29,184.33,98,97,95,94,860.0,1.0,754.27,487.08,0.77
8064,東捷,Technology,Semiconductor Equipment & Materials,215.17,215.17,196.82,244.83,222.05,152.02,98,97,96,88,71.5,1.0,59.83,40.26,2.77
2070,精湛,Industrials,Specialty Industrial Machinery,213.88,221.15,289.79,289.79,135.2,106.56,98,98,82,58,97.3,0.79,90.01,51.28,0.36
3363,上詮,Technology,Communication Equipment,212.74,212.74,220.97,179.39,220.63,251.7,98,94,96,98,250.0,1.0,185.89,137.11,0.17
6231,系微,Technology,Software—Application,211.87,211.96,244.84,244.84,251.31,200.51,98,97,97,95,584.0,1.0,487.17,321.99,0.48
6739,竹陞科技,Technology,Semiconductors,207.58,207.58,240.35,284.32,169.81,173.13,98,98,92,92,191.0,0.82,174.0,111.26,1.28
4569,六方科-KY,Industrials,Metal Fabrication,205.31,205.31,240.78,233.35,96.84,89.23,98,96,46,20,237.0,0.85,181.89,117.02,5.28
6187,萬潤,Industrials,Specialty Industrial Machinery,201.55,221.31,268.68,249.98,197.22,264.15,98,97,95,98,445.5,0.77,414.14,278.97,0.31
3535,晶彩科,Technology,Computer Hardware,200.5,200.5,227.4,332.69,294.79,113.36,98,99,98,66,64.9,0.74,65.08,40.15,3.15
5314,世紀,Technology,Semiconductors,200.12,204.5,230.95,263.84,613.63,1017.36,98,97,99,99,220.5,0.49,188.33,207.17,0.75
3013,晟銘電,Technology,Computer Hardware,197.68,203.99,212.17,197.79,207.28,175.0,98,95,96,93,163.0,1.0,123.29,84.31,1.33
2467,志聖,Industrials,Specialty Industrial Machinery,194.73,227.68,245.31,274.47,271.2,249.3,97,98,97,97,212.5,0.82,218.32,151.82,0.38
3293,鈊象,Communication Services,Electronic Gaming & Multimedia,194.53,198.51,198.15,184.51,149.31,163.79,97,94,88,91,1085.0,0.97,878.69,615.05,0.84
6706,惠特,Industrials,Specialty Industrial Machinery,194.36,200.08,220.93,205.33,167.18,83.31,97,96,92,8,176.0,0.93,149.5,93.45,0.86
2365,昆盈,Technology,Computer Hardware,192.48,205.14,253.38,373.04,354.6,196.01,97,99,99,95,49.2,0.68,56.4,35.66,0.19
2359,所羅門,Technology,Electronic Components,189.44,195.03,222.16,276.49,387.33,240.42,97,98,99,97,147.5,0.78,153.44,113.1,0.21
4510,高鋒,Industrials,Specialty Industrial Machinery,189.2,200.35,257.79,290.65,144.04,100.58,97,98,86,47,45.35,0.76,45.53,25.26,0.41
6425,易發,Technology,Semiconductor Equipment & Materials,188.91,205.31,209.97,171.34,349.91,333.66,97,93,99,99,83.5,0.83,68.26,64.71,0.51
3581,博磊,Technology,Semiconductors,186.32,186.32,195.25,195.25,156.01,116.52,97,95,90,70,71.8,1.0,54.49,37.88,1.7
3466,德晉,Technology,Communication Equipment,184.01,193.5,180.43,221.1,308.94,138.67,97,96,98,84,81.7,0.76,67.83,54.98,1.67
4956,光鋐,Technology,Electronic Components,181.1,183.92,182.87,150.87,136.22,135.05,97,90,83,82,45.2,1.0,29.97,23.99,0.41
6151,晉倫,Basic Materials,Specialty Chemicals,180.36,180.36,150.44,150.83,106.46,92.14,97,90,61,30,62.0,1.0,40.76,30.91,9.13
4716,大立,Basic Materials,Specialty Chemicals,179.68,179.68,178.14,179.6,132.54,118.64,97,94,81,71,34.35,1.0,25.81,18.87,2.01
6763,綠界科技*,Industrials,Conglomerates,176.5,176.5,112.53,98.9,86.88,102.39,97,54,25,51,88.0,1.0,48.18,44.36,1.85
5364,力麗店,Consumer Cyclical,Lodging,176.28,181.32,198.34,217.21,90.93,79.88,97,96,35,5,41.0,0.78,40.96,24.26,0.12
3131,弘塑,Technology,Semiconductor Equipment & Materials,176.08,183.25,209.87,254.62,205.31,212.04,97,97,96,96,1630.0,0.71,1827.04,1214.82,1.32
8111,立碁,Technology,Electronic Components,175.29,190.18,190.18,132.68,103.22,114.92,97,84,57,68,44.75,0.9,31.67,24.78,0.79
4563,百德,Industrials,Specialty Industrial Machinery,172.02,176.59,208.7,207.67,105.56,105.77,97,96,60,57,114.0,0.81,96.21,63.57,0.26
8028,昇陽半導體,Technology,Semiconductors,171.35,180.49,185.11,211.0,174.84,87.04,97,96,93,15,133.0,0.92,127.83,81.84,0.29
1799,易威,Healthcare,Drug Manufacturers—Specialty & Generic,171.23,210.52,304.54,452.0,450.29,239.89,97,99,99,97,104.0,0.39,170.1,104.99,0.33
4561,健椿,Industrials,Metal Fabrication,171.06,173.74,169.3,197.98,158.58,122.1,97,95,91,74,76.7,0.88,70.45,49.06,0.3
8032,光菱,Technology,Computer Hardware,170.71,170.71,163.64,144.46,82.66,90.33,97,89,15,25,58.1,1.0,36.85,31.04,3.44
3663,鑫科,Industrials,Metal Fabrication,170.48,170.48,205.14,238.81,148.91,129.14,96,97,88,79,91.1,0.75,93.73,59.32,0.95
4576,大銀微系統,Industrials,Electrical Equipment & Parts,170.21,170.21,133.72,140.94,94.99,107.6,96,88,43,59,144.5,1.0,99.62,79.16,0.5
1540,喬福,Industrials,Specialty Industrial Machinery,170.08,189.16,228.21,227.07,146.53,101.72,96,96,87,50,45.1,0.86,43.33,26.7,0.19
8096,擎亞,Technology,Semiconductors,169.69,185.47,204.56,278.89,241.81,216.96,96,98,97,96,43.4,0.71,48.14,35.37,0.23
5234,達興材料,Basic Materials,Specialty Chemicals,168.93,168.93,179.99,173.72,130.61,147.02,96,94,80,87,254.5,0.98,197.0,153.53,1.04
5481,新華,Consumer Defensive,Education & Training Services,168.67,183.28,183.28,189.76,93.66,95.22,96,95,41,37,27.6,0.9,24.08,16.36,0.22
6405,悅城,Technology,Electronic Components,166.6,166.6,153.49,153.49,90.88,102.65,96,91,35,52,49.55,1.0,34.42,26.91,7.39
1595,川寶,Industrials,Specialty Industrial Machinery,165.58,174.21,140.42,94.49,86.27,85.53,96,46,23,12,74.0,0.89,44.67,38.79,2.82
3312,弘憶股,Technology,Electronics & Computer Distribution,165.54,176.26,199.56,280.27,302.7,200.93,96,98,98,95,70.3,0.58,77.15,57.83,0.32
3498,陽程,Industrials,Specialty Industrial Machinery,163.33,165.52,165.11,145.77,136.87,101.4,96,89,83,49,71.6,0.95,55.5,41.67,1.34
5484,慧友,Industrials,Security & Protection Services,163.31,176.18,195.46,320.36,392.41,141.49,96,98,99,85,61.2,0.42,71.32,47.39,0.3
6134,萬旭,Technology,Communication Equipment,163.21,177.67,176.94,131.32,97.93,97.71,96,84,49,42,40.85,0.88,29.81,23.25,0.6
5432,新門,Technology,Electronic Components,162.15,162.15,212.63,287.68,316.24,332.39,96,98,98,99,263.0,0.83,273.06,204.01,0.46
2486,一詮,Technology,Electronic Components,162.01,162.01,156.0,187.92,230.4,155.74,96,95,97,89,132.5,0.89,101.8,85.59,2.3
6215,和椿,Industrials,Specialty Industrial Machinery,161.22,161.66,182.99,186.49,188.11,137.61,96,95,94,83,67.7,0.95,66.0,48.08,0.23
3073,天方能源,Technology,Semiconductors,161.21,165.92,234.05,257.95,288.31,104.37,96,97,98,54,75.9,0.59,81.5,50.51,0.8
3086,華義,Communication Services,Electronic Gaming & Multimedia,160.4,179.14,237.53,237.53,153.23,209.0,96,97,89,96,195.0,0.68,200.92,144.13,0.17
6438,迅得,Industrials,Specialty Industrial Machinery,160.22,161.87,143.49,109.95,100.76,108.18,96,70,53,60,222.0,0.96,141.01,122.33,1.05
4729,熒茂,Technology,Electronic Components,160.1,169.96,160.79,155.91,99.05,124.51,96,91,50,76,33.1,0.89,26.35,20.14,1.32
4991,環宇-KY,Technology,Semiconductor Equipment & Materials,159.62,162.85,159.1,102.95,131.14,85.64,96,61,80,12,64.3,0.98,43.74,37.15,0.92
6854,錼創科技-KY創,Technology,Electronic Components,159.56,159.56,144.85,89.95,72.76,88.59,96,33,3,19,156.0,1.0,90.14,84.52,1.69
1235,興泰,Consumer Defensive,Farm Products,158.69,161.54,167.82,151.91,104.42,105.27,95,90,58,56,156.0,0.98,134.63,95.97,0.76
6246,臺龍,Technology,Electronic Components,158.61,158.61,169.47,124.91,93.3,119.26,95,80,40,72,27.1,0.94,19.47,16.22,0.79
8249,菱光,Industrials,Electrical Equipment & Parts,158.54,158.54,184.95,184.95,82.7,98.3,95,94,15,43,61.0,0.81,47.68,36.32,2.69
2399,映泰,Technology,Computer Hardware,156.91,164.0,164.0,120.49,89.65,119.3,95,78,32,72,43.2,1.0,28.45,24.15,1.72
3379,彬台,Industrials,Specialty Industrial Machinery,156.75,172.2,174.45,264.06,249.31,110.15,95,97,97,63,36.85,0.69,38.25,25.28,0.31
8089,康全電訊,Technology,Communication Equipment,156.22,156.96,215.38,320.8,288.77,344.94,95,98,98,99,87.3,0.54,112.8,92.28,0.33
6667,信紘科,Industrials,Specialty Industrial Machinery,155.29,155.29,161.98,176.6,175.26,189.98,95,94,93,95,234.5,0.99,214.1,173.92,1.26
6877,鏵友益,Technology,Semiconductor Equipment & Materials,154.43,160.87,163.36,216.15,136.15,78.21,95,96,83,3,70.5,0.68,72.98,46.97,0.08
3447,展達,Technology,Communication Equipment,153.37,153.37,123.94,104.33,74.18,77.66,95,63,4,3,64.2,1.0,41.46,35.76,8.78
6530,創威,Technology,Communication Equipment,153.17,159.81,163.2,133.36,111.9,157.95,95,84,68,90,83.8,0.96,60.18,51.92,1.3
3303,岱稜,Industrials,Metal Fabrication,152.99,152.99,168.08,189.85,130.09,106.73,95,95,80,59,61.2,0.81,60.33,42.46,0.63
4545,銘鈺,Industrials,Metal Fabrication,152.67,152.67,134.91,152.27,169.1,100.52,95,90,92,47,67.1,1.0,55.21,42.76,6.46
3047,訊舟,Technology,Communication Equipment,151.36,154.15,184.55,233.15,229.52,120.75,95,96,97,73,35.5,0.67,39.33,26.23,0.13
2524,京城,Real Estate,Real Estate—Development,151.13,173.39,234.06,303.4,168.85,139.85,95,98,92,84,80.2,0.47,106.82,63.55,0.2
5278,尚凡,Communication Services,Internet Content & Information,150.42,153.97,136.65,139.46,110.3,116.12,95,87,66,69,291.0,0.94,238.93,193.26,2.33
4571,鈞興-KY,Industrials,Tools & Accessories,150.07,150.07,176.82,170.14,151.93,124.0,95,93,89,76,171.5,0.86,152.4,117.49,0.4
6807,峰源-KY,Consumer Cyclical,"Furnishings, Fixtures & Appliances",149.85,152.0,160.84,179.19,152.65,120.41,95,94,89,73,77.5,0.95,73.62,53.82,0.31
5386,青雲,Technology,Computer Hardware,148.71,148.71,143.55,174.18,127.62,156.03,95,94,78,89,100.5,0.84,88.16,68.47,2.8
3149,正達,Technology,Electronic Components,148.14,156.97,154.32,120.23,112.2,131.09,95,78,68,80,44.5,0.95,31.94,27.47,0.53
8404,百和興業-KY,Consumer Cyclical,Footwear & Accessories,147.92,147.92,135.1,88.62,86.68,82.03,95,29,25,7,34.2,1.0,21.59,19.97,2.65
3653,健策,Technology,Electronic Components,147.59,147.59,150.89,157.68,140.73,158.46,94,91,85,90,1480.0,0.97,1335.51,1039.05,0.61
6629,泰金-KY,Consumer Cyclical,"Furnishings, Fixtures & Appliances",147.47,147.47,170.96,187.21,182.81,156.91,94,95,94,89,131.0,0.81,134.71,100.61,0.85
6788,華景電,Industrials,Electrical Equipment & Parts,147.11,147.11,156.4,185.82,128.63,101.53,94,95,79,50,274.0,0.86,260.68,179.25,1.64
3583,辛耘,Technology,Semiconductors,146.86,148.53,158.84,158.6,183.17,209.94,94,92,94,96,476.5,0.91,439.05,343.38,0.72
1736,喬山,Consumer Cyclical,Leisure,146.27,151.87,183.11,145.07,134.76,93.33,94,89,82,33,150.5,0.88,130.38,93.81,1.42
3289,宜特,Technology,Semiconductors,146.25,146.25,139.66,140.62,126.54,133.07,94,88,78,81,196.5,1.0,163.63,134.92,0.76
6863,永道-KY,Technology,Electronic Components,145.62,145.62,151.2,153.26,131.34,97.94,94,91,80,43,288.0,0.91,255.46,199.96,1.27
6419,京晨科,Industrials,Security & Protection Services,144.83,144.83,156.05,244.46,346.67,129.27,94,97,98,79,114.5,0.56,112.79,94.65,0.41
1528,恩德,Industrials,Specialty Industrial Machinery,144.79,144.79,112.26,102.09,95.96,124.08,94,59,44,76,21.9,1.0,14.31,13.41,16.85
4950,牧東,Consumer Cyclical,"Furnishings, Fixtures & Appliances",144.43,157.65,169.44,180.22,67.95,62.61,94,94,2,1,12.0,0.67,10.23,7.54,0.6
3430,奇鈦科,Basic Materials,Specialty Chemicals,144.14,144.14,161.84,139.25,110.35,94.19,94,87,66,35,88.3,0.9,69.4,56.84,3.41
