Ticker,Name,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
3230,錦明,281.08,288.67,288.67,245.3,140.88,105.82,99,99,93,71,45.45,0.68,49.15,22.73,0.55
6144,得利影,266.35,307.37,332.09,335.85,205.2,114.64,99,99,98,84,69.0,0.51,103.84,47.92,0.15
8937,合騏,236.39,236.97,236.72,211.34,111.81,91.56,99,98,77,10,85.6,1.0,67.13,34.96,1.56
4583,台灣精銳,215.46,215.46,205.04,171.92,107.52,98.67,99,97,72,46,782.0,0.91,642.02,353.66,1.04
4510,高鋒,208.98,219.74,238.85,231.82,110.24,97.19,99,99,76,39,42.3,0.68,45.99,25.92,0.37
2070,精湛,206.1,210.52,211.62,199.67,114.2,102.27,99,98,80,61,86.0,0.65,92.66,52.66,0.29
5364,力麗店,201.56,204.02,202.84,186.51,93.82,88.52,99,98,38,5,40.3,0.76,41.71,24.69,0.24
8374,羅昇,195.36,213.91,265.46,313.46,222.25,93.88,99,99,99,21,127.5,0.78,140.24,75.43,0.14
6199,天品,190.61,190.61,184.53,170.58,105.13,134.13,99,97,69,94,62.1,0.82,57.97,37.19,2.43
2424,隴華,187.29,187.29,175.51,137.63,88.66,86.67,99,93,19,3,73.1,0.81,60.04,37.31,0.61
4569,六方科-KY,183.87,183.87,171.44,139.71,97.49,90.16,99,93,51,7,290.0,0.96,197.48,121.36,7.86
8080,印鉐,183.81,183.81,178.2,158.25,175.89,171.19,98,96,97,98,33.5,0.82,31.57,19.55,0.13
6609,瀧澤科,182.35,182.35,173.67,155.06,115.83,96.03,98,96,82,34,105.5,0.85,84.76,50.21,0.8
3167,大量,182.27,182.27,174.53,146.31,106.32,111.71,98,94,71,80,149.0,0.85,116.35,75.13,1.97
1540,喬福,177.35,185.92,190.75,185.51,111.67,98.91,98,97,77,48,42.85,0.79,43.73,27.31,0.29
5443,均豪,174.52,183.58,200.85,201.28,152.28,152.49,98,98,96,97,119.5,0.72,137.12,80.23,0.12
3450,聯鈞,173.96,173.96,173.93,175.41,142.81,105.8,98,97,94,71,220.0,0.84,184.79,110.54,1.43
2524,京城,168.89,182.64,195.26,194.97,134.54,116.07,98,98,92,85,77.6,0.45,104.07,64.59,0.19
4563,百德,167.92,167.92,165.47,150.08,103.03,96.66,98,95,65,36,105.0,0.7,99.65,65.04,0.15
3663,鑫科,166.78,170.2,180.81,181.03,110.48,110.26,98,97,76,78,94.5,0.79,93.66,60.65,0.95
2543,皇昌,165.52,165.52,162.19,154.68,158.56,145.03,98,96,96,96,90.5,0.97,64.12,40.05,0.76
5481,新華,164.73,164.73,160.28,144.97,92.1,96.31,98,94,32,35,25.05,0.75,24.83,16.7,0.99
3081,聯亞,164.52,164.52,153.21,122.11,116.23,115.84,98,87,82,85,330.5,0.83,245.9,162.02,1.87
