Ticker,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
WBX,149210.5,149210.5,37055.6,86.33,71.87,80.33,99,5,2,2,4.83,0.73,2.66,1.07,0.12
RGC,29749.93,31350.76,30729.11,23486.42,1028.91,108.98,99,99,99,83,12.97,0.17,19.72,5.65,0.21
KLTO,23595.42,23595.42,15347.11,1618.16,99.14,81.87,99,99,7,2,0.92,0.42,1.05,0.53,0.02
IXHL,9403.57,9403.57,5871.95,1571.32,108.01,121.3,99,99,84,90,0.39,0.11,0.38,1.17,1.72
BMNR,3380.99,3380.99,1969.83,124.41,100.0,100.0,99,95,43,40,31.68,0.21,32.78,32.78,1.53
IBO,1055.15,1055.15,969.08,699.72,325.32,127.4,99,99,98,92,0.61,0.05,0.62,1.36,0.02
HYPD,899.99,899.99,714.95,185.76,37.2,62.94,99,98,1,1,7.08,0.07,7.49,9.06,0.08
BSGM,825.33,851.38,851.38,534.17,403.15,528.67,99,99,99,99,4.29,0.36,6.28,2.45,0.49
UPXI,804.02,1181.66,1578.69,1212.78,229.99,273.52,99,99,98,98,4.6,0.19,7.67,5.65,0.9
SPRO,651.52,651.52,593.8,339.99,81.28,101.45,99,99,2,76,2.3,0.7,2.5,1.32,0.09
ZKIN,646.97,688.87,883.69,14229.01,14229.01,163.66,99,99,99,96,2.01,0.45,2.32,1.44,0.22
NEGG,501.74,501.74,361.0,137.98,74.34,88.86,99,97,2,2,53.53,0.83,20.14,11.45,1.11
NVTS,500.09,500.09,449.94,271.93,151.1,135.87,99,98,96,94,7.96,0.86,6.72,3.65,0.58
DDC,452.5,452.5,398.0,190.87,113.52,80.82,99,98,88,2,11.94,0.56,11.7,6.2,0.59
VVPR,429.9,495.66,781.41,1093.25,316.99,141.82,99,99,98,95,3.91,0.52,5.19,2.59,0.35
SYTA,391.15,391.15,331.38,159.57,80.74,89.24,99,97,2,2,3.73,0.06,3.51,5.07,0.44
