Ticker,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
MIRA,982.52,1470.15,7414.06,7026.45,802.06,108.01,99,99,99,78,1.56,0.23,1.34,1.22,0.38
QH,889.07,889.07,760.19,373.97,72.54,101.48,99,99,2,68,1.3,0.7,1.32,0.84,0.0
CNEY,820.03,820.03,712.42,308.57,58.99,69.39,99,98,1,2,0.37,0.03,0.55,0.72,0.01
CING,700.7,712.67,648.0,467.77,62.79,121.46,99,99,2,88,4.33,0.02,4.74,8.69,1.0
IMG,507.16,507.16,430.37,266.8,237.09,83.3,99,98,98,3,0.65,0.05,0.8,1.53,0.02
WHLR,495.02,495.02,394.66,142.39,76.76,137.16,99,96,3,92,6.95,0.0,12.44,162.65,0.03
VRAX,467.32,473.17,470.12,438.41,180.83,63.58,99,99,96,1,1.94,0.23,2.19,1.53,0.06
DSY,422.47,431.18,420.62,215.14,90.35,94.98,99,98,7,55,2.52,0.17,4.15,5.97,0.94
NOVV,418.86,418.86,390.0,255.5,98.03,95.74,99,98,64,58,37.0,1.0,34.03,17.45,0.0
TIL,387.64,387.64,371.73,320.74,119.03,147.71,99,98,88,94,31.54,0.32,42.82,19.25,0.79
WLGS,385.03,385.03,324.1,180.22,128.18,212.65,99,97,91,97,3.92,0.78,2.15,0.98,0.21
ATNF,381.91,381.91,315.8,140.64,103.6,79.11,99,96,73,2,2.89,0.27,2.63,2.42,0.05
PRTG,360.54,361.06,340.84,235.33,78.7,80.12,99,98,3,2,4.22,0.06,5.75,6.59,0.02
NEON,345.94,349.91,350.9,336.75,165.44,146.94,99,98,96,94,5.9,0.43,8.33,3.84,0.57
BOF,333.44,333.44,299.87,219.71,193.59,196.95,99,98,97,97,2.0,0.5,1.87,1.61,0.16
SMMT,318.38,340.99,440.5,871.48,704.24,185.09,99,99,99,96,19.47,0.59,21.21,10.3,0.31
CAPR,308.87,308.87,275.41,148.52,137.75,134.9,99,96,93,92,16.91,0.73,14.63,7.44,0.44
DOGZ,297.67,298.24,291.3,277.22,290.03,254.26,99,98,98,98,44.39,0.77,36.93,17.6,0.25
NUTX,295.83,300.22,300.22,270.99,76.66,71.68,99,98,3,2,32.61,0.85,23.19,14.04,1.66
SERV,274.77,335.34,737.99,710.19,204.41,94.22,99,99,97,31,8.36,0.3,8.82,6.59,0.93
NCNA,259.53,261.6,266.11,250.6,68.74,83.49,99,98,2,3,1.58,0.01,2.28,4.42,0.08
ELWS,256.64,273.56,252.57,212.29,381.55,383.49,99,98,98,99,2.95,0.27,2.58,2.69,0.33
ASTS,250.56,284.65,400.07,695.97,582.92,105.82,99,99,99,74,27.89,0.71,25.7,13.49,2.07
LUCY,250.22,253.03,294.93,2029.21,1771.14,96.71,99,99,99,59,6.83,0.22,7.38,6.86,0.17
INM,248.67,248.67,229.47,174.69,86.26,97.15,99,97,5,60,0.23,0.33,0.25,0.29,0.97
PSNL,246.32,281.16,388.84,391.84,162.11,129.53,99,99,95,90,4.75,0.7,5.11,2.84,1.5
SGMO,243.2,243.2,232.23,202.44,166.21,213.26,99,98,96,97,2.44,0.83,1.27,0.82,1.26
