Ticker,Name,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
6144,得利影,Communication Services,Entertainment,307.39,322.56,335.88,332.74,193.26,109.97,99,99,98,77,114.0,0.92,103.63,46.1,2.27
3230,錦明,Technology,Electronic Components,288.71,288.71,276.25,226.04,137.86,108.1,99,99,93,74,52.6,0.81,46.81,21.73,1.36
8937,合騏,Consumer Cyclical,Recreational Vehicles,236.76,236.76,234.86,196.6,107.12,96.3,99,98,71,28,82.1,0.98,63.05,33.42,0.34
4510,高鋒,Industrials,Specialty Industrial Machinery,219.75,230.4,238.87,219.83,107.08,99.49,99,98,71,45,46.5,0.78,45.49,25.22,0.44
8374,羅昇,Industrials,Industrial Distribution,213.92,227.88,278.61,313.47,209.94,93.7,99,99,98,12,144.0,0.9,140.19,72.83,0.39
2070,精湛,Industrials,Specialty Industrial Machinery,210.55,211.37,211.67,186.46,110.34,103.57,99,98,76,62,95.5,0.77,89.32,51.17,0.2
4583,台灣精銳,Industrials,Specialty Industrial Machinery,205.08,205.08,192.57,158.75,107.9,100.69,99,96,72,52,837.0,1.0,600.29,339.11,1.67
5364,力麗店,Consumer Cyclical,Lodging,202.84,202.84,198.2,177.81,90.76,91.02,99,97,26,6,41.0,0.78,40.71,24.25,0.37
1540,喬福,Industrials,Specialty Industrial Machinery,185.92,190.46,190.75,177.81,108.42,99.17,99,97,73,43,45.55,0.87,43.32,26.66,0.3
6199,天品,Technology,Computer Hardware,184.54,184.54,179.53,164.2,106.51,135.41,99,97,70,95,61.2,0.97,57.31,36.18,5.73
3073,天方能源,Technology,Semiconductors,184.49,203.76,223.68,221.68,139.05,106.5,99,98,93,70,69.0,0.51,81.15,50.36,0.13
5443,均豪,Technology,Semiconductor Equipment & Materials,183.58,189.86,201.27,199.08,152.28,151.74,98,98,95,97,130.5,0.81,134.32,77.89,0.17
2524,京城,Real Estate,Real Estate—Development,182.64,192.33,195.26,193.15,134.54,111.66,98,98,92,79,81.9,0.49,106.76,63.39,0.23
8080,印鉐,Technology,Electronic Components,178.2,178.2,171.64,148.98,176.02,166.81,98,95,97,98,36.0,0.9,29.71,18.89,1.02
2424,隴華,Technology,Consumer Electronics,175.67,175.67,162.12,128.05,90.87,107.41,98,90,27,72,82.9,0.98,55.05,36.1,0.47
6640,均華,Technology,Semiconductors,175.54,181.75,198.96,200.69,216.97,204.42,98,98,99,99,826.0,0.75,900.72,530.5,0.66
3167,大量,Industrials,Specialty Industrial Machinery,174.53,174.53,165.37,135.75,107.94,111.71,98,92,72,79,147.0,0.83,109.23,72.62,0.72
6609,瀧澤科,Technology,Electronic Components,173.67,173.67,165.2,146.77,114.97,96.41,98,95,81,29,107.5,0.94,78.38,48.18,2.66
3450,聯鈞,Technology,Semiconductor Equipment & Materials,173.3,173.3,175.18,175.47,138.66,107.01,98,97,93,71,241.5,0.97,174.75,106.33,1.19
4562,穎漢,Industrials,Specialty Industrial Machinery,171.63,182.26,225.52,267.86,236.91,96.58,98,99,99,30,70.0,0.85,70.12,40.06,0.41
4569,六方科-KY,Industrials,Metal Fabrication,171.44,171.44,162.97,125.74,97.52,90.41,98,89,50,5,227.5,0.79,179.95,116.85,1.55
5345,天揚,Technology,Electronic Components,170.49,184.54,226.06,225.38,132.99,86.14,98,99,91,2,25.9,0.55,29.82,18.33,0.18
3663,鑫科,Industrials,Metal Fabrication,170.25,174.39,181.1,178.75,111.56,111.38,98,97,77,79,87.0,0.69,93.52,59.19,0.22
9906,欣巴巴,Industrials,Engineering & Construction,168.38,181.51,191.86,192.06,124.15,115.46,98,98,87,84,129.0,0.48,173.11,107.56,0.71
6706,惠特,Industrials,Specialty Industrial Machinery,167.39,171.09,174.97,176.76,143.35,104.88,98,97,94,66,173.5,0.91,148.48,93.29,0.97
3535,晶彩科,Technology,Computer Hardware,166.33,187.95,230.49,236.39,166.89,107.69,98,99,97,73,63.6,0.72,65.13,40.03,2.82
4563,百德,Industrials,Specialty Industrial Machinery,165.46,165.46,161.97,140.83,101.8,96.33,98,94,61,28,112.5,0.79,95.51,63.48,0.39
6739,竹陞科技,Technology,Semiconductors,163.51,164.22,169.0,164.95,135.16,131.68,98,97,92,94,190.0,0.81,173.46,110.97,0.4
4304,勝昱,Consumer Cyclical,Packaging & Containers,162.75,173.96,196.61,194.8,95.88,101.88,98,98,44,57,10.3,0.65,11.97,8.58,0.25
2543,皇昌,Industrials,Engineering & Construction,162.23,162.23,160.74,151.2,159.68,144.39,98,95,96,96,83.1,1.0,60.3,38.25,1.2
6442,光聖,Technology,Electronic Components,160.38,173.12,209.0,244.67,217.44,156.89,98,99,99,97,493.5,0.9,397.78,248.16,1.74
5481,新華,Consumer Defensive,Education & Training Services,160.28,160.28,153.59,137.68,91.79,96.23,97,93,30,28,28.1,0.93,23.95,16.35,0.38
6231,系微,Technology,Software—Application,159.74,165.1,169.24,168.89,139.56,139.64,97,97,93,95,595.0,1.0,484.79,321.44,0.7
4903,聯光通,Technology,Communication Equipment,159.35,159.35,150.93,133.1,122.8,106.74,97,92,86,70,50.0,0.89,34.57,23.87,0.54
8028,昇陽半導體,Technology,Semiconductors,158.86,165.64,179.5,182.79,138.64,96.32,97,97,93,28,135.5,0.95,127.46,81.7,0.41
6187,萬潤,Industrials,Specialty Industrial Machinery,158.32,158.32,155.27,140.7,152.85,153.83,97,94,96,97,437.5,0.75,410.87,278.2,0.17
6877,鏵友益,Technology,Semiconductor Equipment & Materials,157.6,160.19,171.73,175.5,122.57,91.35,97,97,86,6,70.8,0.69,72.96,46.91,0.11
2365,昆盈,Technology,Computer Hardware,156.43,172.76,205.28,233.45,175.84,141.6,97,99,97,96,49.2,0.68,56.5,35.55,0.15
4513,福裕,Industrials,Specialty Industrial Machinery,155.81,165.86,173.41,173.37,159.82,123.3,97,97,96,90,41.7,0.36,62.64,39.24,0.15
3018,隆銘綠能,Industrials,Engineering & Construction,154.85,160.99,168.94,163.27,113.46,97.35,97,96,79,34,29.9,0.89,28.47,19.68,0.66
3379,彬台,Industrials,Specialty Industrial Machinery,154.66,168.56,199.05,220.63,157.55,102.79,97,98,96,60,36.9,0.69,38.25,25.23,0.72
3081,聯亞,Technology,Semiconductor Equipment & Materials,153.19,153.19,142.97,114.99,115.72,115.13,97,83,82,84,352.5,0.9,222.71,156.03,0.09
8043,蜜望實,Technology,Electronic Components,152.78,152.78,150.2,141.02,85.49,100.06,97,94,8,48,43.75,0.73,42.56,30.09,1.98
3086,華義,Communication Services,Electronic Gaming & Multimedia,152.19,152.65,152.23,139.08,113.03,184.18,97,93,78,98,197.5,0.68,200.17,144.06,0.26
3581,博磊,Technology,Semiconductors,152.07,153.7,161.33,156.95,110.24,108.12,97,96,75,74,65.3,0.9,54.0,37.78,1.78
4909,新復興,Technology,Electronic Components,152.06,154.89,155.14,148.13,223.13,223.13,97,95,99,99,149.5,0.73,142.8,95.56,0.49
6228,全譜,Technology,Computer Hardware,152.03,158.37,175.69,193.75,135.47,105.18,97,98,92,67,46.0,0.45,50.75,35.96,0.09
1213,大飲,Consumer Defensive,Beverages—Non-Alcoholic,150.1,153.21,153.21,146.2,95.82,93.81,97,95,44,13,12.6,0.89,12.21,8.76,0.5
6223,旺矽,Technology,Semiconductor Equipment & Materials,149.98,150.96,150.97,150.56,147.35,132.51,97,95,95,94,834.0,0.98,749.84,485.58,0.73
3019,亞光,Technology,Electronic Components,149.05,154.69,156.03,147.2,97.95,102.7,97,95,51,60,105.5,0.63,114.6,80.8,0.18
3131,弘塑,Technology,Semiconductor Equipment & Materials,148.4,151.65,156.3,155.89,152.2,146.34,97,96,95,96,1610.0,0.7,1820.9,1211.51,0.65
4950,牧東,Consumer Cyclical,"Furnishings, Fixtures & Appliances",147.97,147.97,139.87,110.9,86.41,83.19,97,79,10,1,12.6,0.75,10.17,7.54,0.43
2349,錸德,Technology,Computer Hardware,147.95,158.35,178.84,176.74,128.06,96.93,96,97,89,32,15.2,0.63,16.0,11.17,0.19
4729,熒茂,Technology,Electronic Components,147.65,147.65,141.97,123.41,109.64,110.05,96,88,74,77,33.4,0.91,26.19,20.12,6.34
1799,易威,Healthcare,Drug Manufacturers—Specialty & Generic,147.5,165.9,209.32,215.48,173.95,141.12,96,98,97,95,107.0,0.39,170.49,104.67,0.54
3047,訊舟,Technology,Communication Equipment,147.03,160.67,188.14,199.21,157.18,112.36,96,98,96,80,35.85,0.68,39.31,26.18,0.2
3013,晟銘電,Technology,Computer Hardware,146.67,147.39,145.89,144.38,149.55,114.15,96,94,95,83,163.0,1.0,122.55,84.12,0.81
3580,友威科,Industrials,Specialty Industrial Machinery,146.34,150.89,163.44,163.59,117.75,100.26,96,96,83,49,94.9,0.62,102.0,71.37,0.24
3293,鈊象,Communication Services,Electronic Gaming & Multimedia,146.03,146.03,144.38,138.85,124.61,125.14,96,93,88,91,1120.0,1.0,876.5,613.99,0.96
1235,興泰,Consumer Defensive,Farm Products,145.79,145.79,142.99,131.43,98.1,96.52,96,91,52,30,156.5,0.99,134.2,95.88,0.17
4534,慶騰,Industrials,Metal Fabrication,144.63,156.16,185.12,195.66,149.37,103.94,96,98,95,64,23.0,0.64,25.54,17.22,0.18
8064,東捷,Technology,Semiconductor Equipment & Materials,144.32,150.04,169.48,171.83,147.37,131.06,96,97,95,93,68.0,0.99,59.59,40.13,1.65
1736,喬山,Consumer Cyclical,Leisure,144.31,144.65,144.3,129.66,113.75,94.05,96,91,79,14,149.5,0.87,129.92,93.68,0.92
6788,華景電,Industrials,Electrical Equipment & Parts,144.26,148.75,153.79,153.59,111.86,95.38,96,95,77,22,258.0,0.77,258.92,178.91,0.31
2467,志聖,Industrials,Specialty Industrial Machinery,144.16,149.13,156.99,155.85,178.68,179.32,96,96,98,98,213.5,0.82,217.33,151.38,0.93
5484,慧友,Industrials,Security & Protection Services,143.62,155.94,219.14,261.62,184.92,116.28,96,99,98,85,62.0,0.43,71.32,47.27,0.43
1225,福懋油,Consumer Defensive,Packaged Foods,143.23,157.09,183.48,184.35,147.41,93.59,96,97,95,12,101.5,0.38,145.75,93.24,1.82
6151,晉倫,Basic Materials,Specialty Chemicals,143.09,143.09,139.69,127.15,93.11,95.42,96,90,34,23,61.1,1.0,40.59,30.88,6.9
3550,聯穎,Industrials,Electrical Equipment & Parts,142.43,142.43,138.17,119.76,90.2,92.74,96,86,24,9,26.55,0.83,22.58,17.02,2.05
3374,精材,Technology,Semiconductors,142.06,148.43,161.91,165.97,115.62,101.66,96,97,82,56,227.0,0.69,234.09,166.24,0.23
8249,菱光,Industrials,Electrical Equipment & Parts,141.42,141.42,135.01,110.71,90.01,97.13,96,78,23,33,64.3,0.89,47.42,36.32,0.72
2924,宏太-KY,Consumer Cyclical,Apparel Manufacturing,140.79,141.69,140.25,132.75,93.7,96.18,96,92,36,27,34.6,0.49,38.09,29.29,
3522,御嵿,Consumer Cyclical,Restaurants,138.73,138.73,135.68,125.07,89.39,118.24,96,89,20,87,24.95,0.64,24.84,20.05,0.18
2243,宏旭-KY,Consumer Cyclical,Auto Parts,138.52,146.8,147.87,140.9,110.29,106.98,95,94,75,71,23.0,0.53,25.26,20.1,0.19
3303,岱稜,Industrials,Metal Fabrication,138.51,138.51,138.76,137.18,115.66,101.83,95,93,82,57,61.7,0.82,60.03,42.39,0.71
4561,健椿,Industrials,Metal Fabrication,137.84,137.84,141.24,140.59,134.32,105.37,95,93,92,68,76.9,0.89,70.04,48.99,0.59
6446,藥華藥,Healthcare,Drug Manufacturers—Specialty & Generic,137.77,143.69,157.82,160.07,131.02,102.39,95,96,91,59,638.0,0.79,672.08,469.26,0.25
6405,悅城,Technology,Electronic Components,137.5,137.5,132.23,116.29,92.11,97.95,95,84,31,37,48.55,1.0,34.17,26.89,3.89
6535,順藥,Healthcare,Biotechnology,137.15,137.15,133.49,129.16,217.03,217.01,95,90,99,99,317.5,0.95,270.97,195.6,0.67
3665,貿聯-KY,Industrials,Electrical Equipment & Parts,136.51,138.48,142.75,144.19,113.78,93.75,95,94,79,12,495.0,1.0,433.62,317.81,1.4
8467,波力-KY,Consumer Cyclical,Leisure,135.49,135.89,135.89,126.29,140.89,171.61,95,89,93,98,268.0,0.94,243.05,195.82,0.54
6692,進能服,Technology,Solar,135.33,138.57,142.37,141.64,99.81,93.45,95,94,57,11,41.0,0.54,41.07,33.45,0.3
2364,倫飛,Technology,Computer Hardware,135.26,135.26,133.23,118.75,80.63,79.36,95,86,3,1,92.2,0.64,93.69,76.19,0.27
3498,陽程,Industrials,Specialty Industrial Machinery,135.21,135.21,137.6,136.95,115.67,101.68,95,93,82,56,74.1,1.0,55.29,41.63,1.03
8111,立碁,Technology,Electronic Components,134.18,134.18,125.84,104.56,106.99,107.66,95,69,71,73,44.3,0.88,31.45,24.75,0.53
3095,及成,Technology,Electronic Components,134.1,143.97,159.77,167.53,133.89,102.23,95,97,92,58,52.5,0.47,57.35,43.77,0.15
2236,百達-KY,Industrials,Specialty Industrial Machinery,134.05,134.11,134.84,132.15,102.7,92.49,95,91,63,8,121.5,0.9,110.6,84.15,0.68
5905,南仁湖,Consumer Cyclical,Resorts & Casinos,134.01,139.11,143.16,142.87,99.79,97.65,95,94,56,35,15.75,0.31,19.57,14.59,0.16
6134,萬旭,Technology,Communication Equipment,133.35,133.35,125.84,114.09,97.27,99.69,95,82,49,46,41.05,0.88,29.63,23.23,1.86
3227,原相,Technology,Semiconductors,133.33,133.33,131.1,116.95,95.43,109.7,95,84,43,76,255.0,0.86,227.17,177.33,0.44
3363,上詮,Technology,Communication Equipment,133.26,133.26,131.05,138.99,146.87,130.27,95,93,94,93,244.5,0.97,185.01,136.75,0.09
6873,泓德能源,Utilities,Utilities—Renewable,132.14,137.97,142.43,140.18,120.15,120.75,95,93,85,88,230.0,0.68,251.08,191.24,1.64
4716,大立,Basic Materials,Specialty Chemicals,131.92,131.92,131.11,124.02,126.32,98.12,95,88,88,38,31.25,1.0,25.6,18.83,2.41
5234,達興材料,Basic Materials,Specialty Chemicals,131.49,131.49,126.2,106.03,129.7,126.88,94,72,90,92,231.5,0.84,195.16,153.11,0.6
1597,直得,Industrials,Electrical Equipment & Parts,131.43,134.02,137.39,135.49,99.15,95.5,94,92,54,23,112.0,0.9,98.82,78.16,4.78
5386,青雲,Technology,Computer Hardware,131.42,131.42,128.48,120.63,119.41,115.66,94,87,84,84,99.7,0.82,87.8,68.38,2.59
4807,日成-KY,Consumer Cyclical,Luxury Goods,131.25,131.25,128.03,114.88,91.7,99.31,94,82,30,44,28.35,0.83,22.95,18.93,0.4
2399,映泰,Technology,Computer Hardware,131.13,131.13,122.7,102.86,86.97,94.46,94,66,11,17,43.1,1.0,28.28,24.15,1.64
5205,中茂,Technology,Software—Application,131.09,133.36,138.01,136.85,104.33,99.16,94,92,67,43,40.0,0.61,38.29,32.46,0.7
