Ticker,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
RSG,103.96,106.85,114.04,119.51,114.53,102.82,75,92,83,23,240.51,0.76,248.06,224.34,1.03
AXP,103.96,103.96,102.94,100.26,110.28,109.05,75,30,72,48,317.35,0.9,295.82,286.63,0.89
ADSK,103.9,103.96,103.76,101.85,108.44,110.99,74,37,65,59,307.27,0.85,296.04,288.0,1.73
HIG,103.79,105.98,112.49,114.28,106.55,112.65,74,82,56,69,121.87,0.72,126.44,117.59,1.25
MO,103.78,105.87,112.85,117.19,110.1,109.06,74,89,72,48,57.75,0.84,58.57,53.65,2.55
IRM,103.74,103.74,103.52,99.32,97.28,118.49,74,27,15,87,99.25,0.47,98.45,101.86,0.8
CSCO,103.73,103.75,104.19,109.74,109.99,111.15,74,68,71,60,69.27,1.0,63.75,59.2,1.14
FIS,103.72,104.89,106.07,105.7,98.65,110.9,73,54,21,58,80.02,0.56,79.48,79.28,0.72
EFX,103.72,104.0,105.42,105.36,96.58,118.95,73,53,13,89,265.73,0.61,264.38,259.01,0.79
CNP,103.6,106.65,115.77,121.25,115.08,105.0,73,95,84,30,36.07,0.8,36.97,33.32,0.73
WMT,103.59,104.58,104.9,108.81,113.85,110.61,73,64,82,56,96.81,0.8,97.17,91.2,0.79
ANET,103.45,103.45,100.53,93.39,113.73,112.02,73,10,81,66,106.28,0.64,93.49,97.06,1.44
GD,103.44,104.3,107.67,109.0,98.44,105.33,73,64,20,31,299.96,0.87,278.31,273.28,1.0
AMT,103.43,105.96,112.6,117.7,107.21,114.23,72,90,59,74,221.83,0.79,215.59,204.71,0.71
EL,103.41,103.41,100.12,94.37,95.9,93.17,72,12,12,5,86.61,0.72,69.66,72.61,0.8
PARA,103.31,104.49,108.94,112.78,109.26,96.36,72,78,68,8,12.61,0.84,12.02,11.14,1.0
HUBB,103.23,103.23,102.39,97.38,104.89,111.34,72,19,47,61,417.71,0.67,386.71,401.05,1.05
FFIV,103.15,103.34,104.41,115.66,120.14,118.15,72,86,91,86,302.28,0.94,285.53,263.82,0.9
SNPS,103.09,103.09,101.44,99.34,97.38,95.27,71,27,15,7,550.95,0.71,492.38,494.0,0.65
PH,103.07,103.07,102.24,101.51,106.35,113.66,71,36,55,72,707.59,0.95,663.47,647.87,0.57
ADM,103.03,103.09,103.03,102.86,94.32,94.97,71,42,9,6,54.0,0.58,50.04,50.11,0.87
STE,102.98,104.79,108.87,110.31,105.98,108.79,71,69,52,46,231.28,0.58,237.55,224.57,0.83
FTNT,102.91,103.01,105.82,114.13,121.77,128.26,70,81,93,96,107.65,0.88,103.47,96.39,0.93
CBOE,102.91,104.75,110.26,113.57,108.36,118.64,70,80,64,88,232.06,0.95,226.49,212.35,0.73
SWKS,102.87,102.87,100.56,96.51,88.68,94.49,70,17,3,6,77.63,0.43,71.11,77.52,0.39
WBA,102.83,104.89,112.87,128.18,127.86,98.58,70,97,96,11,11.58,0.73,11.27,10.32,0.63
ICE,102.72,103.8,108.96,113.26,110.36,108.8,70,79,73,46,182.16,0.97,177.01,164.13,0.69
HON,102.71,102.76,103.95,104.11,103.59,103.63,70,47,41,25,238.72,0.97,223.38,215.45,0.6
WFC,102.62,102.62,102.37,109.23,118.79,118.28,69,65,90,87,81.79,0.94,75.59,70.88,0.98
DGX,102.6,104.63,108.62,115.52,111.0,107.52,69,86,74,40,173.62,0.82,175.5,162.73,0.86
VMC,102.56,103.35,103.9,103.41,104.02,104.62,69,44,44,29,269.95,0.7,264.61,259.18,0.73
ES,102.53,103.86,107.5,108.71,104.13,112.63,69,63,45,69,65.11,0.94,63.1,60.3,0.71
GEN,102.5,102.5,103.01,103.01,104.02,107.71,69,42,44,41,30.16,0.84,28.55,27.69,0.61
EW,102.43,103.99,106.93,107.82,102.97,97.95,68,60,37,10,77.19,0.51,76.21,71.95,0.66
STLD,102.33,102.57,105.26,107.45,103.42,107.24,68,58,40,38,136.08,0.64,131.15,128.06,0.68
LH,102.26,103.14,103.21,107.0,107.04,109.98,68,58,58,53,259.07,0.92,251.95,237.27,0.72
HPE,102.25,102.25,98.77,89.78,108.9,107.1,68,5,67,37,20.8,0.72,17.94,19.06,1.0
GLW,102.24,102.24,101.49,104.66,106.32,105.69,68,50,54,33,52.57,0.94,49.09,47.42,0.65
AIG,102.19,104.63,112.02,116.39,111.6,98.55,67,87,76,11,83.07,0.77,83.52,77.91,0.71
BAC,102.18,102.18,101.15,99.84,107.22,106.4,67,28,59,35,46.84,0.86,44.25,43.07,1.16
NXPI,102.18,102.18,100.11,98.62,96.56,88.98,67,23,13,3,230.42,0.59,205.97,211.81,0.66
V,102.15,103.51,108.33,114.51,113.57,106.39,67,83,81,35,357.76,0.87,355.93,326.81,1.14
VRSK,102.15,104.17,108.29,110.35,107.39,98.33,67,70,60,11,303.72,0.72,307.76,288.52,0.98
BG,102.01,104.23,105.36,106.47,92.52,91.34,66,57,6,4,75.64,0.18,79.09,80.03,1.29
NWS,101.98,102.18,103.39,106.83,105.9,103.72,66,58,52,26,34.07,0.91,32.67,31.05,0.56
HBAN,101.93,101.93,100.61,98.62,111.3,111.98,66,23,75,66,17.42,0.95,15.8,15.59,0.84
MDLZ,101.81,103.97,109.66,115.43,104.41,108.59,66,85,45,45,66.85,0.63,66.56,64.43,1.58
CCI,101.77,104.18,112.67,115.83,102.96,115.04,66,86,37,78,103.41,0.65,100.9,98.13,0.64
TRV,101.75,103.8,110.5,112.77,106.54,111.05,65,78,56,59,255.32,0.74,266.58,251.82,1.16
WMB,101.73,103.97,109.76,112.83,114.53,115.31,65,78,83,78,57.85,0.78,59.15,55.44,0.9
TRMB,101.72,101.72,100.25,103.41,117.27,116.13,65,44,88,81,79.62,1.0,71.31,68.9,0.95
WELL,101.48,103.41,109.68,119.24,116.35,115.7,65,92,87,79,152.25,0.93,150.96,139.78,0.99
MGM,101.41,101.41,99.53,99.31,93.24,92.64,65,27,8,5,37.69,0.57,33.3,34.65,0.56
LUV,101.4,101.4,105.67,105.59,108.58,109.57,64,54,65,51,34.54,0.99,31.74,30.91,0.84
VLO,101.37,101.37,100.66,103.39,103.39,98.67,64,43,39,12,149.07,0.83,130.87,129.37,1.05
AZO,101.32,103.57,112.14,116.78,113.5,107.94,64,88,80,41,3742.18,0.87,3709.04,3427.25,0.6
HLT,101.31,101.31,100.48,101.21,105.1,106.15,64,34,48,34,272.53,0.99,250.85,243.91,0.63
ABT,101.29,103.18,107.37,118.15,115.44,109.07,64,91,86,48,133.22,0.84,133.39,123.92,0.76
CAT,101.21,101.21,99.75,97.09,101.2,110.1,63,19,28,53,402.18,0.92,353.65,359.41,1.21
ATO,101.18,103.48,109.9,115.43,109.33,112.92,63,85,68,70,153.1,0.82,155.09,146.18,0.67
MA,101.18,102.21,106.0,108.56,107.36,109.86,63,63,60,52,565.11,0.85,566.71,535.42,0.88
BLK,101.1,101.1,100.76,100.65,108.1,111.39,63,31,63,62,1088.75,1.0,981.52,972.79,0.57
BSX,100.92,102.15,106.73,115.19,115.22,106.01,63,84,85,34,102.96,0.87,103.42,96.2,0.87
TJX,100.86,103.0,106.76,108.59,103.78,102.8,62,63,42,23,125.45,0.66,127.08,121.83,0.71
GILD,100.81,102.72,109.74,123.91,122.08,115.68,62,96,93,79,113.24,0.95,106.72,98.21,0.61
FOXA,100.78,102.16,106.31,118.29,118.66,113.37,62,91,90,71,55.21,0.89,54.08,49.83,0.53
ANSS,100.75,100.75,101.11,101.37,102.23,100.91,62,35,34,16,366.87,0.99,340.19,333.2,0.89
BALL,100.75,100.84,100.87,100.54,91.79,108.67,62,31,5,45,57.94,0.59,54.23,55.62,0.65
KO,100.7,103.1,109.93,117.8,110.65,110.67,61,90,73,57,69.48,0.71,70.72,67.14,2.12
NSC,100.67,100.67,100.55,100.04,99.59,113.69,61,29,24,72,260.04,0.8,244.46,243.28,0.75
COST,100.55,102.24,104.12,109.52,106.75,100.99,61,67,57,17,982.09,0.66,1004.76,961.53,1.44
CSGP,100.55,101.63,105.49,112.02,106.94,105.34,61,76,58,31,84.5,1.0,78.2,76.66,0.64
AWK,100.55,103.46,112.14,118.41,108.38,108.09,61,91,64,43,141.8,0.71,141.84,136.0,1.12
WBD,100.53,100.53,99.04,110.29,126.16,122.01,60,69,95,93,11.49,0.83,9.85,9.67,1.12
