Ticker,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
DRUG,24695.12,24695.12,5719.53,107.01,87.25,128.93,99,62,9,84,52.49,1.0,15.12,4.76,0.1
TECX,2997.91,4563.68,31321.7,229311.61,21930.41,88.22,99,99,99,7,43.06,1.0,28.51,19.1,0.69
MIRA,1608.83,2551.12,7418.17,6171.59,402.54,119.64,99,99,98,77,1.93,0.31,1.37,1.2,0.24
STEC,1175.57,1175.57,614.95,129.61,55.62,52.38,99,89,1,1,1.21,0.14,0.72,0.78,0.05
GNLN,1091.59,1091.59,1000.39,642.51,126.91,110.0,99,99,84,64,2.71,0.05,4.5,5.17,0.04
CHSN,826.39,826.39,583.51,125.15,166.43,301.02,99,88,93,98,9.83,0.63,6.62,3.06,0.2
QH,736.61,736.61,620.56,288.25,74.35,96.65,99,98,3,28,1.45,0.8,1.2,0.83,0.0
CNEY,688.54,688.54,560.17,226.91,58.77,72.37,99,97,2,3,0.46,0.06,0.54,0.75,0.01
CING,638.4,638.4,594.7,422.01,61.2,110.29,99,98,2,65,3.72,0.02,5.19,9.88,0.15
LASE,612.67,615.03,606.44,382.97,251.04,206.97,99,98,97,95,5.02,0.24,7.6,3.33,0.07
TWG,543.73,543.73,423.1,124.67,102.77,102.97,99,87,51,46,0.44,0.0,2.5,1.55,0.19
MNPR,532.7,532.7,266.91,132.04,311.81,284.72,99,90,98,97,15.88,0.46,6.73,4.18,0.05
RGC,487.96,612.84,1047.59,883.23,186.8,67.39,99,99,95,2,7.6,0.37,6.04,5.97,0.11
DUO,481.57,481.57,417.99,546.42,501.56,75.92,99,99,98,3,1.22,0.22,1.12,0.69,0.18
LUMN,471.44,536.3,556.24,480.93,100.27,111.88,99,99,43,68,7.38,0.98,6.31,2.98,0.51
VRAX,468.82,468.82,451.32,432.37,172.33,58.5,99,98,94,2,2.05,0.25,2.5,1.5,0.04
NOVVU,443.76,443.76,404.76,241.96,94.42,95.31,99,98,19,24,41.0,1.0,34.09,17.31,
SRRK,443.7,443.7,333.25,83.08,98.87,123.49,99,9,38,80,27.44,0.75,17.53,13.67,0.1
IMG,418.74,418.74,364.94,266.72,205.7,84.5,99,98,96,5,0.7,0.06,0.87,1.56,0.02
GLMD,410.38,410.38,377.05,228.05,99.79,97.49,99,97,41,30,3.37,0.05,4.76,4.32,0.0
GDC,409.51,447.6,487.47,479.64,109.21,77.16,99,99,67,3,1.39,0.11,3.61,1.98,0.11
DSY,407.16,407.16,350.67,176.89,90.08,93.17,99,96,12,17,3.5,0.27,4.37,6.19,0.07
NOVV,383.68,383.68,350.26,214.29,97.92,94.61,99,97,35,22,37.0,1.0,30.93,16.59,
TIL,372.04,372.04,363.08,287.34,121.61,141.91,99,98,81,89,27.43,0.27,40.8,18.69,0.12
WHLR,371.5,371.5,280.38,104.67,75.5,123.5,99,56,4,80,7.46,0.0,12.0,176.22,0.05
ASNS,369.45,463.68,1362.54,17030.42,5918.81,94.57,99,99,99,22,1.34,0.28,1.47,1.24,0.05
SERV,351.41,456.48,737.91,642.99,137.03,92.82,99,99,88,14,9.86,0.37,8.73,6.5,0.44
NEON,350.38,350.7,349.99,314.0,164.62,126.8,99,98,93,82,7.08,0.54,8.34,3.7,0.14
SMMT,345.15,371.16,478.43,870.56,651.09,177.81,98,99,98,94,20.32,0.62,20.24,9.79,0.09
PRTG,336.99,336.99,308.48,195.16,76.5,66.13,98,97,4,2,5.11,0.08,5.79,7.0,0.01
COMM,336.97,342.75,349.88,324.94,128.38,135.07,98,98,85,86,6.63,0.95,5.71,2.7,0.38
WLGS,313.52,313.52,263.46,159.72,128.18,174.38,98,95,85,93,3.6,1.0,1.75,0.89,0.24
KZIA,306.06,324.89,630.95,616.95,224.58,84.04,98,99,96,5,6.33,0.42,4.28,3.5,1.02
ATNF,303.34,303.34,234.31,140.53,98.93,75.34,98,92,38,3,3.42,0.29,2.51,2.45,0.08
