Ticker,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
IMCR,78.12,78.12,77.4,76.53,89.4,126.48,11,6,12,81,34.64,0.1,32.61,47.07,0.62
PBYI,78.11,78.11,78.14,77.98,114.09,130.02,11,6,75,83,3.3,0.2,2.69,3.98,5.36
EWCZ,78.09,78.09,73.86,74.99,84.25,107.81,11,5,7,55,8.6,0.33,7.08,10.17,1.94
CLSK,78.06,78.06,72.43,107.09,230.42,270.72,11,62,96,97,17.61,0.7,10.37,14.49,2.53
LEV,78.05,78.96,77.88,74.13,74.18,101.2,11,5,3,37,0.4,0.03,0.66,1.0,3.33
CNXC,77.98,81.17,93.83,103.96,96.53,103.47,11,54,30,44,42.94,0.02,54.07,63.39,0.45
AMCX,77.96,77.96,79.28,95.23,98.35,121.07,11,26,36,77,8.74,0.1,8.3,11.44,0.56
ATLX,77.9,77.9,75.2,76.39,80.74,102.62,11,6,5,41,8.05,0.06,8.32,12.59,1.02
RSKD,77.84,78.76,84.18,115.07,115.91,107.87,11,78,76,56,4.55,0.24,4.61,5.26,2.63
POCI,77.84,78.13,88.26,102.34,102.98,94.7,11,50,51,18,4.68,0.29,4.86,5.61,1.19
NRC,77.8,77.8,78.74,78.74,85.41,88.92,11,7,8,6,21.29,0.14,20.35,28.33,1.33
APCX,77.8,79.63,81.2,94.7,87.49,99.9,11,24,10,32,0.66,0.08,0.7,1.04,0.3
MBI,77.79,77.79,73.67,75.21,101.73,127.03,11,5,47,81,4.65,0.12,3.72,5.18,1.98
PALI,77.77,79.67,80.21,78.87,100.99,108.02,11,7,44,56,2.49,0.0,3.43,4.86,0.53
VRN,77.75,79.28,82.6,90.41,116.64,114.81,11,17,77,69,5.21,0.06,6.14,7.38,1.37
MYNZ,77.66,78.24,78.53,70.82,84.68,90.55,11,4,7,8,0.22,0.01,0.28,0.6,1.02
SDRL,77.56,77.56,82.43,98.58,108.55,104.79,11,40,65,47,39.94,0.24,39.05,46.2,1.13
STAA,77.52,78.07,81.96,99.3,130.44,127.74,10,42,86,81,30.42,0.11,31.59,37.62,0.86
VRAR,77.5,77.5,77.36,81.01,99.54,111.04,10,8,40,63,0.66,0.06,0.74,1.02,0.65
DBVT,77.49,77.98,77.98,76.66,79.68,93.66,10,6,5,15,0.68,0.01,0.74,1.13,0.15
BOXL,77.46,77.46,73.93,91.65,92.86,71.45,10,19,16,2,0.57,0.15,0.47,0.62,1.43
ASC,77.45,80.96,89.0,117.61,123.45,107.55,10,81,82,55,12.25,0.01,16.48,18.23,3.11
SBC,77.45,81.43,88.89,105.71,112.61,111.72,10,59,72,65,7.02,0.14,8.04,11.62,0.47
HCWB,77.45,77.93,77.61,68.12,119.78,122.9,10,4,80,79,0.36,0.0,0.51,0.95,0.62
WHLM,77.44,81.4,95.8,119.54,118.1,100.21,10,83,78,34,3.35,0.03,4.14,4.87,3.55
OXM,77.43,77.64,82.01,91.26,104.42,105.24,10,18,55,49,79.45,0.17,80.12,96.12,0.79
NTLA,77.42,78.59,87.58,95.7,96.2,108.51,10,30,28,58,17.5,0.18,19.07,23.54,1.16
CHCT,77.38,77.38,76.81,86.46,92.39,94.96,10,12,16,19,19.35,0.28,17.42,22.55,0.56
VECO,77.37,78.03,81.25,111.66,118.85,108.93,10,72,79,59,28.12,0.02,30.93,36.46,0.95
SPRU,77.37,78.32,82.06,84.55,95.59,94.72,10,11,25,18,2.42,0.03,2.64,3.37,1.05
MITK,77.35,77.35,78.73,88.9,103.96,107.92,10,15,54,56,9.55,0.22,8.72,11.23,0.7
VINC,77.33,79.78,90.97,94.72,308.7,474.31,10,24,98,98,0.35,0.0,0.54,1.53,0.63
