Ticker,Name,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
6144,得利影,Communication Services,Entertainment,483.72,514.21,578.49,568.43,320.88,123.71,99,99,98,76,119.5,0.97,102.23,45.09,4.02
3230,錦明,Technology,Electronic Components,418.52,472.64,429.16,369.91,167.03,105.51,99,99,92,57,57.0,0.89,45.23,21.1,1.3
6640,均華,Technology,Semiconductors,300.14,344.17,388.17,465.58,388.41,344.43,99,99,99,99,881.0,0.81,895.04,523.4,0.63
2543,皇昌,Industrials,Engineering & Construction,298.5,330.34,339.65,325.97,337.51,302.74,99,99,98,98,93.0,0.95,74.41,47.58,0.59
6442,光聖,Technology,Electronic Components,291.51,325.09,311.98,537.11,516.43,228.44,99,99,99,97,440.5,0.79,394.29,244.03,0.87
8374,羅昇,Industrials,Industrial Distribution,289.85,298.36,339.55,438.98,335.22,90.95,99,99,98,23,142.5,0.89,138.56,71.32,0.93
4583,台灣精銳,Industrials,Specialty Industrial Machinery,288.2,288.2,272.1,278.16,109.28,103.59,99,97,65,53,822.0,1.0,580.35,333.1,1.83
8937,合騏,Consumer Cyclical,Recreational Vehicles,276.19,298.99,322.55,266.68,133.51,109.53,99,97,81,62,82.3,0.98,61.15,32.81,0.29
4562,穎漢,Industrials,Specialty Industrial Machinery,260.48,272.55,290.47,352.39,339.46,101.93,99,99,98,50,69.8,0.84,69.69,39.5,4.56
6609,瀧澤科,Technology,Electronic Components,252.24,254.45,222.5,223.49,126.88,88.73,99,96,78,17,112.5,1.0,75.91,47.4,0.78
6535,順藥,Healthcare,Biotechnology,247.46,254.37,270.66,227.09,271.78,309.03,99,96,98,98,318.0,0.95,266.35,193.06,0.44
4909,新復興,Technology,Electronic Components,243.77,273.08,339.57,305.62,337.37,340.16,98,98,98,99,145.5,0.71,141.22,94.39,0.87
