Ticker,Name,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
5310,天剛,116.68,119.65,120.17,117.55,159.34,151.54,89,84,97,97,48.1,0.81,47.61,39.88,0.93
8404,百和興業-KY,116.5,116.5,109.23,92.01,94.43,90.83,89,25,41,8,31.4,0.81,22.69,20.22,2.92
3689,湧德,116.49,117.64,117.94,117.17,109.65,111.34,89,84,75,80,90.5,0.82,88.76,74.72,1.08
4767,誠泰科技,116.18,116.23,115.65,110.13,95.38,96.96,89,77,44,38,35.9,0.6,36.32,31.94,0.14
3290,東浦,116.01,116.01,115.77,112.2,101.95,91.51,89,79,63,10,36.85,0.78,33.73,28.56,1.53
4995,晶達,115.93,119.19,127.3,126.79,112.87,95.67,89,89,79,32,73.0,0.68,75.45,61.7,1.58
2615,萬海,115.73,115.73,115.12,146.0,142.12,101.4,89,94,94,58,88.6,0.71,83.64,67.77,1.0
6218,豪勉,115.7,115.8,119.33,115.61,102.97,103.37,88,83,65,65,33.15,0.74,31.1,27.48,0.47
4971,IET-KY,115.68,115.68,111.34,96.27,94.19,99.62,88,45,40,51,77.5,0.69,68.94,62.54,0.72
4402,郡都開發,115.65,123.92,140.59,152.85,177.67,161.75,88,95,98,98,28.45,0.42,40.39,30.44,0.36
2888A,新光金甲特,115.44,116.03,116.08,114.0,96.98,92.62,88,81,49,14,35.4,0.76,36.09,30.24,1.39
2881,富邦金,115.36,116.29,117.76,117.26,102.65,98.36,88,84,64,45,91.9,0.96,89.02,74.12,0.5
8932,智通*,115.32,115.43,116.19,118.33,115.81,122.98,88,85,82,90,96.7,1.0,85.36,69.98,1.76
5508,永信建,115.2,122.5,132.41,155.25,161.31,124.5,88,96,97,91,215.0,0.59,243.83,188.0,0.4
00665L,富邦恒生國企正2,115.07,115.07,111.4,106.48,111.52,90.12,88,72,77,7,8.75,0.63,7.49,6.44,1.03
2402,毅嘉,115.07,117.14,117.48,114.36,93.67,96.1,88,81,38,34,41.05,0.65,42.27,36.97,0.64
2724,藝舍-KY,114.96,118.3,120.93,150.01,185.16,131.32,88,95,98,93,33.4,0.77,36.24,28.23,0.45
2888B,新光金乙特,114.93,115.56,115.65,113.81,97.03,92.31,88,81,49,13,35.5,0.76,36.17,30.39,0.67
8921,沈氏,114.88,115.23,117.02,115.36,113.53,96.54,88,83,79,36,22.5,0.61,21.85,18.09,0.3
2495,普安,114.78,114.78,122.0,124.55,118.67,99.85,88,89,84,53,37.3,0.91,32.73,26.98,2.24
6754,匯僑設計,114.77,115.27,115.48,114.57,96.81,108.0,88,82,49,75,69.2,0.52,77.21,65.45,0.28
3426,台興,114.63,114.71,114.5,110.01,95.09,98.63,88,77,43,46,49.85,0.64,51.48,44.32,0.67
3710,連展投控,114.55,114.62,114.17,106.21,93.71,99.72,88,72,38,52,13.05,0.54,12.27,10.88,1.19
6762,達亞,114.51,114.82,114.82,112.89,95.18,96.73,88,80,43,37,280.0,0.87,281.02,239.39,1.87
4741,泓瀚,114.51,114.71,114.99,112.59,95.79,93.69,88,80,45,20,42.1,0.27,47.33,40.41,0.3
00650L,復華香港正2,114.46,114.46,111.23,102.21,104.88,86.22,88,64,68,3,12.95,0.61,11.33,9.9,0.76
5202,力新,114.41,114.41,113.8,112.37,125.01,126.46,88,79,88,92,30.8,0.9,24.41,21.81,6.39
4174,浩鼎,114.28,115.88,116.93,115.05,83.92,83.55,88,82,5,2,65.2,0.21,76.04,66.62,0.37
3615,安可,114.22,114.22,110.29,108.45,103.89,108.31,87,75,66,76,35.65,0.76,31.12,27.79,1.2
00708L,期元大S&P黃金正2,114.15,114.15,113.31,107.96,108.5,101.75,87,74,74,60,43.51,0.97,39.5,33.73,0.99
