Ticker,Name,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
3230,錦明,362.64,362.64,468.84,423.17,186.62,108.79,99,99,94,61,54.9,0.85,50.3,23.54,3.16
2543,皇昌,360.17,367.75,362.5,337.34,315.94,337.51,99,99,98,99,93.1,0.96,67.51,41.62,1.04
6442,光聖,342.37,342.37,353.64,420.39,537.11,228.44,99,99,99,97,520.0,0.95,415.55,267.15,1.71
8937,合騏,306.39,309.45,322.55,287.76,156.48,97.19,99,98,90,41,93.0,0.99,70.61,36.36,0.53
4583,台灣精銳,263.14,277.01,293.28,278.16,126.17,103.59,99,98,78,53,782.0,0.91,672.37,364.97,0.67
3450,聯鈞,262.58,262.58,268.13,240.92,204.39,149.51,99,97,96,88,234.0,0.91,191.51,113.73,1.69
3081,聯亞,260.46,260.46,253.72,233.98,113.64,131.14,99,97,70,80,355.0,0.91,263.18,166.62,0.15
8374,羅昇,258.43,271.68,298.36,438.98,348.68,90.95,99,99,99,26,125.5,0.76,138.4,77.43,0.13
6535,順藥,253.88,299.34,299.43,270.66,236.24,309.03,99,98,97,98,360.0,0.92,294.26,209.12,1.23
6640,均華,251.51,251.51,360.77,465.58,436.15,344.43,99,99,99,99,740.0,0.66,891.64,556.42,1.04
6609,瀧澤科,246.64,246.64,273.09,223.49,126.88,90.73,99,96,78,26,107.5,0.87,88.73,51.71,0.25
4562,穎漢,235.66,244.14,272.55,352.39,339.46,108.42,98,99,98,60,62.8,0.74,68.2,42.31,0.2
8080,印鉐,230.42,246.07,262.27,281.46,158.93,186.26,98,98,90,94,32.5,0.79,32.91,20.04,0.1
5314,世紀,229.96,232.98,205.53,260.37,536.53,1017.36,98,97,99,99,247.5,0.56,196.94,213.08,6.15
8032,光菱,227.8,227.96,227.96,144.46,80.59,89.92,98,88,12,23,77.1,1.0,44.33,32.86,5.71
2424,隴華,227.07,227.96,237.06,204.57,81.2,95.85,98,96,13,38,78.7,0.91,63.8,38.24,0.2
3013,晟銘電,220.43,221.42,204.05,212.17,207.28,175.0,98,96,96,92,162.0,0.99,131.57,89.19,0.75
4903,聯光通,220.35,220.35,250.26,217.73,147.58,101.75,98,96,87,50,51.2,0.92,38.39,25.18,1.96
2467,志聖,216.4,216.4,245.31,274.47,271.2,249.3,98,98,98,97,228.0,0.89,221.5,158.04,1.61
5443,均豪,213.52,213.52,277.82,311.43,229.04,188.4,98,98,96,94,125.0,0.76,137.7,82.05,0.5
3167,大量,211.36,216.54,249.3,230.35,118.47,137.97,98,96,74,83,150.0,0.85,121.25,77.04,1.24
4909,新復興,210.94,223.79,300.64,339.57,288.79,340.16,98,99,98,99,125.0,0.59,144.97,100.07,0.2
4569,六方科-KY,210.47,258.41,258.41,240.78,96.84,89.23,98,97,48,21,239.0,0.72,209.43,124.52,1.56
6223,旺矽,208.01,208.01,231.81,241.96,199.29,186.4,98,97,95,94,818.0,0.94,784.06,512.55,0.71
3447,展達,205.3,206.08,198.18,104.33,78.21,77.18,98,62,8,3,84.2,1.0,49.07,37.55,0.77
6706,惠特,202.49,202.49,220.93,210.24,169.3,80.74,98,96,92,6,176.5,0.93,157.26,97.86,0.79
