Ticker,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
PPCB,108541.46,121751.75,163847.25,812441.76,1317454.87,1627484.18,99,99,99,99,1.82,0.07,4.42,4.46,0.04
QMMM,9181.03,9181.03,14962.25,407.5,156.2,124.14,99,98,88,73,119.4,0.58,31.3,8.59,0.2
RGC,4237.77,4237.77,5258.21,12426.3,35913.74,1235.56,99,99,99,99,15.1,0.19,13.86,8.31,0.18
ZEPP,1376.1,1580.57,1825.56,1367.87,116.39,116.06,99,99,62,66,44.53,0.82,35.11,11.14,0.6
DFDV,1246.22,1428.9,1661.93,2880.29,5989.97,91.38,99,99,99,21,15.34,0.35,16.98,10.87,0.55
WBX,976.33,1039.78,890.17,1161.85,58.31,54.87,99,99,4,4,4.55,0.69,4.63,1.74,0.28
RGTI,951.38,980.33,802.52,782.03,828.66,1991.6,99,99,99,99,31.18,0.97,17.99,12.74,1.93
ABVX,950.4,999.91,1037.08,986.25,85.62,74.0,99,99,16,9,82.84,0.92,73.06,23.44,0.4
DRUG,917.38,917.38,894.7,972.83,2031.44,3115.25,99,99,99,99,52.72,0.94,41.02,35.19,0.86
OPEN,866.87,928.91,967.05,433.54,61.11,70.13,99,98,5,7,8.81,0.83,4.83,2.04,0.43
ABTS,759.95,768.37,597.76,796.16,1558.7,705.58,99,99,99,98,8.39,0.92,4.64,2.89,1.04
SOGP,743.32,901.24,2018.72,312.36,205.89,113.09,99,97,94,62,20.27,0.55,11.95,4.73,0.02
ORBS,732.49,880.95,2884.29,144.63,86.25,88.74,99,84,16,18,11.49,0.24,6.29,2.62,0.16
QBTS,695.64,734.77,653.4,862.18,1045.0,843.99,99,99,99,98,26.76,0.96,18.41,11.81,1.32
YDKG,692.3,692.3,1169.03,550.56,201.6,323.72,99,98,94,97,3.34,0.58,3.06,1.22,0.27
