Ticker,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
VST,Utilities,Utilities - Independent Power Producers,203.74,223.37,217.88,192.71,263.5,209.46,99,99,99,99,125.11,0.88,92.98,74.51,0.45
PLTR,Technology,Software - Infrastructure,176.12,176.12,169.75,156.48,160.94,174.67,99,98,98,98,43.56,1.0,33.59,25.36,0.65
NVDA,Technology,Semiconductors,157.5,157.78,154.27,200.47,209.54,208.52,99,99,98,99,134.68,0.99,117.79,97.8,0.46
CEG,Utilities,Utilities - Renewable,148.56,161.73,160.63,144.14,178.16,166.87,98,98,98,98,266.0,0.89,211.32,184.4,0.33
HWM,Industrials,Aerospace & Defense,142.98,145.54,144.1,149.17,139.31,122.42,98,98,95,87,102.0,0.97,96.14,76.61,0.25
FICO,Technology,Software - Application,141.45,144.71,143.2,143.97,130.86,144.38,98,97,92,95,1990.49,0.97,1810.14,1437.79,0.35
AXON,Industrials,Aerospace & Defense,139.73,142.74,139.53,136.81,129.35,126.89,98,96,91,90,429.24,0.99,374.27,311.0,0.46
IRM,Real Estate,REIT—Specialty,136.83,139.1,139.1,143.93,119.01,116.43,98,97,84,81,119.14,0.98,113.39,87.95,0.17
TRGP,Energy,Oil & Gas Midstream,135.32,135.48,133.15,133.35,127.18,122.95,97,95,90,88,162.84,0.99,146.49,118.73,0.28
ERIE,Financial Services,Insurance Brokers,133.56,135.15,139.93,137.55,127.48,135.62,97,96,90,93,531.17,0.95,499.23,405.59,0.08
KKR,Financial Services,Asset Management,133.2,134.99,134.02,143.71,136.09,143.47,97,97,94,95,135.13,1.0,122.89,104.94,0.43
RCL,Consumer Cyclical,Travel Services,132.33,132.33,122.49,131.06,134.57,146.78,97,94,94,95,194.76,1.0,165.32,145.09,0.32
GE,Industrials,Aerospace & Defense,131.88,131.88,135.3,134.23,159.16,150.06,97,95,97,96,189.02,0.99,174.92,149.97,0.19
AVGO,Technology,Semiconductors,129.71,130.02,128.1,139.79,153.46,147.63,96,97,97,96,185.55,1.0,161.84,142.55,0.29
ANET,Technology,Computer Hardware,129.34,129.34,129.54,139.56,142.92,151.0,96,96,96,96,409.08,1.0,357.09,308.04,0.39
K,Consumer Defensive,Packaged Foods,128.19,128.19,128.2,129.91,97.24,86.41,96,93,35,8,80.56,0.99,78.85,62.49,0.19
NRG,Utilities,Utilities - Independent Power Producers,127.73,141.73,141.28,135.47,173.63,150.68,96,96,98,96,87.68,0.86,83.03,71.7,0.24
MMM,Industrials,Conglomerates,126.61,131.75,132.74,133.03,113.58,95.22,96,94,78,28,133.34,0.91,131.17,102.39,0.38
MHK,Consumer Cyclical,"Furnishings, Fixtures & Appliances",126.16,135.2,135.2,138.16,107.7,113.08,95,96,62,74,156.71,0.93,152.66,125.32,0.22
GDDY,Technology,Software - Infrastructure,125.66,127.35,129.12,145.62,137.25,128.78,95,98,95,91,161.42,0.94,157.29,132.83,0.18
ORCL,Technology,Software—Infrastructure,125.19,126.93,124.07,116.74,107.88,106.61,95,83,63,60,175.71,0.97,150.73,129.35,0.39
TT,Industrials,Building Products & Equipment,124.93,126.85,126.79,124.31,134.21,126.07,95,90,93,90,395.18,0.98,359.61,314.5,0.24
MPWR,Technology,Semiconductors,122.36,127.37,127.91,130.99,129.48,135.57,95,94,91,93,926.62,0.96,885.2,756.82,0.13
UAL,Industrials,Airlines,121.76,121.76,112.69,94.05,115.94,90.97,94,21,80,18,60.27,1.0,47.93,46.9,0.61
NFLX,Communication Services,Entertainment,121.36,121.36,116.41,118.92,133.31,131.3,94,86,93,92,733.15,1.0,682.95,621.15,0.44
PGR,Financial Services,Insurance - Property & Casualty,120.84,122.01,129.13,128.11,130.12,124.57,94,92,92,89,251.77,0.94,243.72,210.15,0.25
CBRE,Real Estate,Real Estate Services,120.58,125.77,126.87,120.71,99.64,103.68,94,88,41,53,119.97,0.92,116.26,96.96,0.23
META,Communication Services,Internet Content & Information,120.3,122.71,122.35,120.52,150.64,165.07,94,88,97,97,585.5,0.97,535.65,484.36,0.28
IBM,Technology,Information Technology Services,120.27,121.71,117.13,110.75,113.0,120.29,93,69,76,85,232.24,0.98,206.53,185.44,0.39
PHM,Consumer Cyclical,Residential Construction,120.22,130.39,130.39,122.4,124.91,146.48,93,89,89,95,139.27,0.92,133.19,116.89,0.23
MSI,Technology,Communication Equipment,119.41,119.44,117.83,118.81,109.27,103.19,93,86,67,51,464.39,0.99,434.01,371.88,0.38
URI,Industrials,Rental & Leasing Services,119.14,124.59,121.14,125.07,133.34,138.91,93,91,93,94,804.88,0.98,740.79,678.79,0.34
BK,Financial Services,Banks - Diversified,118.96,120.01,119.41,115.6,110.25,112.53,93,80,69,72,74.14,1.0,68.07,60.0,0.38
EBAY,Consumer Cyclical,Internet Retail,118.92,122.34,119.05,116.18,109.49,105.3,92,81,68,57,66.12,0.96,60.61,52.22,0.39
AXP,Financial Services,Credit Services,118.81,121.0,118.93,116.22,127.22,114.43,92,81,90,78,271.28,0.97,255.38,230.47,0.28
RTX,Industrials,Aerospace & Defense,118.52,122.51,121.93,116.77,108.93,100.9,92,83,66,44,123.17,0.96,119.58,103.24,0.17
LDOS,Technology,Information Technology Services,118.51,122.42,120.36,123.53,129.59,114.41,92,90,91,78,165.14,0.97,154.69,137.6,0.17
NOW,Technology,Software - Application,118.28,118.28,117.92,112.74,113.56,131.66,92,73,77,92,947.58,1.0,857.34,775.62,0.39
CARR,Industrials,Building Products & Equipment,118.26,121.64,121.08,110.47,112.59,103.38,92,68,75,52,80.79,0.96,73.06,63.14,0.32
DVA,Healthcare,Medical Care Facilities,117.78,118.04,120.0,118.55,131.27,123.39,91,85,92,88,160.76,0.95,153.52,135.73,0.26
FI,Technology,Information Technology Services,117.37,119.06,116.6,111.75,109.21,110.09,91,71,67,68,187.78,1.0,172.4,154.95,0.26
PWR,Industrials,Engineering & Construction,117.17,122.35,118.29,110.55,125.54,122.02,91,68,89,87,305.98,0.98,273.97,252.0,0.27
