Ticker,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
T,Communication Services,Telecom Services,109.8,109.8,109.37,106.3,99.4,106.58,84,75,31,61,21.37,0.89,20.7,18.29,0.78
CTAS,Industrials,Specialty Business Services,109.77,109.77,109.3,107.46,105.48,103.38,83,81,66,45,208.05,0.99,199.47,174.03,0.94
AEE,Utilities,Utilities - Regulated Electric,109.65,109.65,108.62,102.77,96.17,93.62,83,57,18,8,86.45,0.92,83.86,75.24,0.73
GLW,Technology,Electronic Components,109.63,111.68,112.65,116.26,109.89,101.12,83,95,80,33,46.46,0.99,42.28,36.67,0.73
EIX,Utilities,Utilities - Regulated Electric,109.57,109.59,109.22,105.19,101.47,100.02,83,69,43,28,83.61,0.84,84.85,74.59,0.86
FI,Technology,Information Technology Services,109.52,109.52,107.78,102.67,106.13,107.91,83,56,68,66,190.35,1.0,172.98,155.24,0.88
GDDY,Technology,Software - Infrastructure,109.52,109.62,111.14,112.33,114.28,123.25,83,91,89,95,163.13,0.96,157.73,133.11,0.66
REG,Real Estate,REIT - Retail,109.39,109.65,109.58,107.34,94.76,102.27,82,79,13,41,70.3,0.73,71.58,64.11,0.67
ISRG,Healthcare,Medical Instruments & Supplies,109.38,109.83,111.38,111.28,111.65,116.87,82,90,84,90,484.78,0.96,479.48,416.47,0.98
TMUS,Communication Services,Telecom Services,109.33,109.33,108.5,107.0,100.75,103.3,82,77,38,45,213.04,1.0,200.18,175.55,0.47
ALLE,Industrials,Security & Protection Services,109.32,109.32,107.72,100.15,104.03,108.55,82,43,59,69,147.3,1.0,138.1,128.69,1.18
RF,Financial Services,Banks - Regional,109.25,109.26,109.14,106.0,101.66,106.3,81,73,44,60,23.69,1.0,22.27,20.19,1.02
BRO,Financial Services,Insurance Brokers,109.2,109.25,108.99,108.5,104.29,104.24,81,82,60,50,104.75,0.97,102.81,89.46,0.53
WEC,Utilities,Utilities - Regulated Electric,109.19,109.19,108.12,102.04,96.34,97.49,81,53,19,18,95.45,0.94,93.14,84.02,0.8
RCL,Consumer Cyclical,Travel Services,109.12,109.12,108.33,113.08,112.16,123.07,81,91,85,95,195.69,1.0,166.25,145.42,1.06
AON,Financial Services,Insurance Brokers,109.12,109.12,107.95,104.09,93.67,92.43,81,63,11,6,355.15,0.95,342.44,312.53,0.68
NOC,Industrials,Aerospace & Defense,109.09,109.09,107.27,100.19,95.31,93.9,80,43,15,9,528.7,0.87,517.2,472.04,0.55
PH,Industrials,Specialty Industrial Machinery,109.06,109.06,107.7,100.44,110.48,109.5,80,45,81,73,637.15,1.0,594.1,540.97,0.83
EXR,Real Estate,REIT - Industrial,109.03,109.72,109.82,109.25,99.39,114.3,80,85,31,86,170.54,0.84,173.33,154.59,0.66
ICE,Financial Services,Financial Data & Stock Exchanges,108.94,109.27,109.24,107.42,102.58,105.86,80,80,52,58,162.57,0.99,158.96,141.37,0.99
KEY,Financial Services,Banks - Regional,108.92,108.92,108.54,103.1,104.61,119.95,80,59,62,93,17.22,0.98,16.25,15.02,0.78
LNT,Utilities,Utilities - Regulated Electric,108.89,109.06,108.85,105.11,97.49,97.78,79,69,22,19,59.67,0.9,58.62,52.42,0.93
PNC,Financial Services,Banks - Regional,108.88,109.15,109.09,105.82,100.76,111.45,79,72,38,79,187.77,1.0,178.37,161.42,0.85
ABBV,Healthcare,Drug Manufacturers - General,108.84,108.84,108.33,106.45,103.69,105.67,79,75,57,57,194.19,0.92,193.95,175.56,0.66
ZBRA,Technology,Communication Equipment,108.82,108.82,108.29,106.05,112.82,109.71,79,74,87,74,375.02,1.0,346.48,305.6,0.65
SPGI,Financial Services,Financial Data & Stock Exchanges,108.71,109.12,109.13,107.2,97.0,108.1,79,78,21,67,522.01,0.97,507.2,455.5,0.65
STT,Financial Services,Asset Management,108.66,108.66,107.94,102.75,96.98,107.62,78,56,20,65,89.83,1.0,84.31,77.61,1.34
CPT,Real Estate,REIT - Residential,108.6,108.9,108.94,108.23,103.29,94.84,78,82,55,11,119.31,0.82,122.09,106.81,0.76
PNW,Utilities,Utilities - Regulated Electric,108.57,109.07,109.03,105.92,101.16,93.65,78,73,41,8,85.9,0.78,87.81,77.59,0.89
AVGO,Technology,Semiconductors,108.5,108.72,113.2,115.12,115.42,119.13,78,94,91,92,181.48,0.96,162.53,142.9,0.85
FITB,Financial Services,Banks - Regional,108.46,108.49,108.19,104.56,105.85,121.81,78,66,67,94,43.84,1.0,41.54,37.57,1.13
