Ticker,Name,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
3230,錦明,279.37,288.0,288.67,249.38,141.69,105.82,99,99,93,71,46.8,0.7,49.43,22.91,0.44
6144,得利影,256.65,302.07,332.09,335.85,209.48,115.3,99,99,98,84,62.1,0.45,103.45,48.16,0.04
8937,合騏,235.99,236.97,236.76,214.47,113.5,91.4,99,98,79,10,89.1,1.0,67.97,35.3,1.19
4583,台灣精銳,217.29,217.29,207.48,174.34,107.52,99.0,99,97,72,48,782.0,0.91,649.79,356.52,0.37
4510,高鋒,207.31,217.54,238.85,234.09,111.35,97.07,99,99,77,39,41.65,0.67,46.0,26.05,0.2
2070,精湛,204.61,210.3,211.62,202.19,115.53,102.27,99,98,82,62,83.6,0.63,93.03,52.92,0.16
5364,力麗店,200.85,204.02,203.57,188.74,95.0,87.87,99,98,42,4,39.1,0.72,41.77,24.78,0.23
8374,羅昇,192.5,210.8,265.46,313.46,225.45,93.89,99,99,99,22,129.0,0.79,139.88,75.93,0.11
6199,天品,191.32,191.32,185.74,171.99,104.98,134.13,99,97,68,94,68.3,0.94,58.12,37.4,2.56
2424,隴華,189.17,189.17,178.04,139.44,88.69,86.67,99,93,19,3,73.4,0.81,60.95,37.53,0.42
4569,六方科-KY,186.17,186.17,173.37,142.46,97.49,90.29,99,94,51,7,261.0,0.82,200.68,122.2,3.67
8080,印鉐,184.67,184.67,179.56,160.11,175.89,172.29,98,96,97,98,32.65,0.79,31.91,19.67,0.25
3167,大量,183.61,183.61,176.86,148.62,106.05,111.71,98,95,70,80,149.5,0.85,117.73,75.62,1.15
6609,瀧澤科,183.59,183.59,175.77,156.49,116.23,96.07,98,96,82,34,105.0,0.84,85.84,50.58,0.42
1540,喬福,175.94,184.19,190.75,186.78,112.6,98.8,98,97,78,48,41.9,0.76,43.8,27.44,0.18
3450,聯鈞,174.02,174.02,173.93,175.41,144.28,105.8,98,97,94,71,213.5,0.81,186.38,111.29,1.03
5443,均豪,172.8,182.37,200.85,201.28,152.28,152.49,98,98,96,97,120.0,0.72,137.44,80.68,0.1
4563,百德,168.12,168.12,166.16,151.38,103.66,96.66,98,95,66,37,103.0,0.68,100.34,65.31,0.12
3081,聯亞,166.95,166.95,155.43,123.86,116.23,115.84,98,88,82,85,322.5,0.8,250.01,163.11,1.24
2543,皇昌,166.67,166.67,162.65,156.02,158.56,145.88,98,96,96,96,96.4,1.0,65.03,40.45,1.29
3663,鑫科,165.64,169.73,180.81,181.03,110.73,110.35,98,97,76,78,90.6,0.74,93.5,60.92,0.72
5481,新華,165.31,165.31,161.32,146.42,92.25,96.31,98,94,33,35,25.3,0.76,24.94,16.76,0.2
2524,京城,165.22,179.81,195.26,195.26,134.54,117.02,98,98,91,86,75.2,0.42,103.15,64.81,0.18
6706,惠特,163.25,166.54,173.86,176.75,150.65,103.48,98,97,95,65,162.5,0.83,154.52,96.28,0.34
6187,萬潤,161.6,161.6,159.34,149.5,151.43,155.35,98,95,95,97,454.5,0.79,428.5,287.54,0.13
4903,聯光通,161.5,161.65,159.78,133.25,126.17,106.23,98,91,88,72,42.35,0.7,37.23,24.74,0.37
6739,竹陞科技,160.84,163.5,167.53,168.99,135.03,133.64,98,97,92,94,175.5,0.72,177.42,114.79,0.48
4562,穎漢,160.3,169.75,212.81,267.84,243.86,98.97,98,99,99,48,64.5,0.76,69.1,41.59,0.21
3073,天方能源,159.55,180.37,222.1,223.58,149.15,107.44,98,98,95,74,70.1,0.52,81.4,51.75,0.16
6640,均華,158.87,173.84,193.8,200.69,217.02,212.4,98,98,99,99,694.0,0.61,901.74,548.1,1.19
5345,天揚,156.03,167.74,217.24,226.08,141.35,85.54,98,98,93,2,26.5,0.57,29.87,18.79,0.59
3581,博磊,156.01,156.01,160.63,161.34,112.87,108.5,97,96,78,76,71.9,0.99,57.52,39.15,4.18
8043,蜜望實,155.91,155.91,153.49,146.21,86.96,98.89,97,94,12,48,44.0,0.74,42.96,30.55,0.84
4950,牧東,154.12,154.12,149.01,124.31,86.21,82.18,97,88,10,1,12.15,0.69,10.84,7.71,0.49
8249,菱光,152.68,152.68,142.82,124.15,88.99,93.77,97,88,20,21,63.5,0.78,51.55,37.35,1.66
6231,系微,152.61,158.49,169.16,169.31,146.92,143.98,97,97,94,96,530.0,0.86,502.92,331.23,0.68
6877,鏵友益,152.55,157.26,167.49,175.47,126.47,88.59,97,97,89,5,64.2,0.58,72.15,47.89,0.12
4729,熒茂,151.57,151.57,148.43,132.73,108.39,109.69,97,91,73,77,29.7,0.73,27.78,20.6,0.34
6151,晉倫,150.17,150.17,144.34,132.64,95.1,95.67,97,91,42,32,60.7,0.96,43.97,31.92,0.16
4304,勝昱,149.94,160.59,193.37,196.57,107.19,97.61,97,98,72,42,12.0,0.84,11.89,8.68,1.57
6442,光聖,149.86,158.19,193.74,244.49,227.93,158.2,97,99,99,97,469.5,0.85,410.94,260.78,1.28
8028,昇陽半導體,149.85,157.76,176.3,182.78,145.7,95.32,97,97,94,30,122.0,0.8,128.86,83.93,0.28
6223,旺矽,149.65,149.92,150.96,150.94,147.26,133.9,97,95,94,94,805.0,0.92,776.76,503.94,0.55
3535,晶彩科,149.62,163.49,218.97,236.24,178.29,104.82,97,99,98,68,55.9,0.6,64.19,41.29,0.24
3086,華義,148.68,151.8,152.64,147.63,115.74,181.51,97,94,82,98,187.5,0.63,203.58,145.79,1.55
1235,興泰,147.91,147.91,146.26,136.74,99.79,95.69,97,92,57,32,156.0,0.92,138.96,98.3,0.27
9906,欣巴巴,147.62,165.2,191.08,192.06,130.81,117.17,97,98,90,86,122.5,0.44,163.06,109.65,0.23
4909,新復興,146.3,150.91,155.11,151.93,215.29,221.4,97,95,98,99,127.5,0.61,144.9,98.64,0.55
3013,晟銘電,145.87,146.36,147.36,143.81,149.23,119.87,97,94,95,88,162.5,1.0,129.3,87.48,1.59
6405,悅城,145.5,145.5,139.06,124.4,91.25,96.5,97,89,29,36,43.65,0.79,36.99,27.56,0.52
3550,聯穎,145.5,145.5,143.13,129.86,90.45,90.87,97,90,26,9,23.0,0.6,23.71,17.31,0.23
3018,隆銘綠能,145.46,153.39,168.92,168.92,119.03,96.77,97,97,84,38,29.3,0.86,29.04,20.12,0.31
3293,鈊象,145.16,146.35,146.34,140.81,123.12,124.97,96,93,87,91,1035.0,0.9,909.1,634.86,0.77
3019,亞光,143.96,148.09,156.02,153.17,100.74,100.82,96,95,60,56,102.5,0.59,114.68,81.85,0.18
6535,順藥,143.77,143.77,137.74,129.33,210.2,216.7,96,90,98,99,380.0,0.98,287.55,204.64,0.81
1213,大飲,143.28,149.12,153.22,149.98,99.89,94.15,96,95,58,23,12.0,0.81,12.15,8.9,
8032,光菱,143.25,143.25,129.62,107.67,88.85,94.31,96,74,19,24,68.6,0.83,41.59,32.2,2.21
8111,立碁,142.37,142.37,135.81,111.17,105.95,107.48,96,78,70,74,40.05,0.75,33.94,25.46,0.32
1736,喬山,141.78,143.99,144.66,136.25,115.66,94.44,96,92,82,25,151.5,0.89,135.22,96.16,1.43
3131,弘塑,141.59,147.92,155.66,156.27,151.5,150.02,96,96,95,97,1610.0,0.7,1806.0,1242.09,0.75
6788,華景電,141.3,143.96,153.27,153.78,114.86,95.0,96,95,81,28,257.5,0.77,265.48,183.04,0.41
4513,福裕,140.78,153.38,172.48,173.43,160.0,132.94,96,97,97,93,39.15,0.32,58.93,39.9,0.35
6134,萬旭,140.73,140.73,134.8,118.16,97.21,98.75,96,85,50,47,38.15,0.77,31.6,23.78,1.95
3580,友威科,140.36,145.78,161.05,163.59,122.78,100.0,96,96,87,53,95.0,0.63,103.05,72.81,0.28
4576,大銀微系統,139.78,139.78,131.62,119.2,102.94,101.22,96,86,64,58,140.0,0.88,106.04,81.4,0.16
8064,東捷,139.3,144.02,164.1,171.8,151.68,133.89,96,97,96,94,63.5,0.85,61.06,41.6,0.49
4561,健椿,139.18,139.18,140.24,141.25,134.88,106.07,96,93,92,72,66.2,0.69,71.9,50.07,0.16
2924,宏太-KY,138.98,140.05,141.68,136.53,93.46,93.5,96,92,37,20,35.0,0.5,37.29,29.54,
3379,彬台,138.48,152.08,187.73,220.64,169.98,102.87,96,98,97,64,32.85,0.57,37.73,25.8,0.29
3303,岱稜,138.4,138.92,138.8,138.74,115.57,101.58,96,93,82,59,56.4,0.69,60.55,43.31,0.11
3447,展達,137.73,137.73,125.67,112.71,86.7,86.48,96,79,11,3,79.2,0.96,46.4,36.88,0.62
3498,陽程,137.58,137.58,136.98,137.62,117.16,102.05,96,93,83,61,66.2,0.83,57.97,42.76,0.89
2365,昆盈,137.58,152.95,196.95,233.36,188.48,140.08,96,99,98,96,45.0,0.61,54.55,36.53,0.22
5234,達興材料,137.2,137.2,132.69,114.73,129.56,128.8,95,82,90,92,226.0,0.81,207.1,157.33,0.38
2399,映泰,137.06,137.06,132.68,109.31,87.09,94.63,95,76,12,26,34.3,0.63,30.47,24.57,0.86
2349,錸德,136.8,146.04,177.84,178.82,135.26,94.13,95,97,92,23,14.35,0.56,15.94,11.37,0.27
5386,青雲,136.3,136.3,132.17,123.53,119.3,116.28,95,88,84,85,104.5,0.89,91.34,69.9,3.09
6246,臺龍,136.28,136.28,129.53,109.28,94.16,111.13,95,76,40,79,25.5,0.75,20.84,16.57,2.29
2364,倫飛,136.1,136.35,135.53,125.89,82.3,74.1,95,89,4,1,90.3,0.6,96.08,76.31,0.14
6228,全譜,136.04,150.04,168.96,193.59,146.89,99.54,95,98,94,51,41.2,0.36,48.6,36.52,0.15
2467,志聖,135.87,142.91,156.33,156.97,176.88,178.65,95,96,97,98,208.0,0.8,220.95,155.78,0.39
4716,大立,135.83,135.83,132.86,128.65,126.27,102.47,95,90,88,62,29.55,0.78,26.84,19.38,0.31
3522,御嵿,135.73,138.9,138.9,130.04,85.58,105.44,95,90,8,70,23.0,0.5,24.61,20.17,0.12
3227,原相,135.27,135.27,133.85,124.36,95.77,108.46,95,88,45,76,244.0,0.79,235.41,180.12,0.42
3374,精材,134.84,140.8,156.47,165.96,121.06,100.16,95,97,86,53,213.5,0.61,234.41,168.89,0.34
3363,上詮,134.34,134.62,134.0,138.15,146.53,133.28,95,93,94,94,209.0,0.78,194.55,141.4,0.45
3047,訊舟,134.28,144.76,181.94,199.15,167.77,110.66,95,98,97,79,34.95,0.66,38.73,26.72,0.66
3665,貿聯-KY,133.9,136.28,141.73,144.19,117.85,91.84,95,94,83,12,471.5,0.91,444.19,324.1,0.64
4534,慶騰,133.87,142.4,178.94,195.54,154.51,101.03,95,98,96,57,20.95,0.54,24.88,17.58,0.34
2236,百達-KY,133.68,134.21,134.84,134.07,104.4,93.51,95,92,67,20,118.0,0.85,112.35,85.72,0.71
4807,日成-KY,133.52,133.52,131.46,118.77,92.28,96.69,95,85,33,37,28.6,0.85,24.05,19.22,1.88
8467,波力-KY,132.67,134.97,135.9,132.53,133.99,173.93,95,91,91,98,256.0,0.88,249.68,200.02,0.09
3085,新零售,132.3,132.3,130.77,115.66,120.39,93.07,95,83,85,17,19.9,0.78,17.73,14.1,0.41
5438,東友,132.15,132.15,121.51,104.92,96.03,96.51,94,69,46,36,37.8,0.84,23.65,19.48,4.92
1721,三晃,131.7,131.7,129.54,116.45,89.1,83.92,94,84,21,2,20.9,0.59,20.12,16.17,0.23
4530,宏易,131.59,131.59,127.19,114.31,101.5,100.44,94,81,62,55,11.95,0.91,10.16,8.16,0.41
3523,迎輝,131.32,131.32,128.06,115.99,95.66,94.73,94,83,44,27,25.35,0.72,24.3,19.77,0.15
6854,錼創科技-KY創,131.3,131.3,120.58,95.86,78.94,101.98,94,43,2,60,152.5,0.85,100.03,86.3,0.41
5484,慧友,131.06,141.42,197.07,261.53,195.27,113.89,94,99,98,83,55.9,0.36,69.85,48.32,0.28
5278,尚凡,130.96,130.96,125.78,116.36,104.32,108.9,94,84,67,76,293.0,0.94,250.06,197.19,1.68
4956,光鋐,130.71,130.71,127.27,123.99,114.48,124.02,94,88,80,90,38.55,0.78,31.76,24.69,0.22
8107,大億金茂,130.59,130.59,134.74,134.74,113.19,96.7,94,92,79,37,32.55,1.0,27.41,20.43,5.85
