Ticker,Name,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
6144,得利影,Communication Services,Entertainment,500.85,542.23,578.49,568.43,273.65,123.71,99,99,98,76,120.0,0.97,100.67,44.03,4.77
3230,錦明,Technology,Electronic Components,468.84,468.84,429.16,363.21,135.79,105.51,99,99,82,56,62.9,1.0,44.06,20.81,4.33
6640,均華,Technology,Semiconductors,331.02,344.17,388.17,465.58,388.41,342.27,99,99,99,99,906.0,0.84,889.68,515.88,0.35
2543,皇昌,Industrials,Engineering & Construction,330.34,330.34,339.65,325.97,337.51,302.74,99,99,98,98,94.3,0.96,73.38,47.1,1.0
6442,光聖,Technology,Electronic Components,318.05,325.09,311.98,537.11,478.92,228.44,99,99,99,97,459.5,0.83,395.08,240.32,1.24
8374,羅昇,Industrials,Industrial Distribution,298.36,298.36,339.55,438.98,335.22,90.95,99,99,98,22,140.5,0.88,137.58,70.54,0.46
8937,合騏,Consumer Cyclical,Recreational Vehicles,294.76,309.85,322.55,266.68,133.51,109.53,99,97,81,62,83.5,1.0,59.34,32.19,0.68
4909,新復興,Technology,Electronic Components,273.08,289.55,339.57,305.62,337.37,340.16,99,98,98,99,154.0,0.76,139.56,93.22,0.66
4583,台灣精銳,Industrials,Specialty Industrial Machinery,268.28,268.28,278.16,278.16,109.28,103.59,99,97,65,53,741.0,0.96,561.41,327.27,1.66
6535,順藥,Healthcare,Biotechnology,253.56,254.37,270.66,227.09,278.91,309.03,99,96,98,98,318.0,0.95,262.19,190.52,0.35
6609,瀧澤科,Technology,Electronic Components,252.14,252.14,223.49,223.49,126.88,88.73,99,96,78,16,110.0,1.0,73.31,46.6,5.63
4903,聯光通,Technology,Communication Equipment,250.26,250.26,247.06,147.58,123.7,101.75,98,89,76,49,54.4,1.0,32.53,23.18,2.12
4562,穎漢,Industrials,Specialty Industrial Machinery,248.48,248.48,290.47,352.39,339.46,101.93,98,99,99,50,65.3,0.77,69.38,38.95,0.38
3450,聯鈞,Technology,Semiconductor Equipment & Materials,245.12,247.79,238.5,240.92,194.43,149.51,98,97,95,88,229.5,0.97,164.56,102.73,2.75
5443,均豪,Technology,Semiconductor Equipment & Materials,236.17,241.38,311.43,311.43,213.83,188.4,98,98,96,95,133.0,0.83,130.94,75.85,0.32
2424,隴華,Technology,Consumer Electronics,232.29,237.06,232.32,179.31,81.22,105.87,98,94,12,57,81.0,0.95,50.88,35.09,0.4
8080,印鉐,Technology,Electronic Components,231.58,231.58,281.46,281.33,171.94,186.26,98,98,92,94,31.8,0.77,28.17,18.36,0.09
2467,志聖,Industrials,Specialty Industrial Machinery,227.68,245.31,246.62,274.47,249.12,249.3,98,97,97,97,232.0,0.91,212.89,148.15,0.38
6223,旺矽,Technology,Semiconductor Equipment & Materials,227.19,231.81,241.96,239.77,199.29,174.29,98,97,95,93,839.0,0.98,723.53,473.22,0.84
3081,聯亞,Technology,Semiconductor Equipment & Materials,221.91,253.72,233.98,160.06,113.64,131.14,98,92,69,81,339.0,0.86,203.92,151.34,0.46
6187,萬潤,Industrials,Specialty Industrial Machinery,221.31,230.79,268.68,245.96,197.22,264.15,98,97,95,98,482.0,0.86,394.77,271.84,1.48
2070,精湛,Industrials,Specialty Industrial Machinery,221.15,237.65,289.79,273.71,133.34,106.56,98,97,81,58,94.0,0.75,86.46,49.86,0.83
3167,大量,Industrials,Specialty Industrial Machinery,216.25,249.3,230.35,159.72,117.11,137.97,98,92,72,84,147.5,0.83,102.7,70.68,1.55
1799,易威,Healthcare,Drug Manufacturers—Specialty & Generic,206.33,215.28,346.87,452.0,386.05,239.89,98,99,99,97,117.0,0.46,175.77,103.23,0.2
6231,系微,Technology,Software—Application,205.78,205.78,244.84,251.31,233.49,217.14,98,97,97,96,544.0,1.0,466.74,313.57,1.11
6739,竹陞科技,Technology,Semiconductors,205.65,209.7,253.74,284.32,169.81,173.13,98,98,92,93,184.0,0.77,169.07,108.35,0.45
6425,易發,Technology,Semiconductor Equipment & Materials,202.74,209.97,199.22,172.15,349.91,333.66,98,94,99,99,84.4,0.84,65.58,63.21,2.15
6706,惠特,Industrials,Specialty Industrial Machinery,200.08,209.81,220.93,205.33,167.18,85.41,98,96,92,10,172.0,0.9,143.28,91.2,1.13
3363,上詮,Technology,Communication Equipment,199.85,220.97,217.77,183.38,220.63,251.7,98,94,96,98,237.0,0.93,177.34,133.38,0.28
3013,晟銘電,Technology,Computer Hardware,199.75,201.23,212.17,194.09,207.28,175.0,98,95,96,93,147.0,1.0,117.16,81.9,1.38
2365,昆盈,Technology,Computer Hardware,198.57,213.79,277.07,373.04,302.11,196.01,98,99,98,95,48.4,0.67,57.19,34.83,0.95
3293,鈊象,Communication Services,Electronic Gaming & Multimedia,196.73,198.15,189.85,184.51,148.3,163.79,97,95,87,91,1080.0,1.0,844.2,599.82,1.22
4569,六方科-KY,Industrials,Metal Fabrication,196.33,225.36,240.78,222.97,96.84,89.92,97,96,46,19,220.5,0.75,170.22,114.36,0.71
5314,世紀,Technology,Semiconductors,195.25,205.53,230.95,287.56,939.48,1017.36,97,98,99,99,220.0,0.49,182.91,203.55,1.04
2359,所羅門,Technology,Electronic Components,192.22,192.22,237.8,280.45,387.33,240.42,97,98,99,97,147.0,0.77,153.3,110.54,0.91
8111,立碁,Technology,Electronic Components,190.18,190.18,189.27,132.68,109.7,114.92,97,84,65,68,47.95,1.0,29.52,24.23,2.4
4510,高鋒,Industrials,Specialty Industrial Machinery,186.02,195.42,273.86,290.65,144.04,104.13,97,98,86,54,42.0,0.67,44.78,24.6,0.84
5481,新華,Consumer Defensive,Education & Training Services,183.28,183.28,189.76,161.02,93.66,98.15,97,92,40,41,29.2,1.0,22.95,16.05,2.66
4956,光鋐,Technology,Electronic Components,182.87,182.87,140.44,150.87,136.22,157.04,97,90,83,90,41.5,1.0,28.3,23.42,3.62
3131,弘塑,Technology,Semiconductor Equipment & Materials,181.95,197.68,231.69,254.62,205.31,212.04,97,97,96,96,1665.0,0.73,1810.1,1189.34,1.16
6199,天品,Technology,Computer Hardware,181.37,181.37,214.03,235.67,128.4,153.26,97,97,79,89,50.3,0.73,56.59,35.57,0.57
3466,德晉,Technology,Communication Equipment,180.43,180.43,162.63,225.3,308.94,125.05,97,96,98,77,78.0,0.71,67.14,53.71,2.8
8064,東捷,Technology,Semiconductor Equipment & Materials,179.34,179.34,210.65,244.83,209.17,152.02,97,97,96,89,58.5,0.81,58.68,39.19,0.54
3086,華義,Communication Services,Electronic Gaming & Multimedia,179.14,199.1,237.53,212.96,153.23,209.0,97,96,89,96,209.0,0.74,196.34,142.17,0.52
8096,擎亞,Technology,Semiconductors,178.99,194.16,210.96,278.89,241.81,216.96,97,97,97,96,42.4,0.69,47.69,34.68,0.18
1540,喬福,Industrials,Specialty Industrial Machinery,178.77,180.73,228.21,227.07,133.68,97.56,97,96,81,40,41.65,0.75,42.93,26.1,0.51
6134,萬旭,Technology,Communication Equipment,176.94,176.94,144.3,126.72,97.93,97.71,97,82,48,40,44.0,1.0,27.87,22.79,8.63
4563,百德,Industrials,Specialty Industrial Machinery,176.59,202.36,208.7,171.62,105.56,105.77,97,94,59,57,111.0,0.77,91.7,62.25,0.42
5364,力麗店,Consumer Cyclical,Lodging,176.49,177.95,198.34,217.21,73.97,87.19,97,96,4,13,39.4,0.73,39.56,23.92,1.01
8028,昇陽半導體,Technology,Semiconductors,176.23,181.99,187.84,211.0,174.84,87.04,97,96,93,12,137.0,0.97,124.85,80.02,0.36
2524,京城,Real Estate,Real Estate—Development,173.39,190.89,275.46,303.4,167.01,124.75,97,98,92,77,85.1,0.52,108.41,62.36,0.25
3379,彬台,Industrials,Specialty Industrial Machinery,170.53,170.53,186.0,264.06,244.94,112.97,97,97,97,66,38.25,0.73,38.36,24.78,1.79
3073,天方能源,Technology,Semiconductors,165.92,175.56,239.3,288.31,191.27,104.37,96,98,95,54,72.0,0.54,81.92,49.5,0.33
3498,陽程,Industrials,Specialty Industrial Machinery,165.11,165.11,145.77,145.18,136.87,101.4,96,89,83,48,73.8,1.0,52.96,40.78,1.94
2399,映泰,Technology,Computer Hardware,164.0,164.0,150.88,100.62,89.65,119.3,96,57,32,72,43.1,1.0,26.58,23.78,2.56
3312,弘憶股,Technology,Electronics & Computer Distribution,163.71,177.22,212.23,280.27,302.7,200.93,96,98,98,96,67.0,0.54,77.2,56.66,0.34
8032,光菱,Technology,Computer Hardware,163.64,163.64,144.46,129.96,82.66,90.33,96,83,15,20,54.3,1.0,34.37,30.53,10.1
3535,晶彩科,Technology,Computer Hardware,162.88,172.02,242.21,332.69,291.21,113.36,96,99,98,67,51.2,0.53,65.88,39.26,0.16
