Ticker,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
LICN,2963237.49,13928605.23,15403331025.01,6.280211298001094e+23,6.640161682372993e+30,20996190137.84,99,99,99,99,4.75,0.71,4.5,3.16,1.04
BMNR,37384.67,37384.67,27458.86,9580.32,105.48,100.11,99,99,48,45,61.29,0.44,46.1,40.49,1.42
INKT,9530.13,9530.13,7764.47,2818.03,187.08,161.81,99,99,97,96,15.09,0.18,17.47,10.27,0.04
SBET,2236.86,3376.06,17802.55,16125.41,843.11,116.26,99,99,99,90,17.33,0.19,20.81,12.4,0.66
IBO,977.82,977.82,941.09,965.89,702.91,128.34,99,99,99,93,0.68,0.07,0.63,1.07,0.93
SONN,883.26,883.26,724.14,466.56,80.61,54.08,99,99,2,1,6.2,0.59,4.35,2.26,0.89
NXTT,867.56,1405.57,11217.47,32237.31,1744.12,244.27,99,99,99,98,22.97,0.0,257.94,284.1,0.92
BGLC,687.11,687.11,638.7,496.16,131.13,128.18,99,99,94,93,5.37,0.36,5.37,3.83,0.03
ETHZ,624.78,624.78,554.98,305.72,112.91,644.22,99,98,88,99,2.53,0.18,3.37,1.79,1.03
ANTE,469.85,469.85,427.66,283.2,326.92,172.38,99,98,98,97,3.43,0.6,2.83,1.15,5.34
CELC,458.22,458.22,414.67,248.09,102.5,90.96,99,98,11,4,51.88,0.8,42.11,19.1,0.99
LIXT,418.87,418.87,364.26,269.19,104.63,138.89,99,98,13,94,5.45,0.89,4.31,2.29,0.66
SUPX,353.48,353.48,308.52,232.14,257.65,100.25,99,98,98,79,55.25,0.8,33.48,13.83,0.62
HCTI,348.95,432.94,454.62,246.74,145.91,364.41,99,98,95,98,2.62,0.0,4.43,78.09,0.39
ABTC,332.76,364.46,671.85,961.27,381.11,129.64,99,99,98,93,7.11,0.75,6.71,3.69,1.11
CDTX,322.1,322.1,308.7,275.31,153.19,178.21,99,98,96,97,68.71,0.96,62.68,33.86,3.23
SGN,321.55,331.54,436.93,402.04,102.34,65.37,99,99,11,1,2.18,0.11,1.69,1.68,0.33
MPU,303.39,307.35,309.33,273.14,107.51,133.52,99,98,85,94,1.45,0.27,2.55,1.43,2.94
MB,294.99,307.3,308.98,280.65,130.0,100.11,99,98,93,45,9.79,0.55,11.27,8.05,0.03
VSA,282.7,282.7,282.18,306.43,511.68,219.08,99,98,98,98,3.05,0.75,1.92,0.95,0.65
SCLX,279.05,279.05,243.67,158.3,61.75,75.43,99,96,1,2,29.08,0.75,16.94,11.89,1.94
SPRO,276.83,355.41,722.86,704.38,235.3,87.87,99,99,98,3,2.0,0.58,2.13,1.45,0.66
GALT,276.16,287.95,282.4,210.71,111.75,88.44,99,98,88,4,4.8,0.78,3.86,2.12,0.87
NAKA,260.59,385.84,1581.93,2685.0,1600.9,248.3,99,99,99,98,1.4,0.02,8.18,6.22,5.27
SLGL,260.2,260.2,244.19,190.83,552.85,520.7,99,97,99,99,30.5,1.0,17.61,9.7,1.61
INHD,257.58,257.58,192.26,79.96,137.22,116.63,99,2,95,90,4.02,0.34,2.84,3.81,0.04
GEOS,254.38,257.15,253.41,196.24,81.39,103.83,99,97,2,83,19.49,0.94,16.07,10.46,0.84
LYRA,253.45,323.89,639.34,573.14,168.28,92.6,99,99,97,5,6.35,0.09,7.2,8.52,1.32
BW,251.69,251.69,247.62,224.65,88.72,142.75,99,98,4,95,3.27,0.92,1.69,1.23,4.03
FTFT,249.74,249.74,226.76,160.04,81.22,112.13,98,96,2,89,2.05,0.26,2.28,2.12,0.12
ONMD,249.56,249.56,220.61,134.07,127.13,174.69,98,94,93,97,0.94,0.55,0.68,0.72,0.08
OVID,248.62,248.62,222.8,130.4,60.19,95.79,98,94,1,7,1.21,0.86,0.86,0.62,0.5
AMPX,247.86,247.86,245.23,227.89,200.29,279.0,98,98,97,98,11.77,1.0,7.79,4.1,1.91
AREC,243.42,243.42,231.33,209.49,166.88,161.57,98,98,97,96,2.87,1.0,1.67,1.0,1.36
FORD,241.11,241.11,203.92,163.88,155.51,148.13,98,96,96,95,30.45,0.76,15.95,8.25,2.06
DPRO,237.99,237.99,236.89,203.05,127.44,169.15,98,97,93,96,6.13,0.8,4.94,3.44,1.22
PRME,236.48,236.48,227.98,193.29,79.38,91.37,98,97,2,5,4.89,0.94,3.94,2.67,1.34
OUST,225.95,239.57,258.24,250.4,143.24,166.37,98,98,95,96,34.66,0.99,28.31,15.73,1.43
JMIA,223.53,223.53,205.03,168.5,101.65,95.08,98,97,11,6,11.62,0.97,7.13,4.23,0.61
VSAT,220.13,220.13,216.91,166.66,121.54,109.92,98,96,92,88,29.61,0.87,24.37,13.62,3.15
TGEN,219.93,237.05,303.97,312.43,243.99,264.42,98,98,98,98,8.75,0.9,7.92,4.4,1.73
LWLG,217.19,217.19,205.92,158.41,81.09,102.65,98,96,2,82,4.19,1.0,2.56,1.71,2.65
HOVR,216.71,248.53,305.74,306.61,172.09,252.45,98,98,97,98,2.23,0.98,1.68,1.03,2.19
NWGL,214.44,232.02,227.93,205.96,123.74,103.95,98,97,92,83,1.51,0.12,1.22,1.35,0.1
SATS,213.19,213.19,194.82,117.96,114.91,112.26,98,91,89,89,72.47,0.84,43.28,29.33,1.29
ARTL,207.76,213.54,234.28,224.42,104.36,106.68,98,98,13,86,5.62,0.05,10.07,7.66,1.58
ATAI,204.05,204.29,203.81,200.56,135.48,145.57,98,97,94,95,4.95,1.0,4.07,2.32,0.93
HAO,203.93,230.21,458.23,24928.87,1612564523.55,37420862.42,98,99,99,99,1.24,0.32,1.26,1.23,0.11
MGRM,202.43,202.43,198.13,166.92,127.67,113.9,98,96,93,89,5.84,0.96,5.58,3.4,0.34
RLMD,199.74,199.74,206.18,257.02,201.52,59.87,98,98,97,1,1.53,0.38,0.89,0.57,0.38
AEI,198.8,198.8,164.06,122.78,114.46,112.11,98,92,89,88,3.47,0.77,1.67,1.13,3.39
PGEN,197.32,197.32,185.12,120.47,203.93,185.75,98,92,97,97,3.75,0.75,2.87,1.77,1.36
WOLF,196.55,196.55,159.64,114.98,88.87,133.81,98,90,4,94,2.23,0.12,1.57,3.79,1.71
FTEK,196.49,203.27,229.35,231.1,140.86,97.61,98,98,95,8,3.18,0.83,2.88,1.67,0.48
APLD,196.07,198.27,226.4,217.35,128.6,140.07,98,98,93,95,20.48,1.0,14.34,9.52,1.02
RUN,194.93,194.93,186.72,152.87,110.16,72.33,98,96,87,2,16.58,0.82,13.32,9.66,0.96
CIFR,194.85,194.85,179.34,154.29,101.99,199.47,98,96,11,97,12.28,0.99,7.02,4.97,1.24
SWIN,193.76,203.12,211.7,197.22,124.02,99.62,98,97,92,10,2.56,0.37,3.65,2.3,0.38
