Ticker,Name,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
2543,皇昌,362.5,362.5,339.65,325.97,337.51,322.93,99,99,98,98,92.6,1.0,63.35,39.68,0.95
3230,錦明,339.88,377.16,468.84,403.5,186.62,105.51,99,99,94,57,48.5,0.73,48.84,22.55,0.68
6442,光聖,314.58,353.64,325.09,439.3,537.11,228.44,99,99,99,97,454.0,0.81,407.75,256.71,1.25
6535,順藥,299.34,299.43,270.66,256.83,236.24,309.03,99,97,97,98,387.0,1.0,282.24,201.49,1.49
6144,得利影,287.98,469.3,542.23,578.49,460.24,144.67,99,99,99,86,76.6,0.58,104.11,47.64,0.41
8937,合騏,278.76,279.73,322.55,283.35,153.6,98.88,99,98,89,45,83.9,1.0,66.34,34.63,0.71
4583,台灣精銳,273.99,293.28,288.2,278.16,109.28,103.59,99,98,65,53,777.0,0.91,634.14,350.82,0.93
4569,六方科-KY,258.41,258.41,240.78,236.33,96.84,89.23,99,97,48,21,299.5,1.0,193.65,120.36,6.77
8374,羅昇,255.33,296.57,315.26,438.98,348.68,90.95,99,99,99,26,128.0,0.78,140.64,74.94,0.15
8080,印鉐,246.07,262.27,249.93,281.46,171.94,186.26,99,98,92,94,34.0,0.84,31.22,19.42,0.38
6609,瀧澤科,242.6,273.09,254.45,223.49,126.88,90.32,99,96,78,25,105.0,0.84,83.62,49.84,0.84
4562,穎漢,239.13,270.19,272.55,352.39,339.46,108.42,98,99,98,61,65.3,0.77,69.66,41.1,0.18
3450,聯鈞,238.7,268.13,260.82,240.92,204.39,149.51,98,97,96,88,214.0,0.81,183.04,109.75,1.38
6640,均華,234.51,293.38,360.77,465.58,421.42,344.43,98,99,99,99,690.0,0.61,906.24,542.72,1.06
8032,光菱,227.96,227.96,163.64,144.46,80.59,90.33,98,88,12,25,77.2,1.0,39.88,31.79,0.64
2424,隴華,226.32,234.11,237.06,204.57,81.12,97.26,98,96,13,41,79.3,0.92,59.14,37.1,0.51
6199,天品,224.92,248.11,214.7,235.67,120.83,153.26,98,97,75,88,67.5,0.93,57.96,37.01,1.2
4909,新復興,223.79,259.93,339.57,316.38,284.72,340.16,98,98,98,99,134.5,0.65,144.43,97.69,0.46
