Ticker,Name,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
3230,錦明,Technology,Electronic Components,342.08,418.52,468.84,403.5,186.62,105.51,99,99,94,57,48.9,0.74,48.43,22.35,0.61
2543,皇昌,Industrials,Engineering & Construction,341.47,341.47,339.65,325.97,337.51,322.93,99,99,98,98,89.5,1.0,62.52,39.29,0.97
6442,光聖,Technology,Electronic Components,340.26,353.64,325.09,439.3,537.11,228.44,99,99,99,97,485.0,0.88,406.01,254.76,1.2
6144,得利影,Communication Services,Entertainment,319.11,483.72,542.23,578.49,418.14,144.67,99,99,99,86,85.1,0.66,104.29,47.32,0.27
6535,順藥,Healthcare,Biotechnology,299.43,299.43,270.66,227.09,239.54,309.03,99,96,97,98,382.5,1.0,279.36,199.89,1.99
4583,台灣精銳,Industrials,Specialty Industrial Machinery,283.23,293.28,288.2,278.16,109.28,103.59,99,98,65,54,802.0,0.95,626.31,348.01,1.15
8937,合騏,Consumer Cyclical,Recreational Vehicles,279.73,279.73,322.55,277.79,134.16,99.14,99,98,82,45,83.9,1.0,65.57,34.32,0.96
6609,瀧澤科,Technology,Electronic Components,264.84,273.09,254.45,223.49,126.88,90.32,99,96,78,25,116.5,0.97,82.51,49.48,1.12
8374,羅昇,Industrials,Industrial Distribution,256.53,296.57,315.26,438.98,348.68,90.95,99,99,98,26,130.5,0.8,140.77,74.44,0.24
3450,聯鈞,Technology,Semiconductor Equipment & Materials,248.69,268.13,260.82,240.92,204.39,149.51,99,97,96,88,224.0,0.86,181.41,108.98,1.29
8080,印鉐,Technology,Electronic Components,246.56,262.27,242.93,281.46,171.94,186.26,99,98,92,94,35.2,0.88,30.86,19.29,0.47
3081,聯亞,Technology,Semiconductor Equipment & Materials,245.01,245.01,253.72,175.28,113.64,131.14,98,94,70,80,360.0,0.93,237.43,159.8,2.16
4562,穎漢,Industrials,Specialty Industrial Machinery,242.12,270.19,276.89,352.39,339.46,108.42,98,99,98,61,67.2,0.8,69.91,40.85,0.25
6640,均華,Technology,Semiconductors,242.11,300.14,360.77,465.58,388.41,344.43,98,99,99,99,730.0,0.65,906.58,539.97,0.88
4909,新復興,Technology,Electronic Components,232.55,259.93,339.57,308.43,285.96,340.16,98,98,98,99,141.5,0.69,144.13,97.18,0.29
4569,六方科-KY,Industrials,Metal Fabrication,231.87,231.87,240.78,233.35,96.84,89.23,98,96,47,21,272.5,1.0,189.62,119.32,8.4
6199,天品,Technology,Computer Hardware,230.06,248.11,200.22,235.67,128.4,153.26,98,97,79,88,68.7,0.95,57.8,36.81,6.08
2424,隴華,Technology,Consumer Electronics,228.9,234.11,237.06,204.57,81.12,99.13,98,96,12,45,80.1,0.93,58.13,36.85,0.19
4903,聯光通,Technology,Communication Equipment,212.21,230.84,250.26,185.51,147.58,101.75,98,95,88,50,49.4,0.87,36.08,24.35,0.84
5443,均豪,Technology,Semiconductor Equipment & Materials,211.69,233.71,277.82,311.43,213.83,188.4,98,98,96,94,121.5,0.74,136.31,79.32,0.16
3167,大量,Industrials,Specialty Industrial Machinery,209.95,230.9,249.3,213.67,117.11,137.97,98,96,73,84,147.0,0.83,113.72,74.15,1.35
3013,晟銘電,Technology,Computer Hardware,204.05,204.05,212.17,212.17,207.28,175.0,98,96,96,93,162.5,1.0,126.53,85.83,1.14
6223,旺矽,Technology,Semiconductor Equipment & Materials,203.63,219.45,231.81,241.96,199.29,184.33,98,97,96,94,813.0,0.93,766.66,495.08,1.18
8032,光菱,Technology,Computer Hardware,202.57,202.57,163.64,144.46,81.64,90.33,98,88,14,25,70.2,1.0,38.87,31.55,2.75
2070,精湛,Industrials,Specialty Industrial Machinery,202.15,217.52,276.2,289.79,135.2,106.56,98,98,83,58,92.9,0.74,91.56,52.11,0.14
6187,萬潤,Industrials,Specialty Industrial Machinery,201.93,204.54,268.68,249.98,197.22,264.15,98,97,95,98,452.0,0.79,421.22,282.94,0.1
8064,東捷,Technology,Semiconductor Equipment & Materials,199.57,215.17,193.61,244.83,222.05,152.02,98,97,96,88,68.1,0.94,60.58,40.91,0.83
6706,惠特,Industrials,Specialty Industrial Machinery,196.86,196.86,220.93,205.33,167.18,83.31,98,96,92,8,172.0,0.9,152.21,94.89,0.35
3363,上詮,Technology,Communication Equipment,196.44,212.74,220.97,172.84,220.63,251.7,98,93,96,98,233.5,0.91,190.75,139.29,0.15
6231,系微,Technology,Software—Application,196.23,211.96,228.07,244.84,251.31,200.51,98,97,97,95,547.0,0.9,495.99,326.74,0.66
6739,竹陞科技,Technology,Semiconductors,194.06,207.58,214.59,284.32,169.81,173.13,98,98,92,92,183.5,0.77,175.54,112.95,0.22
4510,高鋒,Industrials,Specialty Industrial Machinery,192.05,200.35,257.79,290.65,144.04,102.11,97,98,86,51,45.5,0.76,45.86,25.66,0.54
2365,昆盈,Technology,Computer Hardware,188.73,201.18,253.38,373.04,354.6,196.01,97,99,99,95,47.5,0.65,55.67,36.07,0.28
3447,展達,Technology,Communication Equipment,188.42,188.42,124.81,104.33,74.18,77.66,97,63,4,3,77.6,1.0,43.5,36.23,7.68
