Ticker,Name,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
6144,得利影,Communication Services,Entertainment,327.22,330.54,335.93,325.88,175.16,104.41,99,99,97,64,119.0,0.97,98.36,42.42,0.66
3230,錦明,Technology,Electronic Components,269.41,269.41,256.95,207.97,129.04,109.33,99,98,90,76,53.6,0.92,41.77,20.04,1.39
8374,羅昇,Industrials,Industrial Distribution,236.51,257.91,297.02,313.5,185.68,95.38,99,99,98,14,123.0,0.74,136.01,68.98,0.18
4510,高鋒,Industrials,Specialty Industrial Machinery,235.89,238.85,237.73,199.67,97.83,98.82,99,98,50,35,37.8,0.57,44.28,24.24,0.3
8937,合騏,Consumer Cyclical,Recreational Vehicles,232.44,232.44,220.05,182.86,97.85,100.14,99,98,50,43,81.0,1.0,56.78,31.27,1.65
2070,精湛,Industrials,Specialty Industrial Machinery,211.15,211.67,207.0,170.89,103.19,103.7,99,97,64,62,96.9,0.78,84.53,48.92,0.63
3073,天方能源,Technology,Semiconductors,209.82,221.05,223.68,213.08,121.23,103.26,99,98,85,60,71.8,0.54,82.62,48.84,0.36
5364,力麗店,Consumer Cyclical,Lodging,196.39,196.39,191.75,162.91,87.64,89.67,99,96,12,3,41.15,0.78,38.75,23.68,0.13
3535,晶彩科,Technology,Computer Hardware,196.17,212.34,236.37,236.37,143.76,107.04,99,99,94,71,52.0,0.54,67.46,38.76,0.52
2524,京城,Real Estate,Real Estate—Development,193.8,194.87,195.29,184.96,134.76,108.23,99,98,92,74,87.1,0.54,109.68,61.55,0.3
5443,均豪,Technology,Semiconductor Equipment & Materials,193.18,198.81,201.27,187.42,152.37,145.14,99,98,96,96,138.5,0.87,129.28,74.33,0.48
5345,天揚,Technology,Electronic Components,191.36,209.79,226.18,214.22,119.1,98.47,98,98,84,33,27.2,0.6,29.75,17.84,0.35
1540,喬福,Industrials,Specialty Industrial Machinery,190.44,190.74,189.05,164.84,101.55,98.9,98,96,60,36,39.85,0.7,42.38,25.75,0.18
4562,穎漢,Industrials,Specialty Industrial Machinery,189.96,206.83,244.76,267.94,216.13,99.49,98,99,99,40,58.6,0.67,69.11,38.26,0.13
4583,台灣精銳,Industrials,Specialty Industrial Machinery,188.03,188.03,178.67,141.17,107.96,102.4,98,94,73,56,727.0,0.94,536.44,319.52,0.86
9906,欣巴巴,Industrials,Engineering & Construction,185.7,190.2,192.08,186.71,120.34,114.51,98,98,85,83,137.5,0.53,181.33,104.75,0.22
6640,均華,Technology,Semiconductors,184.44,190.83,200.75,199.09,218.05,191.12,98,98,99,98,932.0,0.86,885.08,504.3,0.57
2365,昆盈,Technology,Computer Hardware,179.55,192.85,215.59,233.43,155.63,141.17,98,99,96,95,46.7,0.64,57.86,34.33,0.27
6199,天品,Technology,Computer Hardware,178.41,178.41,174.68,153.95,117.11,137.18,98,95,83,95,49.95,0.72,55.97,35.19,0.54
4304,勝昱,Consumer Cyclical,Packaging & Containers,177.05,188.31,196.51,186.4,85.29,93.86,98,98,7,9,10.45,0.66,12.17,8.51,0.11
6442,光聖,Technology,Electronic Components,176.87,187.58,230.12,244.65,192.92,150.49,98,99,98,97,422.5,0.75,395.35,234.41,1.86
3663,鑫科,Industrials,Metal Fabrication,176.34,179.98,181.13,169.42,111.97,111.12,98,97,78,79,80.9,0.62,92.71,57.51,0.19
3379,彬台,Industrials,Specialty Industrial Machinery,173.31,183.69,213.41,220.71,136.05,106.24,98,98,93,69,35.5,0.65,38.84,24.47,1.26
6706,惠特,Industrials,Specialty Industrial Machinery,172.59,173.84,176.71,176.56,129.43,100.76,98,97,91,47,174.0,0.91,140.12,89.56,0.23
1799,易威,Healthcare,Drug Manufacturers—Specialty & Generic,172.54,184.81,215.22,215.77,160.79,148.94,98,98,96,97,114.5,0.44,178.36,102.04,0.49
3450,聯鈞,Technology,Semiconductor Equipment & Materials,171.35,173.24,175.43,171.78,127.52,106.2,98,97,89,69,207.5,0.98,158.45,100.17,1.43
8080,印鉐,Technology,Electronic Components,169.83,169.83,164.53,132.96,176.56,164.32,98,92,97,97,32.0,0.77,27.24,18.01,0.61
8028,昇陽半導體,Technology,Semiconductors,168.58,174.46,182.67,182.78,127.53,95.97,98,97,89,17,133.5,0.93,123.83,78.72,0.58
4513,福裕,Industrials,Specialty Industrial Machinery,168.09,171.59,173.46,172.77,160.21,113.35,98,97,96,82,44.35,0.4,65.05,38.32,0.46
6231,系微,Technology,Software—Application,167.29,168.27,169.29,168.99,125.1,142.96,98,97,88,96,499.5,0.91,459.65,308.26,0.75
3047,訊舟,Technology,Communication Equipment,166.47,177.5,193.06,199.2,138.41,112.03,98,98,93,80,35.25,0.66,39.78,25.5,0.35
