Ticker,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
DFSC,3316711939.54,3316711939.54,1350048293.22,47241517.18,85.78,83.81,99,99,3,2,9.47,0.1,6.88,12.95,0.21
DFDV,265777.32,432925.57,384695.1,123911.1,335.13,123.57,99,99,98,93,27.25,0.64,20.84,6.27,1.14
RGC,27540.25,27540.25,24623.29,17782.25,510.74,1209.28,99,99,99,99,14.75,0.19,17.5,4.59,0.38
GITS,17775.17,26064.47,440633.22,74501971635.38,22321291540.87,197.55,99,99,99,98,2.64,0.65,1.71,1.12,0.07
IXHL,2534.38,2534.38,1817.68,494.61,112.69,111.61,99,99,88,87,0.22,0.05,0.21,1.25,0.34
NAKA,2497.9,2497.9,2207.17,1236.39,252.48,121.6,99,99,98,92,12.3,0.47,13.73,4.51,0.1
SRM,2100.08,2100.08,1145.79,148.0,121.1,114.56,99,97,91,89,6.48,0.58,3.26,1.24,0.33
SVRE,1006.98,1536.28,18166.43,456370.39,62201.4,53.35,99,99,99,1,2.34,0.06,3.68,5.48,0.03
BULL,810.62,810.62,752.95,618.13,102.38,102.43,99,99,81,80,12.48,0.04,12.51,12.7,0.56
OST,787.1,802.97,852.88,573.96,113.1,112.08,99,99,89,87,0.13,0.0,4.3,2.95,0.62
GRYP,728.46,728.46,566.98,298.43,99.12,104.84,99,99,7,81,1.42,0.96,0.99,0.57,0.43
BSGM,712.39,712.39,590.7,286.53,517.09,485.37,99,98,99,99,5.23,0.44,5.4,2.1,1.5
BMGL,653.47,653.47,517.36,220.22,100.92,100.0,99,98,80,42,2.25,0.24,3.05,3.68,0.24
MLGO,631.73,1097.91,8121.82,24419.28,3631.22,50.87,99,99,99,1,0.75,0.0,1.56,4.4,0.38
DEVS,583.32,583.32,478.8,252.25,75.83,100.0,99,98,2,42,0.34,0.13,0.42,0.49,0.01
VIGL,559.23,559.23,459.64,230.59,94.37,96.53,99,98,5,5,8.05,1.0,6.18,3.43,0.19
YI,525.09,644.21,2314.81,406030.76,249148.4,106.7,99,99,99,83,7.5,0.67,7.85,4.89,0.13
IDAI,472.88,524.56,1287.13,1012302.27,3583040.79,990.41,99,99,99,99,3.21,0.38,2.33,1.81,0.84
OMEX,449.63,449.63,397.35,286.66,147.03,122.24,99,98,96,92,1.28,0.19,1.09,0.67,0.53
ABVE,418.58,418.58,367.81,311.37,117.19,79.04,99,99,90,2,3.63,1.0,1.23,0.7,18.1
MFI,413.44,413.44,338.6,159.18,127.31,127.08,99,97,93,94,28.91,0.56,20.33,9.46,0.52
CTMX,405.49,405.49,349.97,228.0,91.49,92.05,99,98,4,3,2.42,0.78,2.15,1.21,0.25
CRCL,394.34,394.34,313.93,132.2,100.0,100.0,99,96,43,42,187.33,0.67,167.81,167.81,0.47
CEP,376.96,376.96,361.15,308.44,102.94,102.53,99,99,82,80,36.0,0.65,36.07,17.19,0.74
ELPW,370.27,370.27,334.37,295.18,51.95,101.37,99,98,1,79,2.23,0.15,2.62,3.41,3.72
PTHL,364.63,364.63,321.25,210.52,110.81,131.63,99,98,87,94,21.01,1.0,11.44,5.75,0.96
MSGM,362.09,362.09,327.01,260.47,108.53,96.64,99,98,86,5,3.22,0.95,2.81,1.69,0.34
TMC,349.31,349.31,325.89,252.23,198.72,93.61,99,98,97,4,6.57,0.86,4.83,2.29,0.73
TOI,346.34,366.64,454.42,457.22,417.41,84.35,99,99,98,2,3.13,0.94,2.69,1.2,1.35
PTIX,340.75,340.75,332.26,216.44,109.85,113.98,98,98,87,88,3.69,0.08,3.84,5.68,0.09
CARM,319.85,319.85,223.07,68.76,68.82,96.77,98,2,1,5,0.4,0.21,0.31,0.53,0.03
ABVC,319.22,319.22,283.49,238.53,138.01,91.26,98,98,95,3,3.97,0.82,1.9,0.95,2.54
MRM,317.15,318.98,308.7,183.72,79.58,166.03,98,98,2,97,1.37,0.18,1.3,1.53,0.02
CRWV,300.65,300.65,290.26,204.92,107.49,100.0,98,98,85,42,125.84,0.61,120.52,97.15,0.67
BIAF,288.5,340.09,405.64,277.34,86.12,85.62,98,98,3,2,0.31,0.04,0.29,0.8,0.06
MTEN,264.61,264.61,243.74,226.32,169.05,186.73,98,98,97,98,16.65,0.97,12.14,7.2,2.68
