Ticker,Name,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
4543,萬在,Consumer Cyclical,Auto Parts,92.97,93.05,93.13,105.9,107.86,111.16,32,72,73,79,48.6,0.4,50.25,50.79,0.25
4942,嘉彰,Technology,Electronic Components,92.96,93.02,93.03,91.81,93.03,97.31,32,24,35,37,43.8,0.49,43.42,44.62,1.0
6953,家碩,Technology,Semiconductor Equipment & Materials,92.96,94.05,95.88,94.66,111.16,117.33,32,39,77,86,248.5,0.35,263.26,279.46,0.31
8931,大汽電,Utilities,Utilities—Regulated Electric,92.95,93.22,93.2,91.72,102.35,105.82,32,24,63,70,49.4,0.37,48.88,51.22,0.54
00919,群益台灣精選高息,,,92.95,92.98,92.91,92.85,99.5,101.21,32,29,56,57,23.74,0.52,24.08,24.43,0.31
6126,信音,Technology,Electronic Components,92.95,93.35,95.24,98.18,107.84,116.04,32,52,73,85,33.5,0.53,31.72,33.68,1.76
3432,台端,Industrials,Electrical Equipment & Parts,92.95,95.55,106.97,124.34,117.07,87.57,32,89,83,3,21.3,0.3,22.91,22.18,0.9
00634R,富邦上証反1,,,92.92,94.16,98.37,98.43,85.31,97.25,32,53,8,36,3.97,0.22,4.48,4.68,0.23
00707R,期元大S&P日圓反1,,,92.92,92.96,92.71,92.11,93.21,92.73,32,26,35,11,29.18,0.61,27.98,28.65,0.36
6261,久元,Technology,Semiconductor Equipment & Materials,92.88,92.88,95.54,96.73,101.6,99.58,32,47,62,49,74.4,0.64,70.89,70.93,1.97
3218,大學光,Healthcare,Medical Devices,92.87,92.87,92.64,89.29,84.92,88.09,32,15,7,3,222.5,0.1,234.2,255.22,0.72
1310,台苯,Basic Materials,Chemicals,92.86,93.97,94.27,92.78,85.82,92.88,32,29,9,12,12.3,0.01,12.71,13.52,0.69
00638R,元大滬深300反1,,,92.86,94.16,98.48,98.55,84.74,95.96,32,54,6,29,8.32,0.2,9.38,9.8,0.27
