Ticker,Name,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
2543,皇昌,367.75,367.75,339.65,327.1,337.51,322.93,99,99,98,98,96.4,1.0,65.03,40.45,1.29
6442,光聖,322.94,353.64,348.08,439.3,537.11,228.44,99,99,99,97,469.5,0.85,410.94,260.78,1.28
3230,錦明,314.74,365.41,468.84,423.17,186.62,105.51,99,99,94,56,46.8,0.7,49.43,22.91,0.44
8937,合騏,290.77,290.77,322.55,287.76,156.48,98.88,99,98,90,44,89.1,1.0,67.97,35.3,1.19
6535,順藥,285.04,299.43,270.66,270.66,236.24,309.03,99,98,97,98,380.0,0.98,287.55,204.64,0.81
4583,台灣精銳,277.01,290.96,293.28,278.16,109.35,103.59,99,98,65,53,782.0,0.91,649.79,356.52,0.37
8374,羅昇,265.56,282.21,315.26,438.98,348.68,90.95,99,99,99,26,129.0,0.79,139.88,75.93,0.11
6609,瀧澤科,243.92,273.09,268.37,223.49,126.88,90.32,99,96,78,25,105.0,0.84,85.84,50.58,0.42
4562,穎漢,241.62,254.88,272.55,352.39,339.46,108.42,99,99,98,61,64.5,0.76,69.1,41.59,0.21
3450,聯鈞,239.78,268.13,268.13,240.92,204.39,149.51,99,97,96,87,213.5,0.81,186.38,111.29,1.03
6640,均華,238.49,281.56,360.77,465.58,436.15,344.43,99,99,99,99,694.0,0.61,901.74,548.1,1.19
8080,印鉐,238.31,262.27,262.27,281.46,171.94,186.26,98,98,92,94,32.65,0.79,31.91,19.67,0.25
3081,聯亞,234.57,245.01,253.72,195.79,113.64,131.14,98,95,70,80,322.5,0.8,250.01,163.11,1.24
6144,得利影,233.83,420.46,542.23,578.49,460.24,144.67,98,99,99,86,62.1,0.45,103.45,48.16,0.04
4569,六方科-KY,231.27,258.41,240.78,236.33,96.84,89.23,98,97,47,21,261.0,0.82,200.68,122.2,3.67
3167,大量,216.54,230.9,249.3,227.62,118.47,137.97,98,96,74,83,149.5,0.85,117.73,75.62,1.15
4909,新復興,215.64,232.55,339.57,339.57,284.72,340.16,98,99,98,99,127.5,0.61,144.9,98.64,0.55
3013,晟銘電,215.16,215.16,203.99,212.17,207.28,175.0,98,96,96,92,162.5,1.0,129.3,87.48,1.59
6199,天品,212.41,248.11,225.1,235.67,124.15,153.26,98,97,77,88,68.3,0.94,58.12,37.4,2.56
5443,均豪,209.31,228.24,277.82,311.43,229.04,188.4,98,98,96,94,120.0,0.72,137.44,80.68,0.1
2424,隴華,207.54,229.21,237.06,204.57,81.12,97.26,98,96,13,41,73.4,0.81,60.95,37.53,0.42
6223,旺矽,205.78,219.45,231.81,241.96,199.29,186.4,98,97,95,94,805.0,0.92,776.76,503.94,0.55
8032,光菱,204.84,227.96,170.71,144.46,80.59,90.33,98,88,12,25,68.6,0.83,41.59,32.2,2.21
3581,博磊,204.48,204.48,186.32,195.25,156.01,116.52,98,95,90,70,71.9,0.99,57.52,39.15,4.18
6187,萬潤,200.98,204.54,268.68,249.98,197.22,264.15,98,97,95,98,454.5,0.79,428.5,287.54,0.13
3447,展達,197.3,198.18,153.37,104.33,77.88,77.66,98,62,7,3,79.2,0.96,46.4,36.88,0.62
2467,志聖,194.6,194.73,245.31,274.47,271.2,249.3,98,98,98,97,208.0,0.8,220.95,155.78,0.39
5314,世紀,193.7,200.12,205.53,263.84,613.63,1017.36,98,97,99,99,226.5,0.51,193.21,210.63,1.9
8064,東捷,193.08,215.17,215.17,244.83,234.18,162.71,98,97,97,90,63.5,0.85,61.06,41.6,0.49
6231,系微,192.91,211.87,220.31,244.84,251.31,200.51,98,97,97,95,530.0,0.86,502.92,331.23,0.68
6739,竹陞科技,190.14,207.58,213.76,284.32,176.26,173.13,98,98,93,92,175.5,0.72,177.42,114.79,0.48
