Ticker,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
RGC,7550.61,7979.69,29590.16,35913.74,1235.56,100.94,99,99,99,44,14.5,0.19,18.73,4.95,0.28
TRON,2093.86,2177.6,1860.95,1496.48,109.6,74.69,99,99,45,8,10.1,0.91,4.13,1.45,0.45
DFDV,1789.49,2222.76,4282.79,5989.97,1339.63,95.51,99,99,99,35,24.41,0.57,22.37,6.9,1.66
QUBT,1103.98,1186.12,1615.31,1344.81,1282.32,2998.66,99,99,99,99,19.51,0.75,15.21,9.07,0.67
WBX,941.95,1161.85,1161.85,58.28,54.87,58.33,99,5,4,4,5.94,0.93,1.58,0.83,0.02
BSGM,813.36,1011.82,2240.54,1131.19,190.6,310.24,99,99,92,97,4.63,0.39,5.76,2.21,0.94
QBTS,758.4,782.66,715.41,1045.0,628.44,843.99,99,99,98,99,18.89,0.98,15.39,7.7,0.67
GITS,736.02,770.1,957.97,805.44,968.1,104.63,99,99,99,49,2.76,0.68,1.84,1.18,0.02
LICN,709.51,757.47,596.34,5200.34,1269.88,130.96,99,99,99,77,4.59,0.69,4.64,2.58,0.02
RGTI,701.73,782.03,662.3,828.66,1227.28,1991.6,99,99,99,99,17.16,0.85,12.27,8.69,0.96
NAKA,615.94,679.14,1046.95,1338.31,211.65,103.51,99,99,94,48,11.02,0.42,14.65,4.77,0.07
AEVA,606.69,606.69,851.5,830.48,218.36,144.6,99,99,94,84,32.23,0.84,22.98,9.19,1.09
JL,602.84,664.95,649.99,942.9,1048.03,980.86,99,99,99,99,6.43,0.96,5.48,3.5,0.39
YI,602.2,602.2,616.42,1418.12,1262.02,91.93,99,99,99,22,7.59,0.68,7.78,5.06,0.53
DRUG,600.19,924.43,986.51,1381.86,2031.44,3756.26,99,99,99,99,26.16,0.46,28.12,33.25,0.63
ASST,589.7,888.51,959.12,1547.0,82.1,52.92,99,99,14,3,4.52,0.33,6.21,2.05,0.19
SY,586.61,586.61,438.84,109.97,118.29,91.91,99,57,65,22,5.87,1.0,1.91,1.13,2.35
SBET,586.38,720.83,389.39,1198.78,60.43,89.52,99,99,6,19,28.98,0.35,20.73,9.96,4.08
ABTS,586.08,796.16,796.16,1558.7,705.58,106.67,99,99,98,52,4.71,0.55,4.21,1.89,0.13
DBVT,555.31,643.56,678.85,883.43,658.95,533.91,99,99,98,98,10.0,0.86,9.63,5.28,1.04
TOI,542.24,580.06,584.54,859.22,501.92,92.23,99,99,98,23,3.5,0.96,2.75,1.28,1.24
TGEN,538.91,577.61,692.34,457.41,373.7,331.38,99,98,97,97,7.72,0.83,5.87,2.82,8.8
MVST,521.97,521.97,680.48,837.07,662.7,617.46,99,99,98,98,3.38,0.72,3.55,1.88,0.78
MTEN,511.93,511.93,404.55,287.37,138.55,151.13,99,97,81,85,21.0,1.0,13.22,7.58,1.05
HYPD,479.56,614.37,562.73,183.38,11.56,46.96,99,93,1,2,12.88,0.1,5.93,10.49,0.18
NUTX,474.85,680.06,717.68,1265.29,1291.89,291.0,99,99,99,96,113.81,0.63,133.33,71.62,0.78
IDAI,474.7,505.67,563.22,491.19,1252.81,1979.33,99,98,99,99,3.0,0.35,2.45,1.88,1.14
PTHL,474.32,474.32,410.42,369.37,105.86,93.75,99,98,40,32,22.22,1.0,13.2,6.16,1.7
MFI,460.97,490.58,810.63,530.27,99.47,117.72,99,98,32,66,28.12,0.54,22.82,10.07,0.08
MNPR,450.62,467.78,429.05,806.16,1363.0,1031.62,98,99,99,99,46.48,0.89,36.19,30.04,0.72
NEON,438.15,465.15,474.27,344.43,311.27,396.25,98,97,97,98,27.41,0.96,16.79,10.49,1.32
TMC,427.57,487.29,586.85,504.4,246.88,117.87,98,98,95,66,7.64,0.96,5.28,2.45,0.87
GRYP,426.73,479.28,502.54,317.59,37.03,69.47,98,97,2,6,1.26,0.84,1.09,0.58,0.31
ABVC,426.11,490.67,602.14,291.82,184.59,73.98,98,97,92,8,3.35,0.68,2.14,1.02,0.3
OKLO,425.38,425.38,462.3,530.81,430.16,267.37,98,98,98,96,68.98,1.0,51.33,32.11,0.69
ZEPP,424.64,473.38,333.51,97.17,116.39,96.37,98,33,62,36,13.19,0.92,3.93,3.24,0.68
SEZL,418.28,476.97,616.31,537.01,322.29,1183.31,98,98,97,99,140.59,0.76,128.63,65.46,0.57
DDC,416.19,477.22,304.69,171.45,88.67,45.89,98,92,20,2,16.91,0.83,9.23,5.81,0.57
PRCH,412.66,424.16,416.7,435.49,302.52,293.2,98,98,97,96,13.48,1.0,11.06,6.15,0.68
AMPX,402.08,402.08,314.14,260.81,227.14,214.6,98,96,95,93,8.66,1.0,3.92,2.73,3.05
NEGG,401.71,639.01,639.01,122.27,58.03,75.74,98,74,5,9,29.55,0.57,13.02,10.1,1.39
ABVE,399.6,571.64,571.64,326.61,115.99,88.62,98,97,61,18,2.7,0.72,1.31,0.75,0.79
ARQQ,397.63,436.75,369.25,285.78,315.82,528.68,98,97,97,98,42.36,0.96,29.16,19.79,1.11
ZKIN,393.0,393.0,284.91,461.18,452.2,126.17,98,98,98,74,2.78,0.66,2.43,1.35,0.07
PSIX,388.81,388.81,423.88,385.29,892.92,758.02,98,98,99,99,90.0,1.0,53.23,34.99,1.75
KLTO,387.54,393.15,427.6,402.34,58.36,58.95,98,98,5,4,1.29,0.62,0.86,0.5,0.04
QNTM,387.27,387.27,566.85,499.3,171.64,52.6,98,98,90,3,23.37,0.64,16.82,8.34,0.37
RKLB,382.54,382.54,331.28,305.21,480.73,470.11,98,97,98,98,51.39,1.0,31.02,23.14,1.35
HAO,378.89,382.71,338.61,728.24,818.28,56.53,98,98,99,4,1.43,0.23,1.38,1.0,0.28
UAMY,377.82,400.33,322.58,772.38,725.94,513.6,98,99,98,98,3.87,1.0,2.76,1.9,2.19
NXTT,375.3,451.06,495.24,237.92,126.41,125.96,98,96,73,73,2.38,0.38,2.06,1.49,0.03
TDUP,371.3,415.52,519.26,607.94,292.68,171.79,98,98,96,90,7.33,0.83,7.34,3.35,0.75
AREN,368.32,441.39,529.99,1037.63,325.37,147.7,98,99,97,84,5.24,0.51,6.04,2.71,0.62
ROMA,365.16,393.34,467.72,556.82,161.64,126.8,98,98,89,74,3.35,0.87,2.88,1.35,0.13
VVPR,361.74,385.94,441.72,601.99,299.34,104.74,98,98,96,49,6.87,1.0,5.07,2.37,4.8
LEU,361.56,361.56,327.03,306.91,198.06,217.91,98,97,93,94,249.34,1.0,151.68,96.64,0.89
CTM,359.61,359.61,342.19,414.85,692.31,1086.43,98,98,98,99,1.49,0.55,1.12,0.82,3.25
BTCS,359.6,367.94,344.08,183.62,220.93,321.76,98,93,94,97,6.57,1.0,2.95,2.44,5.08
TSSI,351.62,351.62,544.12,454.97,1520.09,1579.12,98,98,99,99,23.18,0.73,19.04,11.97,0.6
BTM,349.68,360.83,362.55,381.49,95.41,115.3,98,98,27,64,5.84,0.88,4.53,2.31,1.49
CDTX,348.85,348.85,297.44,169.08,166.18,190.26,98,92,89,92,59.96,1.0,33.43,22.73,1.48
QSG,347.92,359.85,635.82,635.82,325.33,144.8,98,98,97,84,9.89,0.7,8.55,4.45,0.52
VIGL,337.82,348.78,351.71,308.71,89.71,93.92,98,97,21,32,8.07,1.0,6.73,3.55,2.21
UMAC,337.48,404.74,401.55,324.07,686.39,963.41,98,97,98,99,10.87,0.53,7.55,7.55,1.28
NVFY,331.14,333.2,266.71,244.28,86.74,55.7,98,96,18,3,3.19,1.0,1.51,0.94,1.22
ALMU,330.78,374.07,354.37,456.82,212.37,347.35,98,98,94,97,18.09,0.91,15.26,8.2,0.85
HOVR,327.54,340.72,334.07,334.07,129.92,210.23,98,97,76,93,1.74,0.73,1.27,0.74,0.61
DAVE,320.23,331.1,475.69,412.04,310.18,485.81,98,98,97,98,218.1,0.75,212.97,113.92,1.31
TAOX,316.21,327.22,287.17,149.03,86.96,90.75,98,88,18,21,10.11,0.97,4.68,3.32,0.46
OUST,315.25,315.25,262.1,234.72,142.77,179.9,98,96,83,91,30.65,1.0,17.83,11.2,0.95
BBAI,314.01,344.86,319.66,184.88,554.14,262.31,98,93,98,96,7.95,0.79,4.91,3.76,0.87
CNVS,308.38,389.51,402.03,245.88,328.46,359.38,98,96,97,97,6.33,0.89,4.34,3.48,0.63
LAES,307.83,319.41,375.17,509.59,703.15,1209.23,98,98,98,99,3.75,0.39,3.53,2.73,1.15
NNNN,307.3,339.76,339.76,118.36,114.01,92.57,98,71,54,26,46.99,0.9,20.03,13.12,0.97
AGFY,306.18,306.88,303.0,490.29,564.93,1029.89,98,98,98,99,24.7,0.37,24.81,21.2,0.05
OCG,302.96,322.29,524.52,615.22,327.34,116.9,98,98,97,65,5.9,0.79,5.96,2.78,0.63
XTKG,299.56,323.07,413.4,534.32,348.63,405.77,98,98,97,98,1.62,0.73,1.51,0.96,0.49
FIEE,298.35,304.49,654.55,577.6,163.76,77.27,98,98,89,9,2.82,0.57,2.73,1.18,0.11
HOOD,289.94,289.94,291.28,245.16,298.19,232.86,98,96,96,94,109.74,1.0,77.22,49.45,1.64
SONN,289.6,446.28,233.38,49.02,47.32,55.97,98,4,3,3,6.18,0.59,2.4,2.38,0.34
TZUP,288.97,288.97,251.2,285.47,123.72,107.58,98,97,71,54,14.32,1.0,8.43,5.32,1.8
IPA,287.92,331.17,324.27,188.68,73.85,61.22,98,93,10,4,1.73,0.85,0.92,0.57,0.43
SMR,287.31,287.31,298.15,325.49,437.61,593.76,98,97,98,98,50.25,1.0,33.69,23.08,0.97
SGMT,283.51,287.29,302.24,197.6,94.77,157.08,98,94,26,87,9.41,0.94,6.25,4.79,0.28
KC,279.8,279.8,257.84,381.27,594.61,379.34,98,98,98,97,15.91,0.74,12.85,11.18,1.63
PDYN,279.43,305.17,315.42,314.37,958.46,884.16,98,97,99,99,12.24,0.91,8.19,6.36,1.56
GNS,274.76,317.68,321.7,80.74,46.24,51.5,97,16,3,3,1.37,0.52,0.72,0.6,0.42
MP,272.58,275.01,209.46,191.74,177.58,133.4,97,94,91,78,63.22,1.0,30.73,23.74,1.91
BKSY,272.43,328.25,278.68,151.19,198.44,155.61,97,88,93,87,23.7,0.81,15.54,11.39,5.48
DALN,272.16,297.67,294.06,117.8,172.17,172.02,97,70,90,90,13.72,0.99,5.6,5.57,0.07
VSA,271.45,271.45,174.78,171.82,88.26,81.81,97,92,19,12,1.8,1.0,0.97,0.75,0.57
PGY,268.07,268.07,200.49,160.58,132.51,108.0,97,90,78,54,31.12,1.0,18.76,12.73,2.22
QS,264.91,264.91,173.12,88.43,88.49,97.6,97,23,19,38,14.64,1.0,5.75,5.11,4.18
NWTN,262.8,299.91,311.91,275.9,57.93,86.41,97,97,5,16,1.72,0.58,1.69,0.97,0.07
DGXX,261.68,261.68,217.8,203.88,210.04,150.35,97,94,94,85,3.67,1.0,2.13,1.78,1.43
TNGX,261.37,261.37,235.99,155.37,46.49,72.35,97,89,3,7,6.77,0.52,3.94,3.42,0.36
BLBX,261.13,324.8,294.21,219.51,177.52,104.62,97,95,91,49,7.74,0.78,5.33,3.52,1.21
LTBR,260.2,275.46,337.16,367.77,376.12,334.46,97,98,97,97,15.07,0.89,13.06,8.87,0.79
HSAI,259.45,274.53,287.79,338.78,420.7,290.8,97,97,98,96,21.75,0.89,20.16,14.29,0.89
TDTH,259.24,259.24,83.56,66.77,87.83,88.07,97,8,19,17,1.43,0.32,0.33,1.34,3.39
RPID,257.1,276.13,291.45,300.22,363.21,132.34,97,97,97,78,3.41,0.85,3.34,2.13,0.2
PLTR,256.74,258.06,283.02,321.29,362.18,281.65,97,97,97,96,153.52,1.0,133.43,90.83,0.56
ASTS,255.87,257.55,236.23,336.37,532.32,615.65,97,97,98,98,57.98,1.0,36.98,27.73,0.55
IONQ,255.86,261.0,306.71,329.98,420.43,492.85,97,97,98,98,46.51,0.9,39.96,31.03,1.05
RCAT,255.24,287.11,248.79,338.21,708.04,1059.83,97,97,98,99,11.27,0.77,7.48,6.96,1.24
GRRR,252.94,300.81,374.5,365.97,748.11,545.5,97,98,99,98,19.04,0.42,19.38,16.07,1.0
