Ticker,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
RGC,8897.38,11566.23,37955.19,16231.24,1237.91,128.02,99,99,99,70,14.75,0.19,17.5,4.59,0.38
DFDV,2395.51,3181.5,4504.59,6084.2,848.98,110.61,99,99,99,54,27.25,0.64,20.84,6.27,1.14
WBX,1295.46,1299.11,1155.63,62.56,59.39,73.04,99,5,3,4,6.12,0.96,1.01,0.71,0.03
SRM,1294.43,1588.56,1950.17,143.59,121.32,87.73,99,90,73,7,6.48,0.58,3.26,1.24,0.33
QUBT,1214.26,1603.36,1781.43,1423.71,1559.53,3293.15,99,99,99,99,17.43,0.67,14.05,8.61,0.54
BSGM,1033.99,2505.05,2165.07,857.81,289.98,355.68,99,99,97,97,5.23,0.44,5.4,2.1,1.5
KNW,1028.77,1100.42,909.2,757.91,1128.47,67.77,99,99,99,3,3.33,0.75,1.64,0.85,0.05
ASST,990.69,1110.85,863.67,1571.34,92.81,62.32,99,99,13,3,6.66,0.5,5.72,1.95,0.12
DRUG,968.63,1043.68,1072.87,1849.15,2982.54,4445.27,99,99,99,99,24.81,0.44,28.65,32.64,0.49
ABTS,887.72,887.72,693.32,1570.18,710.84,117.14,99,99,99,60,5.88,0.69,3.97,1.77,0.7
INKT,802.48,802.48,103.09,114.33,146.55,116.11,99,75,86,59,64.17,1.0,8.46,7.98,49.56
GITS,763.64,1071.07,1053.0,783.4,1085.83,122.83,99,99,99,65,2.64,0.65,1.71,1.12,0.07
NAKA,757.24,892.51,1156.43,1383.34,233.41,115.3,99,99,95,58,12.3,0.47,13.73,4.51,0.1
NUTX,752.61,795.63,791.24,1200.64,1137.36,297.98,99,99,99,96,114.61,0.64,134.27,69.32,0.97
DBVT,717.57,735.72,748.66,911.87,623.46,529.8,99,99,98,98,10.8,0.93,9.53,5.05,0.06
NEGG,712.5,712.5,212.93,130.56,65.86,88.36,99,86,4,7,49.24,1.0,10.3,9.71,4.16
JL,698.35,700.85,985.65,975.86,1135.65,933.46,99,99,99,99,6.47,0.98,5.15,3.35,2.09
QBTS,686.3,799.87,856.12,1061.44,627.94,924.85,99,99,98,99,14.81,0.77,14.37,7.29,0.4
LICN,644.46,646.51,644.92,5343.81,1286.39,155.42,99,99,99,85,4.44,0.67,4.54,2.52,0.02
VBIX,643.2,643.2,648.18,1104.17,1113.84,1239.0,99,99,99,99,5.18,0.59,4.94,5.15,1.25
ABVE,637.38,637.38,273.33,324.05,117.49,98.52,99,98,70,11,3.63,1.0,1.23,0.7,18.1
TOI,598.6,598.6,768.9,896.14,451.31,61.82,99,99,98,3,3.13,0.94,2.69,1.2,1.35
YI,580.78,612.58,656.32,1324.3,1271.42,102.2,99,99,99,47,7.5,0.67,7.85,4.89,0.13
ABVC,547.1,689.98,384.75,300.92,183.57,82.46,99,97,92,5,3.97,0.82,1.9,0.95,2.54
GRYP,534.4,582.03,422.87,339.13,47.83,81.88,99,98,2,5,1.42,0.96,0.99,0.57,0.43
IDAI,524.44,629.71,561.87,505.25,1416.25,2206.09,99,98,99,99,3.21,0.38,2.33,1.81,0.84
AREN,489.46,577.61,570.97,1067.0,207.29,166.69,99,99,94,88,5.77,0.57,6.01,2.59,0.53
TMC,474.25,506.38,625.67,360.28,215.55,100.51,99,98,95,45,6.57,0.86,4.83,2.29,0.73
SEZL,473.21,687.7,673.99,504.21,476.02,1353.83,99,98,98,99,134.73,0.72,120.15,62.71,1.38
MFI,470.66,774.56,886.5,556.77,102.66,131.15,98,98,54,72,28.91,0.56,20.33,9.46,0.52
NXTT,469.53,573.58,496.6,244.47,143.46,140.32,98,97,85,78,2.55,0.41,1.84,1.46,0.12
NEON,463.15,530.26,500.08,335.57,344.54,464.37,98,98,97,98,25.49,0.92,15.33,10.08,0.44
PTHL,457.62,457.62,407.71,361.83,106.34,108.93,98,98,58,52,21.01,1.0,11.44,5.75,0.96
PROK,455.82,570.72,62.42,63.47,103.13,115.01,98,5,54,58,4.54,0.86,1.06,1.4,1.27
UMAC,447.73,447.73,344.09,306.9,774.59,1057.9,98,97,99,99,12.12,0.6,6.99,7.3,6.34
PRCH,447.36,479.54,438.15,447.48,307.14,342.65,98,98,97,97,12.28,0.92,10.4,5.86,0.69
ROMA,438.47,498.77,503.89,581.55,142.48,148.14,98,99,85,82,3.46,0.91,2.69,1.28,0.17
MTEN,436.68,468.55,256.08,295.28,154.15,174.83,98,97,88,90,16.65,0.97,12.14,7.2,2.68
SBET,434.17,434.17,544.82,1240.68,68.34,105.51,98,99,5,50,21.65,0.25,18.0,9.42,4.1
MNPR,418.71,493.61,536.74,775.78,1511.72,1203.74,98,99,99,99,36.87,0.7,36.07,29.09,1.08
VIGL,387.13,407.34,374.84,315.52,95.1,111.19,98,97,15,54,8.05,1.0,6.18,3.43,0.19
