Ticker,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
LICN,912.18,912.18,757.47,5200.34,1793.58,130.96,99,99,99,91,4.06,0.61,4.56,2.68,0.57
ABVX,791.36,791.36,772.58,85.62,84.88,79.36,99,8,7,4,70.83,1.0,14.78,9.37,0.98
QBTS,715.34,862.18,862.18,1045.0,628.44,843.99,99,99,99,99,17.06,0.83,16.66,8.4,0.53
DRUG,573.54,639.36,972.83,1274.53,2031.44,3756.26,99,99,99,99,33.75,0.6,28.02,34.47,0.69
RGTI,524.01,656.35,782.03,828.66,1065.68,1991.6,99,99,99,99,14.17,0.7,13.0,9.28,0.45
TOI,462.46,472.52,580.06,859.22,573.85,168.63,99,99,99,95,3.69,0.98,2.89,1.41,0.77
DBVT,454.64,507.48,678.85,883.43,745.64,533.91,99,99,99,99,9.4,0.8,9.47,5.63,1.15
VAPE,433.82,693.2,124.81,121.93,160.11,114.87,99,90,95,86,35.49,0.57,10.87,8.58,1.49
IDAI,408.04,443.74,563.22,521.53,887.34,1979.33,99,99,99,99,2.86,0.33,2.52,1.99,0.62
SBET,405.83,550.52,720.83,1198.78,60.43,89.52,99,99,3,7,19.56,0.22,23.87,10.51,1.28
PRCH,405.04,455.35,455.35,435.49,302.52,293.2,99,99,98,98,12.76,0.89,11.5,6.62,0.82
SBDS,390.8,664.64,200.5,75.71,58.98,72.68,99,5,3,3,15.16,0.15,11.01,26.55,0.32
CTM,343.94,357.46,359.61,414.85,692.31,1086.43,99,99,99,99,1.19,0.43,1.16,0.86,0.83
AGFY,339.27,339.27,348.94,490.29,564.93,1029.89,99,99,99,99,25.95,0.39,24.72,22.11,0.06
RKLB,330.47,364.71,382.54,323.65,461.96,480.73,99,98,99,99,46.44,0.89,34.83,24.63,0.7
YI,316.67,620.83,636.26,627.45,1418.12,511.26,99,99,99,99,6.93,0.61,7.69,5.31,2.11
NUTX,316.15,386.71,717.68,1010.35,1291.89,352.16,99,99,99,98,84.0,0.45,126.13,74.58,1.19
YYAI,313.09,352.34,178.59,103.73,95.06,58.53,99,81,10,2,3.62,0.2,1.19,1.62,0.56
FIEE,312.72,344.44,586.34,654.55,212.3,21.83,99,99,97,1,2.35,0.47,2.88,1.21,0.05
KLTO,294.89,392.73,427.6,402.34,58.36,58.95,99,99,2,2,0.99,0.46,1.02,0.52,0.05
HYPD,293.79,352.02,614.37,372.44,16.59,44.61,99,98,1,1,7.88,0.06,7.24,9.34,0.08
UAMY,293.3,382.84,400.33,772.38,755.58,513.6,99,99,99,99,2.92,0.73,2.83,2.01,1.06
NXTT,292.66,367.21,495.24,473.88,77.88,126.41,99,99,5,89,1.79,0.49,2.1,1.53,0.28
MNPR,289.57,476.96,467.78,626.19,1363.0,1144.58,99,99,99,99,42.66,0.81,37.31,31.63,0.32
NNNN,286.96,329.83,339.76,222.78,114.01,92.57,99,97,51,41,42.0,0.79,26.44,15.54,0.64
BTM,281.25,323.75,362.55,381.49,95.65,115.3,99,98,11,86,4.99,0.73,5.09,2.46,0.41
CELC,276.09,276.09,105.98,99.41,86.22,94.89,99,14,7,76,40.3,1.0,14.01,12.57,6.18
ZKIN,272.64,304.54,393.0,461.18,452.2,126.17,99,99,99,89,2.31,0.53,2.38,1.42,0.17
NEON,271.85,400.92,474.27,419.28,341.94,342.37,99,99,98,98,20.59,0.67,19.24,11.22,1.18
ZONE,271.02,271.02,262.6,277.12,112.94,88.14,98,98,18,7,4.03,0.91,2.97,1.73,0.22
DALN,270.23,320.99,320.99,106.44,172.17,172.02,98,84,96,95,14.8,0.9,7.25,5.99,0.09
UMAC,265.04,333.49,404.74,324.07,605.83,963.41,98,98,99,99,9.4,0.45,8.33,7.9,0.34
HOVR,261.6,306.99,340.72,334.07,119.75,210.23,98,98,87,97,1.49,0.61,1.44,0.79,0.32
NVTS,259.8,318.83,314.23,259.58,113.91,107.28,98,98,19,82,7.21,0.76,6.5,3.6,0.34
CRDO,257.2,257.2,231.46,228.16,272.16,294.52,98,98,98,98,116.01,1.0,84.43,61.84,0.86
OCG,250.8,283.19,374.84,615.22,382.7,116.07,98,99,98,86,4.94,0.63,5.75,2.94,0.22
BTCS,249.72,298.38,367.94,183.62,199.39,321.76,98,97,97,98,4.83,0.69,3.48,2.61,0.54
KC,246.66,287.54,287.54,381.27,594.61,422.03,98,98,99,98,13.68,0.62,13.06,11.65,0.51
TDTH,243.18,315.79,396.64,66.77,73.79,88.07,98,3,4,7,1.4,0.32,0.56,1.26,0.11
FTEK,241.97,254.05,255.71,251.6,103.49,94.8,98,98,14,76,2.69,0.89,2.25,1.32,0.2
PGY,233.3,281.76,281.76,179.07,132.51,108.0,98,96,91,83,29.94,0.85,21.5,13.58,1.09
GMM,232.7,232.7,249.68,391.7,782.29,570.22,98,99,99,99,2.61,0.53,2.76,2.79,6.74
TNGX,231.01,235.65,261.37,181.36,46.49,53.75,98,97,2,2,6.3,0.48,4.8,3.4,0.89
ATNF,227.3,227.3,195.77,69.52,58.77,133.48,98,3,2,91,3.52,0.49,1.28,1.66,1.6
PAYS,223.73,259.16,277.52,232.88,75.35,100.7,98,98,4,79,7.53,0.84,6.18,3.74,0.58
PRZO,221.73,246.77,244.56,183.26,244.61,358.23,98,97,97,98,1.87,0.64,1.33,1.16,0.62
SPRO,218.23,224.66,305.51,290.4,73.88,86.33,98,98,4,6,2.17,0.65,2.43,1.31,0.09
BLBX,217.53,260.45,324.8,219.51,177.16,177.52,98,97,96,96,7.53,0.75,6.02,3.72,0.74
PRPO,217.18,222.38,272.83,175.29,150.5,96.7,98,96,94,77,14.48,0.85,12.13,7.84,0.73
SLDP,214.54,281.86,257.89,167.15,96.67,138.66,98,96,11,92,3.17,0.66,2.32,1.53,1.36
SOGP,209.78,243.61,271.92,213.11,113.09,97.67,98,97,18,77,4.91,0.73,3.56,2.36,0.04
TLSA,209.52,209.52,168.06,200.21,202.55,138.03,98,97,97,92,2.37,1.0,1.56,1.14,4.98
LTBR,209.38,233.76,275.46,367.77,376.12,298.35,98,98,98,98,13.82,0.8,13.64,9.31,0.43
RBLX,208.36,208.36,217.28,197.76,158.5,156.58,98,97,95,94,124.94,1.0,102.22,69.79,1.37
CTEV,208.0,235.29,343.29,367.08,294.43,120.75,98,98,98,88,38.68,0.75,39.79,22.01,0.6
TTMI,206.69,207.75,204.4,180.18,127.69,139.6,98,96,90,92,48.73,1.0,38.58,27.14,2.73
SGMT,205.03,264.78,302.24,228.11,94.77,157.08,98,98,10,94,8.89,0.84,7.27,5.03,0.31
COMM,204.09,226.45,254.16,241.79,258.84,371.05,98,98,98,98,8.12,0.92,7.0,5.63,0.97
CURI,203.21,207.11,299.96,422.09,292.9,289.24,98,99,98,98,4.59,0.64,5.22,3.09,0.6
INKT,202.52,222.97,719.71,100.72,140.04,112.88,98,15,93,85,16.54,0.2,12.26,8.93,0.11
YYGH,200.95,282.67,280.1,189.33,134.99,156.72,98,97,92,94,2.41,0.63,2.15,1.74,1.72
AMLX,200.71,212.92,243.03,208.82,199.49,201.13,98,97,97,96,7.97,0.93,6.39,4.78,0.63
MOB,199.05,206.21,229.63,226.74,221.97,337.03,98,98,97,98,3.47,0.69,2.7,2.33,1.13
