Ticker,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
DRUG,3194.45,3756.26,3346.12,93.19,71.31,90.76,99,37,9,25,47.15,0.84,18.11,5.49,0.07
WGS,1383.56,1383.56,1289.64,794.56,673.29,478.32,99,99,99,98,78.57,0.93,51.69,27.38,0.9
SEZL,1119.29,1119.29,710.02,521.68,359.69,313.32,99,99,98,97,429.65,1.0,181.72,100.63,5.42
NXL,616.29,616.29,453.65,182.48,445.69,467.62,99,95,99,98,3.92,1.0,1.29,1.13,0.71
DOGZ,613.75,726.48,726.48,363.37,262.46,138.26,99,98,97,85,43.06,0.74,35.91,17.05,0.42
FTEL,607.56,808.08,905.65,448.23,1173.25,414.79,99,99,99,98,32.2,0.82,20.17,14.82,0.34
MNPR,593.91,611.88,1031.62,203.02,146.72,215.4,99,96,89,95,16.2,0.47,7.54,4.39,0.09
LENZ,528.54,528.54,447.37,588.61,614.29,743.7,99,99,99,99,34.88,1.0,24.93,17.54,0.78
WLGS,504.49,556.08,553.96,255.25,84.45,110.16,99,98,17,65,3.43,0.97,1.92,0.93,0.11
CAPR,432.06,440.89,485.24,417.93,131.99,137.27,99,99,83,85,19.72,0.88,13.81,7.23,0.12
LUMN,420.82,420.82,445.38,493.55,460.21,90.58,99,99,99,25,9.56,1.0,6.56,3.1,0.9
SMR,420.75,420.75,376.5,227.35,299.29,170.27,99,97,98,92,23.46,1.0,13.85,8.86,2.21
SMMT,415.73,415.73,544.45,818.49,419.71,241.74,99,99,98,96,21.22,0.65,20.72,10.04,0.2
RAIL,412.09,412.09,400.33,357.64,129.77,129.77,99,98,81,81,15.16,1.0,11.47,5.59,1.6
APP,399.45,399.45,277.5,219.5,236.0,238.26,99,97,97,96,280.61,1.0,139.08,89.49,2.2
ASTS,398.98,472.64,615.65,912.53,695.47,68.57,99,99,99,8,22.01,0.55,25.99,13.15,0.42
ROOT,395.78,395.78,355.32,314.2,822.53,886.7,99,98,99,99,81.57,0.98,44.34,48.08,1.4
SGMO,375.44,382.36,317.3,176.86,155.39,180.68,99,95,90,93,2.8,1.0,1.16,0.79,2.07
ASPI,350.04,350.04,323.47,142.56,473.69,449.65,99,90,99,98,8.32,0.99,3.88,3.53,0.76
LBPH,340.61,353.99,373.8,373.92,328.54,415.4,99,98,98,98,59.84,1.0,44.06,29.37,0.29
WULF,340.09,340.09,286.68,248.66,307.41,205.48,99,98,98,95,8.12,0.99,5.11,3.57,0.8
INSG,339.43,346.84,481.7,402.63,358.68,109.72,99,99,98,64,18.37,0.92,17.49,9.2,0.98
ATER,329.02,384.62,404.64,616.06,645.53,671.05,99,99,99,99,2.98,0.83,2.99,2.3,0.88
CRVS,327.17,398.36,423.47,304.88,176.09,144.16,99,98,93,87,9.28,1.0,6.36,3.27,0.61
EBS,322.36,322.36,293.27,346.19,565.26,156.08,99,98,99,89,11.89,0.78,8.43,6.12,0.9
JANX,304.0,327.77,328.18,294.76,531.25,618.86,99,98,99,99,54.53,0.83,49.03,41.85,0.93
AEYE,299.54,299.54,271.84,294.6,422.56,334.35,99,98,98,98,31.88,1.0,23.05,17.63,3.44
CVNA,295.43,331.78,357.91,254.7,404.7,526.22,99,98,98,99,245.27,0.99,182.61,121.85,0.42
LASE,291.81,294.72,484.32,1036.99,193.14,159.23,98,99,95,90,5.79,0.28,7.7,3.39,0.09
AZ,288.91,288.91,247.56,140.15,112.25,75.19,98,89,66,10,5.94,1.0,3.03,2.02,2.13
INOD,286.91,286.91,189.0,173.02,244.92,125.68,98,94,97,79,42.49,1.0,17.7,13.31,12.5
NOVVU,280.0,297.4,314.02,319.81,105.06,98.49,98,98,55,47,41.0,1.0,35.81,17.75,
HROW,273.95,289.94,338.93,308.91,257.74,83.9,98,98,97,16,52.24,0.89,47.15,25.21,0.57
MSTR,273.19,279.97,288.55,230.93,340.12,443.12,98,97,98,98,270.26,1.0,183.23,145.56,0.96
WLFC,270.06,313.68,319.62,257.69,190.59,110.38,98,98,94,65,200.48,0.83,155.16,86.7,3.98
NEON,268.91,342.37,403.46,631.28,166.4,110.88,98,99,92,65,6.51,0.49,8.35,3.77,0.41
ADMA,267.03,267.03,304.82,304.82,258.89,147.39,98,98,97,88,22.66,1.0,18.12,11.47,1.29
CRMD,266.49,266.49,290.57,207.06,139.62,144.6,98,97,86,87,11.6,0.81,8.98,5.62,0.91
CHSN,262.91,530.53,636.03,683.75,152.8,116.62,98,99,90,73,5.73,0.33,7.01,3.17,0.76
DAVE,262.87,262.87,311.25,300.56,581.62,562.74,98,98,99,99,52.32,0.98,40.35,36.56,1.41
RNA,262.35,285.61,311.13,366.56,399.02,261.49,98,98,98,96,45.59,0.89,44.63,33.49,0.55
LTBR,261.73,279.88,334.46,78.79,101.28,68.79,98,17,48,8,8.97,0.67,4.64,3.31,0.92
WVE,261.52,261.52,242.15,161.93,131.43,134.57,98,93,82,84,16.1,1.0,9.76,6.6,0.93
TIL,260.4,260.4,387.63,794.16,120.49,124.87,98,99,75,78,31.35,0.32,41.71,18.94,0.47
RZLT,260.4,277.03,271.39,284.17,357.75,261.99,98,98,98,96,5.65,0.97,5.05,3.65,0.89
NOVV,259.9,266.95,276.76,285.36,101.31,95.6,98,98,48,42,37.0,1.0,32.45,16.97,
WAVE,254.41,305.87,387.21,282.48,196.91,182.18,98,98,95,93,7.53,0.69,6.04,3.44,0.57
AENT,254.22,254.22,273.38,164.68,230.8,135.74,98,94,96,84,4.89,1.0,2.84,2.33,0.35
STEC,253.44,253.44,349.61,66.42,30.89,39.56,98,10,1,2,1.26,0.15,0.75,0.78,0.02
ALTS,251.48,278.67,311.07,272.85,658.73,806.19,98,98,99,99,2.47,0.45,2.16,2.34,0.99
CLOV,249.45,340.6,359.41,345.46,198.24,84.75,98,98,95,17,3.39,0.74,3.47,1.78,1.36
OKLO,247.45,247.45,202.58,104.54,152.93,130.3,98,59,90,82,24.84,0.92,12.66,10.77,1.3
