Ticker,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
SRM,1277.05,1386.33,1860.95,240.91,109.6,74.69,99,98,14,3,6.72,0.6,3.52,1.3,0.27
WBX,961.29,1161.85,1047.87,58.28,54.87,61.43,99,2,2,2,5.96,0.93,1.24,0.76,0.05
GITS,663.82,793.68,957.97,805.44,968.1,104.63,99,99,99,84,2.55,0.63,1.75,1.14,0.03
LICN,631.23,631.23,596.34,5200.34,1269.88,130.96,99,99,99,92,4.33,0.65,4.58,2.54,0.04
NAKA,629.66,773.21,1046.95,1338.31,211.65,103.51,99,99,97,84,11.77,0.45,14.13,4.62,0.07
VBIX,589.01,589.01,520.17,842.15,1158.25,1114.28,99,99,99,99,5.42,0.61,4.94,5.15,2.12
YI,547.43,547.43,618.14,1418.12,1262.02,91.93,99,99,99,7,7.4,0.66,7.82,4.96,0.47
SBET,539.74,539.74,299.35,1198.78,60.43,89.52,99,99,2,6,28.97,0.34,18.92,9.59,4.37
TOI,515.01,561.78,584.54,859.22,501.92,70.41,99,99,99,3,2.97,0.89,2.71,1.23,1.22
MVST,470.62,524.87,837.07,780.19,662.7,617.46,99,99,99,99,3.13,0.66,3.47,1.84,0.53
IDAI,470.44,535.07,563.22,491.19,1252.81,1979.33,99,99,99,99,3.14,0.37,2.38,1.84,0.93
SEZL,451.38,560.35,616.31,502.49,432.76,1183.31,99,99,99,99,133.32,0.71,123.45,63.77,0.7
SONN,440.8,446.28,217.02,49.02,47.32,55.97,99,2,1,2,9.77,1.0,2.03,2.35,1.04
PTHL,439.49,440.91,389.05,353.2,105.86,93.75,99,99,13,79,20.61,0.95,12.14,5.92,6.77
MNPR,405.99,445.69,403.4,806.16,1363.0,1031.62,99,99,99,99,39.76,0.76,36.04,29.46,2.08
