Symbol,Name,Market Cap,Sector,Industry
DLTR,"Dollar Tree, Inc.",$38.00 B,Consumer Staples,Discount Stores
SBAC,SBA Communications Corporation,$37.93 B,Real Estate,REIT—Specialty
PSX,Phillips 66,$37.51 B,Energy,Oil & Gas Refining & Marketing
EA,Electronic Arts Inc.,$37.38 B,Communication Services,Electronic Gaming & Multimedia
TT,Trane Technologies plc,$37.36 B,Industrials,Specialty Industrial Machinery
PH,Parker-Hannifin Corporation,$37.05 B,Industrials,Specialty Industrial Machinery
PEG,Public Service Enterprise Group Incorporated,$36.28 B,Utilities,Utilities—Diversified
TDG,TransDigm Group Incorporated,$36.14 B,Industrials,Aerospace & Defense
LYB,LyondellBasell Industries N.V.,$35.96 B,Basic Materials,Specialty Chemicals
RMD,ResMed Inc.,$35.44 B,Healthcare,Medical Instruments & Supplies
ISRG,"Intuitive Surgical, Inc.",$35.37 B,Healthcare,Medical Instruments & Supplies
AVB,"AvalonBay Communities, Inc.",$35.19 B,Real Estate,REIT—Residential
YUM,"Yum! Brands, Inc.",$35.12 B,Consumer Discretionary,Restaurants
ODFL,"Old Dominion Freight Line, Inc.",$34.94 B,Industrials,Trucking
ED,"Consolidated Edison, Inc.",$34.89 B,Utilities,Utilities—Regulated Electric
AMP,"Ameriprise Financial, Inc.",$34.64 B,Financials,Asset Management
FAST,Fastenal Company,$34.58 B,Industrials,Industrial Distribution
ALGN,"Align Technology, Inc.",$34.49 B,Healthcare,Medical Devices
VRSK,"Verisk Analytics, Inc.",$34.39 B,Industrials,Consulting Services
AJG,Arthur J. Gallagher & Co.,$34.22 B,Financials,Insurance Brokers
EQR,Equity Residential,$34.11 B,Real Estate,REIT—Residential
TROW,"T. Rowe Price Group, Inc.",$34.01 B,Financials,Asset Management
HAL,Halliburton Company,$33.95 B,Energy,Oil & Gas Equipment & Services
TSN,"Tyson Foods, Inc.",$33.73 B,Consumer Staples,Farm Products
DFS,Discover Financial Services,$33.73 B,Financials,Credit Services
IFF,International Flavors & Fragrances Inc.,$33.32 B,Basic Materials,Specialty Chemicals
OTIS,Otis Worldwide Corporation,$33.09 B,Industrials,Specialty Industrial Machinery
ROK,"Rockwell Automation, Inc.",$33.05 B,Industrials,Specialty Industrial Machinery
APTV,Aptiv PLC,$33.02 B,Consumer Discretionary,Auto Parts
HES,Hess Corporation,$32.81 B,Energy,Oil & Gas E&P
ROST,"Ross Stores, Inc.",$32.71 B,Consumer Discretionary,Apparel Retail
WEC,"WEC Energy Group, Inc.",$32.54 B,Utilities,Utilities—Regulated Electric
ABC,AmerisourceBergen Corporation,$32.51 B,Healthcare,Medical Distribution
BF.B,Brown-Forman Corporation,$32.07 B,Consumer Staples,Beverages—Wineries & Distilleries
PCAR,PACCAR Inc,$32.04 B,Industrials,Farm & Heavy Construction Machinery
PPG,"PPG Industries, Inc.",$31.89 B,Basic Materials,Specialty Chemicals
MTD,Mettler-Toledo International Inc.,$31.78 B,Healthcare,Diagnostics & Research
OKE,"ONEOK, Inc.",$31.66 B,Energy,Oil & Gas Midstream
GLW,Corning Incorporated,$31.60 B,Technology,Electronic Components
ES,Eversource Energy,$31.56 B,Utilities,Utilities—Regulated Electric
BIIB,Biogen Inc.,$31.35 B,Healthcare,Drug Manufacturers—General
AME,"AMETEK, Inc.",$31.15 B,Industrials,Specialty Industrial Machinery
STT,State Street Corporation,$30.95 B,Financials,Asset Management
TWTR,"Twitter, Inc.",$30.83 B,Communication Services,Internet Content & Information
FITB,Fifth Third Bancorp,$30.46 B,Financials,Banks
CBRE,"CBRE Group, Inc.",$30.45 B,Real Estate,Real Estate Services
AWK,"American Water Works Company, Inc.",$30.43 B,Utilities,Utilities—Regulated Water
WST,"West Pharmaceutical Services, Inc.",$30.23 B,Healthcare,Medical Instruments & Supplies
ARE,"Alexandria Real Estate Equities, Inc.",$30.10 B,Real Estate,REIT—Office
CMI,Cummins Inc.,$29.94 B,Industrials,Specialty Industrial Machinery
WLTW,Willis Towers Watson plc,$29.85 B,Financials,Insurance Brokers
CPRT,"Copart, Inc.",$29.58 B,Industrials,Specialty Business Services
NDAQ,"Nasdaq, Inc.",$29.52 B,Financials,Financial Data & Stock Exchanges
WY,Weyerhaeuser Company,$29.42 B,Real Estate,REIT—Specialty
BLL,Ball Corporation,$29.40 B,Consumer Discretionary,Packaging & Containers
KEYS,"Keysight Technologies, Inc.",$29.40 B,Technology,Scientific & Technical Instruments
LVS,Las Vegas Sands Corp.,$29.07 B,Consumer Discretionary,Resorts & Casinos
SIVB,SVB Financial Group,$28.91 B,Financials,Banks
CSX,CSX Corporation,$28.90 B,Industrials,Railroads
HRL,Hormel Foods Corporation,$28.52 B,Consumer Staples,Packaged Foods
CERN,Cerner Corporation,$28.31 B,Healthcare,Health Information Services
EFX,Equifax Inc.,$28.24 B,Industrials,Consulting Services
EXPE,"Expedia Group, Inc.",$27.91 B,Consumer Discretionary,Travel Services
FRC,First Republic Bank,$27.90 B,Financials,Banks
EIX,Edison International,$27.67 B,Utilities,Utilities—Regulated Electric
EXR,Extra Space Storage Inc.,$27.37 B,Real Estate,REIT—Industrial
DHI,"D.R. Horton, Inc.",$27.34 B,Consumer Discretionary,Residential Construction
