Ticker,Sector,Industry,Price,EPS QoQ (%),QoQ 2Q Algo (%),QoQ 3Q Algo (%),EPS YoY (%),YoY 2Q Algo (%),EPS RS,TTM EPS,Rev RS,TTM RPS,TTM PE,Rating (EPS RS),Rating (Rev RS)
NCNA,Healthcare,Biotechnology,3.98,10000000000.0,-399.0,1399.0,2500000000.0,,166666664297.53,-1748.76,-8.81,,,99,31
UXIN,Consumer Cyclical,Auto & Truck Dealerships,3.48,32349200.0,-0.18,32.38,1800000000.0,,119999997581.05,-34.17,21.82,9.311,,99,84
UNCY,Healthcare,Biotechnology,3.74,-52000000.0,25000000.0,1.0,-2.54,610000000.0,20333330872.42,-2.74,306666666666653.4,,,99,96
MCRB,Healthcare,Biotechnology,18.9,-2.66,-1.04,-0.51,0.91,2.46,19777775497.92,-6.79,-1.6103e+17,,,99,1
ODP,Consumer Cyclical,Specialty Retail,27.97,97000000.0,-7.82,-16.91,205000000.0,,13666663792.79,1.38,-16.55,215.806,20.28,99,16
RCUS,Healthcare,Biotechnology,12.37,114000000.0,-0.11,-0.03,102000000.0,,6799997551.46,-3.14,185.03,2.702,,99,93
AKTX,Healthcare,Biotechnology,1.12,0.0,11871550.0,1.0,0.0,0.0,5999997620.15,0.0,-8.81,,,99,31
LUNR,Industrials,Aerospace & Defense,10.1,-1.0,12.49,-1.14,-2.55,,5386385200.22,-3.23,26.97,2.388,,99,86
APPN,Technology,Software - Infrastructure,31.47,2000000.0,8.0,-5.0,60000000.0,,3999997613.56,-0.23,8.47,8.93,,99,75
LPCN,Healthcare,Biotechnology,2.68,-0.17,0.09,0.08,0.39,-2.89,3444441847.82,-0.84,20.86,0.787,,99,84
BXMT,Real Estate,REIT - Mortgage,18.63,4000000.0,16000000.0,1.0,9.75,71000000.0,2366664571.32,-0.07,-5.88,1.371,,99,41
HDL,Consumer Cyclical,Restaurants,18.15,0.5,2.0,-4.0,30000000.0,,1999997665.9,1.0,9.26,13.69,18.28,99,76
ACDC,Energy,Oil & Gas Equipment & Services,3.71,-5.05,5.0,-1.26,-0.59,,1882713075.86,-1.75,3.85,13.314,,99,68
RENB,Healthcare,Biotechnology,0.1406,4000000.0,6.0,0.46,54000000.0,0.75,1799997628.12,-0.25,-8.81,,,99,31
VTRS,Healthcare,Drug Manufacturers - Specialty & Generic,9.49,255000000.0,-4.93,-6.37,27000000.0,,1799997145.98,-2.93,-15.74,11.881,,99,17
KNTK,Energy,Oil & Gas Midstream,45.26,5.6,4.0,-34.0,-0.64,,1644442008.73,0.73,15.44,27.381,62.47,99,81
RVP,Healthcare,Medical Instruments & Supplies,0.8299,35000000.0,-0.67,-2.0,48000000.0,-36.0,1599996267.15,-0.3,12.46,1.275,,99,79
PBYI,Healthcare,Biotechnology,4.7,1.0,-5.5,-0.05,2.33,,1311108885.08,0.99,-2.33,4.824,4.89,99,53
SRAD,Technology,Software - Application,29.32,1.12,8000000.0,-12000000.0,17000000.0,,1133330970.4,0.4,9.11,4.282,72.42,99,76
SKIN,Consumer Defensive,Household & Personal Products,1.94,3.0,0.0,0.87,16000000.0,,1066664414.6,-0.18,-16.01,2.482,,99,17
PATH,Technology,Software - Infrastructure,12.14,4000000.0,-3.25,5.5,15000000.0,,999997658.04,0.03,6.5,2.738,407.0,99,72
BN,Financial Services,Asset Management,68.46,6.5,-12.0,25.0,15000000.0,,999997581.3,0.44,-26.09,52.034,155.5,99,11
JG,Technology,Software - Infrastructure,8.4,39999900.0,-2.0,2.0,13333300.0,,888884379.02,-0.15,-1.51,58.4,,99,55
LITB,Consumer Cyclical,Apparel Manufacturing,2.09,12000000.0,0.0,-12000000.0,12000000.0,,799997648.81,0.12,-32.75,12.01,15.88,99,10
BEDU,Consumer Defensive,Education & Training Services,1.9,0.0,30.78,-13.43,12000000.0,,799997558.93,-4.09,-12.59,6.008,,99,21
CALX,Technology,Software - Infrastructure,61.43,7000000.0,2.86,-3.5,12000000.0,,799997532.74,-0.41,8.41,13.213,,98,75
FENC,Healthcare,Biotechnology,8.7,-1.75,0.5,2.5,0.82,,666664337.51,-0.45,1705555555555713.5,1.212,,98,97
JOB,Industrials,Staffing & Employment Services,0.203,30000000.0,-29.0,8.5,18000000.0,-29.0,600015660.37,-0.34,-18.81,0.995,,98,15
EE,Energy,Oil & Gas Midstream,24.96,-2.2,0.07,0.25,-0.8,,566664243.29,1.34,2.11,37.377,18.88,98,65
SGRP,Industrials,Specialty Business Services,1.095,-2000000.0,3.0,3.0,17000000.0,-13.0,566663814.55,-0.26,-69.56,6.119,,98,7
ALCY,Financial Services,Shell Companies,11.75,0.4,-5.67,-5.67,-2.8,-2.29,516664112.23,0.02,-8.81,,575.5,98,31
MIR,Industrials,Specialty Industrial Machinery,21.43,4000000.0,3500000.0,1.0,2.5,13000000.0,433331063.53,0.05,7.975555555555556e+17,4.08,475.2,98,99
AEYE,Technology,Software - Application,13.67,12000000.0,0.0,-0.2,6000000.0,,399997632.62,-0.35,6.46,3.123,,98,72
QUAD,Industrials,Specialty Business Services,6.55,-12000000.0,0.2,6.2,6000000.0,,399997499.23,-0.31,-17.27,54.069,,98,16
CDE,Basic Materials,Gold,18.2,0.83,-0.5,-0.33,11000000.0,2.33,366664378.72,0.4,71.83,3.009,46.1,98,91
JVA,Consumer Defensive,Packaged Foods,4.56,-2.91,-0.82,0.29,-2.91,11000000.0,366664217.58,0.32,11.68,15.722,14.16,98,78
TLYS,Consumer Cyclical,Apparel Retail,1.99,7.73,-0.26,-0.36,11000000.0,-0.14,366664166.43,-1.51,-17.56,18.278,,98,15
NAGE,Healthcare,Biotechnology,9.41,-0.4,-0.29,3.5,5000000.0,,333331010.85,0.22,20.42,1.501,44.36,98,83
MITK,Technology,Software - Application,9.94,-3.0,3.0,-2.9,5000000.0,,333330928.84,0.33,-3.27,3.897,30.09,98,50
TWFG,Financial Services,Insurance Brokers,26.72,0.44,-0.22,0.37,-3.04,,316664078.34,0.4,4.52,9.992,67.53,98,69
GRAF,Financial Services,Shell Companies,10.56,0.0,-0.12,-0.11,8000000.0,44.29,266708968.53,0.46,-8.81,,22.91,98,31
CTMX,Healthcare,Biotechnology,2.84,-27000000.0,0.59,1.43,8000000.0,0.59,266666399.03,0.5,-13.07,1.457,5.8,98,20
AKBA,Healthcare,Drug Manufacturers - Specialty & Generic,2.71,-3000000.0,4.33,0.0,4000000.0,,266664314.29,-0.18,16.21,0.879,,98,81
LINK,Technology,Electronic Components,12.595,9000000.0,-0.8,0.2,4000000.0,,266664259.0,-0.2,10.49,1.19,,98,77
AHH,Real Estate,REIT - Diversified,6.8,3.36,-4.64,3.51,3819700.0,,254644194.24,0.14,-52.26,7.048,48.64,98,8
TDAC,Financial Services,Shell Companies,10.36,0.0,0.5,1.02,183.29,7000000.0,233337208.35,0.14,-8.81,,74.0,98,31
TPG,Financial Services,Asset Management,59.71,-1.67,1.0,0.0,6.0,,233331345.26,-0.18,-22.87,33.73,,98,12
CTLP,Technology,Software - Infrastructure,10.55,0.0,8.57,0.75,12.4,10.17,211109527.19,0.86,4.91,4.135,12.27,98,70
LFST,Healthcare,Medical Care Facilities,5.26,-1000000.0,1000000.0,1.0,5.0,6000000.0,199997818.08,-0.04,6.02,3.44,,98,72
ASPC,Financial Services,Shell Companies,10.35,-0.09,3.82,3.82,45.88,5129800.0,170987444.89,-0.4,-8.81,,,98,31
CEPO,Financial Services,Shell Companies,10.51,1.0,1.03,36.8,48.11,4000000.0,133332176.34,0.11,-8.81,,95.45,98,31
DSP,Technology,Software - Application,8.63,4.5,-2.57,0.22,2000000.0,,133331001.8,0.13,6.56,19.632,65.31,98,72
VRAR,Technology,Software - Infrastructure,1.63,-7000000.0,6000000.0,0.25,0.29,4000000.0,133330975.47,-0.36,-14.91,0.463,,98,18
MCHX,Communication Services,Advertising Agencies,1.83,5000000.0,-0.25,-1.0,2000000.0,,133330947.67,-0.1,-12.4,1.092,,98,21
CTM,Technology,Information Technology Services,1.15,1000000.0,0.5,0.33,3000000.0,7.0,99997861.41,-0.09,13.94,0.806,,98,80
PLX,Healthcare,Biotechnology,2.04,5000000.0,-9.0,-9.0,3000000.0,0.2,99997649.92,0.09,6.34,0.829,22.89,98,72
XTNT,Healthcare,Medical Devices,0.638,3000000.0,2000000.0,1.0,2.0,3000000.0,99997642.33,-0.04,13.48,0.925,,98,80
WRN,Basic Materials,Other Industrial Metals & Mining,1.85,0.0,171700.0,1.0,2000000.0,1000000.0,99997609.0,-0.01,-8.81,,,98,31
PCYO,Utilities,Utilities - Regulated Water,10.96,2.0,-4.33,0.14,-0.33,3000000.0,99997595.66,0.56,-32.58,1.14,19.61,98,10
SSII,Healthcare,Medical Devices,5.65,3000000.0,-0.2,-0.25,2000000.0,1.0,66664450.92,-0.06,1595718888889023.2,0.155,,98,97
DEFT,Financial Services,Capital Markets,2.13,-9083900.0,0.21,0.27,2000000.0,3.05,66664409.09,0.06,-162.17,0.241,35.42,98,5
MNKD,Healthcare,Biotechnology,5.33,-4000000.0,0.33,-0.33,1000000.0,,66664402.75,0.11,16.28,1.038,50.27,98,81
KRMD,Healthcare,Medical Instruments & Supplies,3.92,3000000.0,0.0,0.0,2000000.0,0.33,66664290.43,-0.1,9.48,0.802,,98,76
KFFB,Financial Services,Banks - Regional,3.5543,0.0,185500.0,69.08,1000000.0,,66664239.06,-0.13,-0.09,1.087,,98,59
GROY,Basic Materials,Gold,3.72,1000000.0,-3.0,-3.0,1000000.0,0.0,33331063.37,-0.01,426.22,0.073,,98,94
PLG,Basic Materials,Other Precious Metals & Mining,2.33,-1000000.0,2000000.0,0.0,1.0,1000000.0,33331000.11,-0.04,-8.81,,,98,31
AMBP,Consumer Cyclical,Packaging & Containers,3.84,2000000.0,-2000000.0,-2000000.0,1000000.0,0.5,33330956.33,-0.03,3.82,8.751,,98,68
PVL,Energy,Oil & Gas E&P,1.88,854800.0,-2300000.0,-1.0,854800.0,0.0,28490940.86,0.09,2797259999999999.0,0.139,20.47,98,97
NXT,Technology,Solar,73.51,-0.02,0.35,0.0,0.23,,22222045.41,3.67,13.48,21.415,19.91,98,80
CTKB,Healthcare,Medical Devices,3.39,1.25,-1.25,-5.0,1.0,-0.8,22219792.33,-0.05,-4.77,1.522,,98,45
TALK,Healthcare,Health Information Services,2.64,0.0,-1000000.0,0.0,280200.0,,18677799.68,0.02,9.33,1.203,139.0,98,76
ADTX,Healthcare,Biotechnology,0.8538,1.35,371.78,1.0,302.53,10926.75,381019.78,2942.24,-2841.81,0.017,0.0,98,4
BINI,Consumer Cyclical,Auto Manufacturers,5.14,103.84,96.59,-0.09,8545.4,7.65,282713.87,-1188295.8,406666666667097.44,93.806,,98,96
TRNR,Consumer Cyclical,Personal Services,3.38,7.17,3.17,20.07,4260.0,,282584.0,17152.49,123.32,18.709,0.0,98,93
YYAI,Consumer Cyclical,Leisure,2.2,0.71,2.5,25.0,-2.0,-6.0,243009.57,0.24,-15.6,0.92,10.0,97,17
SMLR,Healthcare,Medical Devices,30.21,2.18,-2.85,3.55,3603.78,,237878.28,4.56,-58.83,4.723,6.21,97,7
ALLR,Healthcare,Biotechnology,1.54,0.67,14.92,0.94,21.27,2655.64,91179.73,5.75,-8.81,,0.27,97,31
WHLR,Real Estate,REIT - Retail,6.95,15.6,-155.71,2.59,1221.74,,79776.51,-70.96,-2.75,469.537,,97,51
SYTA,Technology,Communication Equipment,2.37,2.79,0.35,0.26,1912.79,374.58,74754.41,2079.45,2.02,5.665,0.0,97,65
