Ticker,Sector,Industry,Price,EPS QoQ (%),QoQ 2Q Algo (%),QoQ 3Q Algo (%),EPS YoY (%),YoY 2Q Algo (%),EPS RS,TTM EPS,Rev RS,TTM RPS,TTM PE,Rating (EPS RS),Rating (Rev RS)
UXIN,Consumer Cyclical,Auto & Truck Dealerships,3.55,32349200.0,-0.18,32.38,1800000000.0,,120000000006.65,-34.31,20.74,9.311,,99,83
UNCY,Healthcare,Biotechnology,4.09,-52000000.0,25000000.0,1.0,-2.54,610000000.0,20333333298.02,-2.74,306666666666652.25,,,99,96
VTRS,Healthcare,Drug Manufacturers - Specialty & Generic,9.86,255000000.0,-4.93,-6.37,27000000.0,,1799999571.58,-2.93,-16.82,11.881,,99,18
RVP,Healthcare,Medical Instruments & Supplies,0.8285,35000000.0,-0.67,-2.0,48000000.0,-36.0,1599998692.75,-0.3,11.38,1.275,,99,79
SRAD,Technology,Software - Application,29.47,1.12,8000000.0,-12000000.0,17000000.0,,1133333396.0,0.4,8.03,4.282,75.35,99,76
SKIN,Consumer Defensive,Household & Personal Products,2.37,3.0,0.0,0.87,16000000.0,,1066666840.2,-0.18,-17.09,2.482,,99,18
SGRP,Industrials,Specialty Business Services,1.17,-2000000.0,3.0,3.0,17000000.0,-13.0,566666240.15,-0.26,-70.64,6.119,,98,7
TLYS,Consumer Cyclical,Apparel Retail,2.02,7.73,-0.26,-0.36,11000000.0,-0.14,366666592.03,-1.51,-18.64,18.278,,98,17
THTX,Healthcare,Biotechnology,3.31,-9000000.0,-3000000.0,-1.0,-5.5,10000000.0,333333246.64,-0.19,-23.59,1.709,,98,13
TWFG,Financial Services,Insurance Brokers,25.26,0.44,-0.22,0.37,-3.04,,316666503.94,0.4,3.44,9.992,62.75,98,70
TDAC,Financial Services,Shell Companies,10.34,0.0,0.5,1.02,183.29,7000000.0,233339633.95,0.14,-9.89,,73.86,98,32
TPG,Financial Services,Asset Management,63.73,-1.67,1.0,0.0,6.0,,233333770.86,-0.18,-23.95,33.73,,98,13
VRAR,Technology,Software - Infrastructure,1.67,-7000000.0,6000000.0,0.25,0.29,4000000.0,133333401.07,-0.36,-15.99,0.463,,98,19
XTNT,Healthcare,Medical Devices,0.66,3000000.0,2000000.0,1.0,2.0,3000000.0,100000067.93,-0.04,12.4,0.925,,98,80
WRN,Basic Materials,Other Industrial Metals & Mining,1.66,0.0,171700.0,1.0,2000000.0,1000000.0,100000034.6,-0.01,-9.89,,,98,32
SSII,Healthcare,Medical Devices,5.44,3000000.0,-0.2,-0.25,2000000.0,1.0,66666876.52,-0.06,1595718888889022.5,0.155,,98,97
TALK,Healthcare,Health Information Services,2.65,0.0,-1000000.0,0.0,280200.0,,18680225.28,0.02,8.25,1.203,128.0,98,76
TRNR,Consumer Cyclical,Personal Services,3.5,7.17,3.17,20.07,4260.0,,285009.6,17152.49,122.24,18.709,0.0,97,92
SMLR,Healthcare,Medical Devices,29.49,2.18,-2.85,3.55,3603.78,,240303.88,4.56,-59.91,4.723,6.4,97,8
WHLR,Real Estate,REIT - Retail,1.54,15.6,-155.71,2.59,1221.74,,82202.11,-14.19,-3.83,93.907,,97,52
SYTA,Technology,Communication Equipment,2.67,2.79,0.35,0.26,1912.79,374.58,77180.01,2079.45,0.94,5.665,0.0,97,65
TNXP,Healthcare,Biotechnology,28.37,-0.36,2.44,1.35,496.63,,34111.2,2537.0,8631111111111098.0,2.437,0.01,97,98
TBI,Industrials,Staffing & Employment Services,6.46,47.0,-0.2,-0.54,344.0,,22824.59,-1.2,-13.89,51.674,,97,22
SUNE,Technology,Solar,1.43,-13.62,26.9,0.96,14.25,550.7,18992.98,-6.89,7988.59,71.457,,97,95
XNET,Technology,Software - Infrastructure,8.13,897.38,11.0,-3.15,270.0,,18104.71,-0.05,14.64,5.696,,97,81
RYN,Real Estate,REIT - Specialty,26.03,132.5,-111.0,10.58,262.0,,17519.95,2.48,-3.75,8.17,10.37,97,52
WEX,Technology,Software - Infrastructure,168.33,0.08,0.14,-0.58,0.07,,16503.83,7.89,-8.94,68.016,20.71,97,38
VRCA,Healthcare,Biotechnology,4.04,51.0,1.4,1.04,186.0,,12437.37,-7.74,80.18,1.935,,97,91
RSI,Consumer Cyclical,Gambling,21.69,2.0,2.0,1.0,145.11,,9831.28,0.21,12.86,11.311,104.86,97,80
SOBR,Technology,Scientific & Technical Instruments,3.25,0.11,19.47,0.95,85.18,158.05,8590.49,315.42,39246666666760.62,0.396,0.01,96,96
WRD,Technology,Software - Application,10.46,0.02,0.76,0.56,117.72,,8200.79,-1.2,57.19,1.785,,96,90
TGL,Technology,Software - Application,1.27,110.0,34.0,2.82,3.13,221.0,7565.69,356.1,-76.32,3.504,0.0,96,7
YPF,Energy,Oil & Gas Integrated,24.41,4.25,17.5,-6.07,-9.15,,6749.84,3.1,-9.47,51462.508,7.7,96,36
