Ticker,Name,Sector,Industry,Price,EPS QoQ (%),QoQ 2Q Algo (%),QoQ 3Q Algo (%),EPS YoY (%),YoY 2Q Algo (%),EPS RS,TTM EPS,Rev RS,TTM RPS,TTM PE,Rating (EPS RS),Rating (Rev RS)
2724,藝舍-KY,Consumer Cyclical,Lodging,36.0,3.71,-1.3,-4.32,31000000.0,-13.0,1033332984.73,-0.39,15.69,2.719,,99,90
2369,菱生,Technology,Semiconductor Equipment & Materials,18.45,2.08,-0.72,-2.62,27000000.0,0.0,899999950.62,-0.56,-27.46,15.287,,99,30
3349,寶德,Technology,Computer Hardware,26.0,4000.68,-0.05,-0.06,4320.65,0.38,143961.37,-1.63,-52.23,9.024,,99,9
8038,長園科,Industrials,Electrical Equipment & Parts,27.8,-0.39,-0.24,-0.32,-3.37,-3.56,34793.76,-1.38,-638.04,2.054,,99,2
1213,大飲,Consumer Defensive,Beverages - Non-Alcoholic,12.65,391.69,0.27,0.21,656.53,-0.26,21783.04,-1.82,-15.85,1.417,,99,60
4541,晟田,Industrials,Aerospace & Defense,30.2,2.2,-0.58,-1.37,2.12,1.27,18533.58,-0.59,-12.14,18.375,,99,68
6609,瀧澤科,Technology,Electronic Components,111.0,6.08,-3.42,-0.77,555.83,-1.5,18502.44,2.45,-21.72,32.536,45.92,99,45
2705,六福,Consumer Cyclical,Lodging,17.3,-453.17,78.76,1.01,0.88,453.17,15101.68,-0.02,-16.17,11.879,,99,59
6264,富裔,Real Estate,Real Estate Services,10.35,241.32,250.9,1.0,2.8,275.63,9158.38,-0.39,-9.2,1.486,,99,72
2485,兆赫,Technology,Communication Equipment,18.2,0.21,-4.83,-4.83,-2.93,-0.84,7908.72,-0.83,-66.25,14.988,,99,7
3362,先進光,Technology,Electronic Components,238.0,-0.63,-0.23,-0.19,-0.28,99.0,7657.22,3.65,-20.54,29.178,63.7,98,48
6419,京晨科,Industrials,Security & Protection Services,113.0,-1.61,0.63,1.68,0.81,197.0,6530.67,6.03,116.01,45.819,18.33,98,96
1453,大將,Consumer Cyclical,Textile Manufacturing,17.55,-0.25,3.29,3.29,0.0,162.4,5382.63,0.7,45.37,1.857,24.5,98,94
4967,十銓,Technology,Computer Hardware,92.9,-1.22,0.77,3.3,2.78,8.59,5166.26,8.46,10.64,281.459,10.77,98,89
5522,遠雄,Real Estate,Real Estate—Development,72.2,1.37,-0.19,-0.16,132.0,-1.52,4291.19,5.22,256.82,30.311,13.58,98,97
8076,伍豐,Technology,Computer Hardware,33.3,0.6,0.81,4.37,124.0,0.04,4055.45,1.42,-24.47,8.849,23.27,98,37
1305,華夏,Basic Materials,Specialty Chemicals,16.7,4.2,-3.0,-1.5,133.57,-9.0,4037.76,0.3,-31.07,21.63,55.0,98,23
3512,皇龍,Real Estate,Real Estate Services,33.35,-578.93,-0.53,-0.35,118.55,0.07,3905.48,4.94,-87.9,27.369,6.72,98,5
3188,鑫龍騰,Real Estate,Real Estate—Development,30.95,-0.95,0.83,4.75,98.4,8.33,3539.41,3.22,298.92,14.885,9.38,98,97
1909,榮成,Basic Materials,Paper & Paper Products,13.9,19.58,9.76,1.11,3.5,99.77,3358.46,0.06,-20.38,35.665,228.33,98,48
2609,陽明,Industrials,Marine Shipping,65.5,0.48,0.54,1.18,100.5,1.77,3052.06,7.09,3.8,47.254,9.29,98,86
8086,宏捷科,Technology,Semiconductors,103.0,-0.03,0.27,0.37,105.0,2.09,2898.58,3.56,66.3,18.663,28.37,98,95
8906,花王,Industrials,Specialty Business Services,37.1,84.44,-0.21,-0.27,88.83,0.89,2854.79,-0.6,-16.19,6.178,,98,59
1907,永豐餘,Basic Materials,Paper & Paper Products,31.75,-16.0,-1.5,-0.6,-11.0,98.47,2839.77,1.16,-19.71,45.69,27.41,98,50
1467,南緯,Consumer Cyclical,Apparel Manufacturing,11.0,-33.39,0.14,0.17,84.12,5.08,2801.58,0.2,-38.03,20.111,54.75,98,16
1446,宏和,Consumer Cyclical,Textile Manufacturing,43.1,-0.04,1.05,21.8,52.25,24.67,2520.08,5.12,1265.06,14.259,8.38,98,98
2460,建通,Technology,Electronic Components,28.7,177.4,-0.17,-0.2,76.6,-0.83,2498.63,-1.06,7.46,17.807,,98,88
3062,建漢,Technology,Communication Equipment,36.95,13.31,6.68,0.87,6.0,74.93,2452.05,-0.24,-22.65,11.176,,98,42
5426,振發,Industrials,Metal Fabrication,28.5,-0.5,-0.92,-0.48,-1.75,80.89,2355.66,0.04,-24.24,9.361,687.5,97,38
3227,原相,Technology,Semiconductors,249.5,0.66,-0.01,-0.01,1.21,66.33,2184.29,9.19,-0.1,49.653,26.88,97,83
4960,誠美材,Technology,Electronic Components,13.1,-2.0,-2.5,-0.71,30.0,31.0,2046.61,-0.39,-26.48,16.289,,97,32
3605,宏致,Technology,Electronic Components,58.8,24.0,-5.5,-0.85,2.47,61.5,2042.69,0.08,-12.74,65.251,730.0,97,67
5487,通泰,Technology,Electronic Components,37.7,18.46,2.25,0.69,75.2,1.12,2040.99,-0.77,-25.49,7.15,,97,34
3313,斐成,Industrials,Engineering & Construction,16.4,-7.62,1.11,10.44,-0.6,14.9,2028.54,1.41,239562.82,0.419,11.31,97,99
5534,長虹,Real Estate,Real Estate—Development,98.6,3.27,-1.4,-0.58,63.0,-0.67,2015.25,7.39,187.42,39.062,12.87,97,97
6596,寬宏藝術,Communication Services,Entertainment,72.1,-2.04,0.02,0.02,2.04,1.44,1980.68,7.73,52.02,61.574,9.25,97,94
2103,台橡,Basic Materials,Specialty Chemicals,24.45,0.22,0.25,0.34,6.8,0.03,1911.89,1.17,-11.9,40.282,20.94,97,68
8107,大億金茂,Consumer Cyclical,Auto Parts,28.05,-0.22,1.44,3.25,3.65,54.0,1876.73,0.32,-2.04,10.154,85.94,97,81
2530,華建,Real Estate,Real Estate Services,40.25,1.7,1.3,4.33,32.0,24.0,1858.15,1.49,38702.28,5.36,26.44,97,99
4909,新復興,Technology,Electronic Components,154.5,-0.16,0.5,1.02,14.2,45.0,1855.67,3.96,317.45,17.321,36.74,97,97
3712,永崴投控,Technology,Semiconductors,52.0,0.36,-0.25,-0.2,16.0,38.5,1807.97,4.02,42.15,85.898,12.71,97,94
