Ticker,Name,Sector,Industry,Price,EPS QoQ (%),QoQ 2Q Algo (%),QoQ 3Q Algo (%),EPS YoY (%),YoY 2Q Algo (%),EPS RS,TTM EPS,Rev RS,TTM RPS,TTM PE,Rating (EPS RS),Rating (Rev RS)
6186,新潤,Real Estate,Real Estate—Development,68.0,0.6,0.24,0.32,12.9,2.78,466.45,4.25,649.79,28.762,15.86,91,98
1442,名軒,Real Estate,Real Estate Services,65.4,0.66,0.87,6.65,10.9,2.49,464.09,7.91,755.34,25.932,8.37,91,98
1468,昶和,Consumer Cyclical,Textile Manufacturing,14.4,0.88,-0.06,-0.06,2.36,13.5,463.99,0.76,-12.2,6.74,18.95,91,68
6743,安普新,Technology,Consumer Electronics,58.3,3.77,-1.17,-7.0,23.0,-0.73,461.19,0.53,20.35,33.228,109.43,91,91
3481,群創,Technology,Electronic Components,15.75,4.75,-0.36,-0.57,6.0,0.82,457.89,-1.05,-27.23,26.657,,91,31
6174,安碁,Technology,Electronic Components,20.8,-4.71,0.68,2.1,-2.29,1.0,455.64,0.25,-27.9,8.876,84.4,91,30
9946,三發地產,Real Estate,Real Estate—Diversified,26.8,2.67,3.0,3.0,4.5,11.0,451.66,0.74,119.99,5.081,35.0,90,96
1539,巨庭,Industrials,Specialty Industrial Machinery,29.05,-0.56,0.05,0.05,0.0,13.8,449.52,1.65,-58.46,23.462,16.64,90,7
3294,英濟,Technology,Electronic Components,33.2,0.43,-0.21,-0.18,5.7,12.57,441.97,0.44,-16.03,34.196,73.41,90,60
4956,光鋐,Technology,Electronic Components,28.45,7.5,0.08,0.07,12.5,0.92,437.7,-1.01,-17.79,11.416,,90,55
2440,太空梭,Industrials,Electrical Equipment & Parts,14.05,1.0,1.0,0.5,15.5,3.0,435.54,-0.56,13.79,25.364,,90,89
8932,智通*,Consumer Cyclical,Apparel Manufacturing,85.5,0.3,0.39,0.63,0.84,12.17,434.89,1.19,16.48,7.376,73.03,90,90
4157,太景*-KY,Healthcare,Biotechnology,14.65,10.0,0.0,0.0,8.0,6.0,427.04,0.33,232.73,0.208,43.64,90,97
