Ticker,Name,Sector,Industry,Price,EPS QoQ (%),QoQ 2Q Algo (%),QoQ 3Q Algo (%),EPS YoY (%),YoY 2Q Algo (%),EPS RS,TTM EPS,Rev RS,TTM RPS,TTM PE,Rating (EPS RS),Rating (Rev RS)
2724,藝舍-KY,Consumer Cyclical,Lodging,31.6,3.71,-1.3,-4.32,31000000.0,-13.0,1033332986.8,-0.39,16.09,2.719,,99,90
2369,菱生,Technology,Semiconductor Equipment & Materials,19.2,2.08,-0.72,-2.62,27000000.0,0.0,899999952.69,-0.56,-27.06,15.287,,99,30
3349,寶德,Technology,Computer Hardware,25.8,4000.68,-0.05,-0.06,4320.65,0.38,143963.44,-1.63,-51.83,9.024,,99,9
8038,長園科,Industrials,Electrical Equipment & Parts,26.2,-0.39,-0.24,-0.32,-3.37,-3.56,34795.84,-1.38,-637.64,2.054,,99,2
1213,大飲,Consumer Defensive,Beverages - Non-Alcoholic,12.0,391.69,0.27,0.21,656.53,-0.26,21785.12,-1.82,-15.45,1.417,,99,60
4541,晟田,Industrials,Aerospace & Defense,29.55,2.2,-0.58,-1.37,2.12,1.27,18535.65,-0.59,-11.74,18.375,,99,68
6609,瀧澤科,Technology,Electronic Components,105.0,6.08,-3.42,-0.77,555.83,-1.5,18504.51,2.45,-21.32,32.536,43.47,99,44
2705,六福,Consumer Cyclical,Lodging,17.4,-453.17,78.76,1.01,0.88,453.17,15103.76,-0.02,-15.77,11.879,,99,59
6264,富裔,Real Estate,Real Estate Services,9.95,241.32,250.9,1.0,2.8,275.63,9160.46,-0.39,-8.8,1.486,,99,72
2485,兆赫,Technology,Communication Equipment,17.75,0.21,-4.83,-4.83,-2.93,-0.84,7910.79,-0.83,-65.85,14.988,,99,6
3362,先進光,Technology,Electronic Components,222.5,-0.63,-0.23,-0.19,-0.28,99.0,7659.29,3.63,-20.14,29.178,62.12,98,47
6419,京晨科,Industrials,Security & Protection Services,107.5,-1.61,0.63,1.68,0.81,197.0,6532.75,6.03,116.41,45.819,18.24,98,96
1453,大將,Consumer Cyclical,Textile Manufacturing,16.05,-0.25,3.29,3.29,0.0,162.4,5384.71,0.7,45.77,1.857,23.86,98,94
4967,十銓,Technology,Computer Hardware,90.3,-1.22,0.77,3.3,2.78,8.59,5168.33,8.46,11.04,281.459,10.67,98,89
5522,遠雄,Real Estate,Real Estate—Development,67.5,1.37,-0.19,-0.16,132.0,-1.52,4293.27,5.22,257.22,30.311,13.26,98,97
8076,伍豐,Technology,Computer Hardware,32.0,0.6,0.81,4.37,124.0,0.04,4057.52,1.42,-24.07,8.849,22.82,98,37
1305,華夏,Basic Materials,Specialty Chemicals,16.05,4.2,-3.0,-1.5,133.57,-9.0,4039.83,0.3,-30.67,21.63,54.17,98,23
3512,皇龍,Real Estate,Real Estate Services,32.35,-578.93,-0.53,-0.35,118.55,0.07,3907.56,4.94,-87.5,27.369,6.57,98,5
3188,鑫龍騰,Real Estate,Real Estate—Development,27.45,-0.95,0.83,4.75,98.4,8.33,3541.49,3.22,299.32,14.885,8.85,98,97
1909,榮成,Basic Materials,Paper & Paper Products,13.4,19.58,9.76,1.11,3.5,99.77,3360.54,0.06,-19.98,35.665,225.83,98,48
2609,陽明,Industrials,Marine Shipping,66.4,0.48,0.54,1.18,100.5,1.77,3054.14,7.09,4.2,47.254,9.87,98,86
8086,宏捷科,Technology,Semiconductors,92.4,-0.03,0.27,0.37,105.0,2.09,2900.66,3.56,66.7,18.663,26.74,98,95
8906,花王,Industrials,Specialty Business Services,35.45,84.44,-0.21,-0.27,88.83,0.89,2856.87,-0.6,-15.79,6.178,,98,59
1907,永豐餘,Basic Materials,Paper & Paper Products,30.55,-16.0,-1.5,-0.6,-11.0,98.47,2841.85,1.16,-19.31,45.69,27.03,98,50
1467,南緯,Consumer Cyclical,Apparel Manufacturing,10.55,-33.39,0.14,0.17,84.12,5.08,2803.66,0.2,-37.63,20.111,53.0,98,16
1446,宏和,Consumer Cyclical,Textile Manufacturing,42.6,-0.04,1.05,21.8,52.25,24.67,2522.16,5.12,1265.46,14.259,8.69,98,98
2460,建通,Technology,Electronic Components,27.45,177.4,-0.17,-0.2,76.6,-0.83,2500.7,-1.06,7.86,17.807,,98,88
3062,建漢,Technology,Communication Equipment,36.05,13.31,6.68,0.87,6.0,74.93,2454.13,-0.24,-22.25,11.176,,98,41
5426,振發,Industrials,Metal Fabrication,28.5,-0.5,-0.92,-0.48,-1.75,80.89,2357.74,0.04,-23.84,9.361,783.75,97,37
3227,原相,Technology,Semiconductors,244.0,0.66,-0.01,-0.01,1.21,66.33,2186.36,9.2,0.3,49.653,26.52,97,83
4960,誠美材,Technology,Electronic Components,12.7,-2.0,-2.5,-0.71,30.0,31.0,2048.68,-0.39,-26.08,16.289,,97,32
3605,宏致,Technology,Electronic Components,55.2,24.0,-5.5,-0.85,2.47,61.5,2044.77,0.08,-12.34,65.251,692.5,97,67
5487,通泰,Technology,Electronic Components,38.15,18.46,2.25,0.69,75.2,1.12,2043.06,-0.77,-25.09,7.15,,97,34
3313,斐成,Industrials,Engineering & Construction,15.1,-7.62,1.11,10.44,-0.6,14.9,2030.61,1.41,239563.22,0.419,11.03,97,99
5534,長虹,Real Estate,Real Estate—Development,87.5,3.27,-1.4,-0.58,63.0,-0.67,2017.32,7.39,187.82,39.062,12.34,97,97
6596,寬宏藝術,Communication Services,Entertainment,72.3,-2.04,0.02,0.02,2.04,1.44,1982.76,7.69,52.42,61.574,9.45,97,94
