Ticker,Sector,Industry,Price,EPS QoQ (%),QoQ 2Q Algo (%),QoQ 3Q Algo (%),EPS YoY (%),YoY 2Q Algo (%),EPS RS,TTM EPS,Rev RS,TTM RPS,TTM PE,Rating (EPS RS),Rating (Rev RS)
CYCC,Healthcare,Biotechnology,3.73,528000000.0,-0.83,3.0,3632000000.0,,242133330000.46,43.2,273333333333225.2,0.001,0.09,99,96
UXIN,Consumer Cyclical,Auto & Truck Dealerships,3.735,32349200.0,-0.18,32.38,1800000000.0,,119999996500.4,-33.97,19.87,9.311,,99,85
MCRB,Healthcare,Biotechnology,12.38,-1.04,-0.51,3.64,2.46,,19777774468.87,-7.95,-1.6103e+17,,,99,1
ONC,Healthcare,Biotechnology,255.69,143000000.0,-0.22,0.0,247000000.0,,16466663216.14,-3.63,40.54,39.413,,99,89
YSG,Consumer Defensive,Household & Personal Products,9.31,400000000.0,-2.33,-0.5,120000000.0,,7999996542.72,-0.81,-12.99,35.437,,99,25
AKTX,Healthcare,Biotechnology,1.1265,11871550.0,1.0,2.38,0.0,,5999996539.49,0.0,-10.76,,,99,33
LUNR,Industrials,Aerospace & Defense,10.86,12.49,-0.79,-3.52,23.36,,5386385840.25,-2.06,-0.27,2.75,,99,66
UNCY,Healthcare,Biotechnology,5.38,2500000.0,1.0,-2.6,61000000.0,,4066663195.43,0.0,306666666666651.44,,,99,96
COE,Consumer Defensive,Education & Training Services,29.01,0.0,10923000.0,0.98,60000000.0,,3999996530.13,-0.6,270.95,10.235,,99,94
MYGN,Healthcare,Diagnostics & Research,5.72,47000000.0,-0.96,0.71,29000000.0,,1933329833.86,-1.12,-10.24,9.138,,99,38
RENB,Healthcare,Biotechnology,0.3104,4000000.0,6.0,0.46,54000000.0,0.75,1799996547.47,-0.25,-10.76,,,99,33
ACTG,Industrials,Business Equipment & Supplies,3.81,2.79,0.0,-0.75,25000000.0,,1666663200.25,-0.11,270.34,2.263,,99,94
KNTK,Energy,Oil & Gas Midstream,41.74,4.0,-34.0,-0.54,-1.4,,1644440877.17,0.95,20.83,26.476,43.89,99,85
LITB,Consumer Cyclical,Apparel Manufacturing,1.27,0.0,-12000000.0,2.54,24000000.0,,1599996568.16,0.12,-57.08,12.573,10.58,99,8
INSE,Consumer Cyclical,Gambling,8.73,-239000000.0,18.92,0.71,22000000.0,,1466663297.19,2.44,-8.08,10.317,3.66,99,44
ASPC,Financial Services,Shell Companies,10.27,1.35,3.85,-26.75,20107200.0,,1340471501.61,0.02,-10.76,,513.5,99,33
PBYI,Healthcare,Biotechnology,3.6,-5.5,-0.05,5.56,2.67,,1311107826.65,0.78,-8.45,4.749,4.56,99,43
TPG,Financial Services,Asset Management,54.2,1.0,0.0,4.75,-0.12,,1222218745.17,-0.31,-23.04,34.586,,99,14
STR,Energy,Oil & Gas E&P,17.92,-0.08,-0.07,-0.07,0.3,,1222218742.23,0.52,24.83,7.996,34.41,99,86
BCRX,Healthcare,Drug Manufacturers - Specialty & Generic,9.06,13000000.0,-0.86,-0.17,17000000.0,,1133329884.79,-0.26,41.69,2.428,,99,89
ACDC,Energy,Oil & Gas Equipment & Services,7.52,4.46,-1.26,0.45,-12000000.0,,1082712033.72,-1.5,11.64,13.804,,99,81
JAMF,Technology,Software - Application,8.87,13000000.0,-0.3,0.5,16000000.0,,1066663202.36,-0.37,2.66,4.997,,99,71
TWFG,Financial Services,Insurance Brokers,33.86,-0.22,0.37,-5.57,9000000.0,,916663200.57,0.27,4.52,11.535,125.11,99,73
TSSI,Technology,Information Technology Services,24.59,0.44,-0.33,1.0,13000000.0,,866664312.71,0.36,366.78,10.151,62.99,99,94
MIR,Industrials,Specialty Industrial Machinery,20.78,3500000.0,1.0,-0.17,13000000.0,,866663232.88,-0.05,7.975555555555556e+17,4.115,,99,99
JRSH,Consumer Cyclical,Apparel Manufacturing,3.315,0.0,-5000000.0,3.2,25000000.0,-2000000.0,766663148.19,-0.07,13.27,11.827,,98,82
THTX,Healthcare,Biotechnology,3.14,-3000000.0,-1.0,2.0,10000000.0,,666663257.05,-0.19,3.15,1.796,,98,72
TACT,Technology,Computer Hardware,3.76,79000000.0,-12.17,-1.0,10000000.0,,666663221.86,-0.89,4.57,4.568,,98,73
LIND,Consumer Cyclical,Travel Services,13.16,48000000.0,-2.23,2.23,10000000.0,,666663221.19,-0.57,26.66,12.393,,98,87
UMH,Real Estate,REIT - Residential,17.08,0.0,-11000000.0,10.0,9000000.0,,599996611.79,0.12,-3.67,3.148,143.12,98,57
PBPB,Consumer Cyclical,Restaurants,12.75,-15000000.0,0.25,-8.67,9000000.0,,599996610.94,1.4,-6.87,15.544,9.07,98,48
ARQ,Industrials,Pollution & Treatment Controls,5.97,3000000.0,-2.33,2.5,9000000.0,,599996469.98,-0.05,7.1,3.084,,98,76
EE,Energy,Oil & Gas Midstream,27.62,0.07,0.25,0.33,1.0,,566663281.39,1.49,30.74,38.914,18.17,98,88
EEX,Communication Services,Advertising Agencies,5.115,1.67,2.67,-0.67,8000000.0,,533329999.5,0.01,12.57,2.163,526.0,98,81
SRAD,Technology,Software - Application,29.41,8000000.0,-12000000.0,25.94,8000000.0,,533329889.75,0.2,9.09,3.829,146.3,98,78
BIGC,Technology,Software - Application,5.2,3000000.0,2.0,0.67,8000000.0,,533329888.45,-0.27,-4.05,4.286,,98,56
ALCY,Financial Services,Shell Companies,11.5,-5.67,-5.67,0.11,-2.29,,516663048.18,0.16,-10.76,,71.88,98,33
TDAC,Financial Services,Shell Companies,10.27,0.33,0.5,1.0,7000000.0,,466663351.47,0.06,-10.76,,171.67,98,33
BYRN,Industrials,Aerospace & Defense,32.3,-5.14,7.6,-0.8,7000000.0,,466663221.59,0.62,38.79,4.208,41.95,98,89
CPNG,Consumer Cyclical,Internet Retail,30.17,-0.5,1.25,2.0,6000000.0,,399996860.07,0.14,-4.2,17.285,218.11,98,56
BWAY,Healthcare,Medical Devices,13.0,-0.33,1.0,0.0,6000000.0,,399996574.08,0.22,11.23,2.356,57.68,98,80
LFST,Healthcare,Medical Care Facilities,4.75,1000000.0,1.0,2.0,6000000.0,,399996570.76,-0.09,4.24,3.37,,98,73
JVA,Consumer Defensive,Packaged Foods,4.37,-0.82,0.29,0.41,11000000.0,2.33,366663311.68,0.64,6.83,14.829,7.07,98,76
PHLT,Healthcare,Health Information Services,4.28,1000000.0,2.0,0.33,5000000.0,,333329872.54,-0.08,3.53,1.656,,98,72
GLBZ,Financial Services,Banks - Regional,5.655,6.0,-5.0,2.75,5000000.0,,333329709.87,0.01,-13.46,3.981,558.98,98,24
ASM,Basic Materials,Other Precious Metals & Mining,3.81,0.0,3.0,0.0,4000000.0,,266663302.91,0.1,43.68,0.529,38.95,98,90
CLOV,Healthcare,Healthcare Plans,3.17,4000000.0,-1.0,-3.0,4000000.0,,266663266.05,-0.04,10.32,3.017,,98,80
CEPO,Financial Services,Shell Companies,11.76,1.03,36.8,2.08,4000000.0,,266663214.17,0.04,-10.76,,294.0,98,33
BB,Technology,Software - Infrastructure,4.13,1000000.0,1.0,0.5,7000000.0,9.0,233329511.29,0.02,-15.48,0.899,207.75,98,21
GDRX,Healthcare,Health Information Services,4.87,0.5,1.0,-1.0,3000000.0,,199996596.86,0.07,-7.97,2.082,70.21,98,44
XTNT,Healthcare,Medical Devices,0.67,2000000.0,1.0,-0.33,3000000.0,,199996495.01,-0.09,11.39,0.9,,98,80
VRAR,Technology,Software - Infrastructure,1.47,-7000000.0,6000000.0,0.25,0.29,4000000.0,133329894.82,-0.36,-16.87,0.463,,98,19
ARMN,Basic Materials,Gold,6.97,1000000.0,1000000.0,-5.0,2.0,4000000.0,133329342.23,0.16,23.55,3.376,43.72,98,86
PCYO,Utilities,Utilities - Regulated Water,10.64,-4.33,0.14,0.17,3000000.0,0.78,99996552.05,0.56,14.07,1.242,18.66,98,82
TALK,Healthcare,Health Information Services,2.78,-1000000.0,0.0,4.57,1000000.0,,66663241.25,0.02,5.36,1.151,137.25,98,74
HLMN,Industrials,Tools & Accessories,7.67,1000000.0,-5.0,-0.5,1000000.0,,66663235.01,0.1,-8.67,7.537,79.55,98,42
WRN,Basic Materials,Other Industrial Metals & Mining,1.27,171700.0,1.0,4.82,1000000.0,,66663206.12,-0.02,-10.76,,,98,33
NVEE,Industrials,Engineering & Construction,23.38,-8.0,-2.11,1.2,1000000.0,,66663191.96,0.45,-0.68,15.545,52.11,98,65
KFFB,Financial Services,Banks - Regional,2.9105,0.0,185500.0,69.08,1000000.0,,66663158.41,-0.13,-2.04,1.026,,98,61
CFSB,Financial Services,Banks - Regional,13.8,3000000.0,-30.48,-32.48,1000000.0,,66662958.42,0.0,-5.85,1.192,,98,50
PLG,Basic Materials,Other Precious Metals & Mining,1.52,2000000.0,0.0,0.0,1000000.0,0.0,33329886.12,-0.05,-10.76,,,98,33
NEWP,Basic Materials,Other Precious Metals & Mining,1.51,-1000000.0,1000000.0,0.0,0.0,1000000.0,33329867.23,-0.03,-10.76,,,98,33
RSSS,Technology,Software - Application,3.0199,8.0,-4.5,1.0,1000000.0,-35.67,33328583.85,-0.14,-3.7,1.597,,98,57
NXT,Technology,Solar,63.92,0.0,0.0,-0.07,-0.85,0.19,22220928.7,3.47,15.16,20.616,18.22,98,83
CTKB,Healthcare,Medical Devices,3.58,-1.25,-5.0,9.0,-0.8,,22218643.53,-0.09,-10.71,1.516,,98,37
MULN,Consumer Cyclical,Auto Manufacturers,0.167,318.88,64.45,0.98,114666.02,239.09,3830998.81,-43028.52,406666666676511.2,875.133,,98,96
ADTX,Healthcare,Biotechnology,1.21,371.78,1.0,5.27,10926.75,,725177.68,-25.94,-5121.87,0.293,,98,4
DVLT,Technology,Software - Infrastructure,0.691,1196.44,1.0,7.55,4457.33,,294285.11,-10.97,72.84,0.174,,98,92
ALLR,Healthcare,Biotechnology,1.05,14.92,0.94,7.56,2655.64,,177911.52,648.26,-10.76,,0.0,98,33
AACT,Financial Services,Shell Companies,11.32,-0.6,-0.37,0.0,-1.0,,103610.4,0.37,-10.76,,30.65,98,33
TRNR,Consumer Cyclical,Personal Services,7.26,3.17,20.07,10.42,1540.28,,100329.64,-37.9,239.54,54.755,,98,94
VLCN,Consumer Cyclical,Auto Manufacturers,7.7,12.65,0.93,-7.1,1220.38,,77969.01,7710.67,62.0,30.411,0.0,98,91
DTSQ,Financial Services,Shell Companies,10.4,-0.45,-0.31,111.68,230.93,,54576.97,0.21,-10.76,,49.48,98,33
CNSP,Healthcare,Biotechnology,0.94,3.46,0.78,25.88,644.87,,39602.95,-924.6,-10.76,,,97,33
AZTR,Healthcare,Biotechnology,0.2529,-0.15,-0.18,15.12,562.48,,34270.26,127.0,-982.64,0.001,0.0,97,4
ATMC,Financial Services,Shell Companies,11.84,-0.04,-0.04,-2.01,-2.75,,29817.08,0.19,-10.76,,62.37,97,33
BEAG,Financial Services,Shell Companies,10.46,1.04,25.12,-6.7,492.8,,29652.73,0.14,-10.76,,74.62,97,33
MBIO,Healthcare,Biotechnology,3.11,19.5,0.95,7.75,495.2,,29632.4,-13.81,-10.76,,,97,33
CETX,Technology,Software - Infrastructure,1.28,4.97,18.18,0.95,715.03,146.57,25653.29,-13.84,33.87,76.866,,97,88
SYTA,Technology,Communication Equipment,3.98,0.35,0.26,298.0,374.58,,22400.18,725.61,-1.88,20.755,0.01,97,62
ATCH,Technology,Software - Infrastructure,0.215,-0.16,-39.83,6.11,376.28,,20823.9,-429.92,-1.4739005555555494e+16,,,97,2
