Ticker,Name,Sector,Industry,Price,EPS QoQ (%),QoQ 2Q Algo (%),QoQ 3Q Algo (%),EPS YoY (%),YoY 2Q Algo (%),EPS RS,TTM EPS,Rev RS,TTM RPS,TTM PE,Rating (EPS RS),Rating (Rev RS)
3236,千如,Technology,Electronic Components,16.1,174.93,0.99,-3.17,876.14,,58272.07,0.19,-42.78,17.817,85.0,99,29
3062,建漢,Technology,Communication Equipment,25.5,0.98,57.25,-2.0,477.39,,32715.7,2.31,-19.78,11.681,11.13,99,78
4916,事欣科,Technology,Computer Hardware,40.6,0.38,0.61,4.41,291.25,,18927.87,0.52,-41.83,34.803,78.46,99,31
4541,晟田,Industrials,Aerospace & Defense,41.6,0.04,0.04,2.17,5.13,,11684.04,2.01,-22.51,21.795,20.67,99,75
1512,瑞利,Consumer Cyclical,Auto Parts,8.8,75.34,1.01,-15.0,169.38,,11658.29,-0.5,-38.04,10.851,,99,41
8374,羅昇,Industrials,Industrial Distribution,91.5,0.23,0.3,2.0,147.06,,9730.09,0.84,-0.71,36.427,111.43,99,89
1593,祺驊,Consumer Cyclical,Leisure,28.2,-0.19,-0.16,0.35,130.58,,8662.54,2.12,-31.38,28.972,13.3,99,59
1806,冠軍,Industrials,Building Products & Equipment,9.92,-1.75,-0.64,17.0,0.33,,8000.42,0.32,-38.64,8.842,31.56,99,40
2485,兆赫,Technology,Communication Equipment,11.25,0.22,0.18,-2.0,-0.71,,7950.11,-2.52,-144.03,6.441,,99,4
6141,柏承,Technology,Electronic Components,11.65,26.33,0.96,0.2,80.67,,5296.16,-5.63,-84.16,17.737,,99,5
5213,亞昕,Real Estate,Real Estate Services,27.7,1.59,2.7,-0.85,78.5,,5251.42,3.04,395.74,25.535,9.31,98,98
2363,矽統,Technology,Semiconductors,53.4,-574.39,-1.0,6.93,77.62,,5176.52,0.84,835.48,1.883,63.45,98,98
4503,金雨,Industrials,Business Equipment & Supplies,52.0,33.97,1.03,-3.83,72.84,,4837.99,-0.97,5.59,5.793,,98,91
4967,十銓,Technology,Computer Hardware,71.5,-0.36,-0.27,-0.07,-3.1,,4681.71,3.73,29.75,274.229,19.28,98,94
3605,宏致,Technology,Electronic Components,55.5,0.18,0.21,0.92,67.5,,4472.84,3.48,-18.95,74.188,16.29,98,79
5310,天剛,Technology,Computer Hardware,44.75,-1.69,-0.63,21.27,-1.57,,4429.67,2.18,-326.54,0.038,20.34,98,2
4420,光明,Consumer Cyclical,Textile Manufacturing,54.7,-0.1,-0.09,35.69,8.18,,4350.54,11.72,-9.39,22.631,4.66,98,86
1445,大宇,Consumer Cyclical,Textile Manufacturing,14.0,8.0,8.0,-8.0,37.94,,3616.47,-1.34,-56.63,7.253,,98,12
3504,揚明光,Industrials,Electrical Equipment & Parts,45.2,3.67,3.67,6.29,51.25,,3362.9,-0.12,-36.77,22.875,,98,45
4555,氣立,Technology,Electronic Components,33.65,279.07,1.0,-7.5,43.86,,2833.61,-0.81,-32.72,22.095,,98,55
6649,台生材,Healthcare,Medical Devices,36.95,1.08,13.67,0.0,40.5,,2724.66,0.77,153.1,3.465,47.66,98,97
1799,易威,Healthcare,Drug Manufacturers - Specialty & Generic,50.1,2.0,0.67,2.6,40.0,,2662.71,-0.41,46.86,5.097,,98,95
1423,利華,Consumer Cyclical,Textile Manufacturing,37.0,0.4,0.66,0.23,36.0,,2372.56,1.53,-75.03,0.93,24.18,98,7
2008,高興昌,Basic Materials,Steel,24.35,-0.83,-0.45,-0.12,32.71,,2220.92,0.33,-20.89,8.191,73.79,98,77
3454,晶睿,Industrials,Security & Protection Services,106.0,-0.35,-0.26,2.7,31.5,,2106.58,4.03,-17.9,89.161,26.55,98,80
2724,藝舍-KY,Consumer Cyclical,Lodging,25.25,-40.75,-1.03,9.39,20.0,,1989.92,3.79,87.74,9.418,6.57,98,96
6596,寬宏藝術,Communication Services,Entertainment,154.0,0.28,0.39,1.95,0.72,,1989.44,7.85,-24.29,45.192,20.13,98,72
1315,達新,Consumer Cyclical,Apparel Manufacturing,66.2,-0.94,-0.48,-0.35,-1.62,,1907.95,1.89,-28.49,23.373,34.71,98,65
3363,上詮,Technology,Communication Equipment,294.0,7.5,1.15,-2.86,30.0,,1865.85,-0.17,-8.99,14.703,,98,87
