Ticker,Sector,Industry,Price,EPS QoQ (%),QoQ 2Q Algo (%),QoQ 3Q Algo (%),EPS YoY (%),YoY 2Q Algo (%),EPS RS,TTM EPS,Rev RS,TTM RPS,TTM PE,Rating (EPS RS),Rating (Rev RS)
NCNA,Healthcare,Biotechnology,2.86,10000000000.0,-399.0,1399.0,2500000000.0,,166666666576.38,-1747.21,-8.97,,,99,31
MCRB,Healthcare,Biotechnology,18.8,-2.66,-1.04,-0.51,0.91,2.46,19777777776.77,-6.79,-1.6103e+17,,,99,1
ODP,Consumer Cyclical,Specialty Retail,21.31,97000000.0,-7.82,-16.91,205000000.0,,13666666071.64,1.38,-16.71,215.806,16.09,99,16
LUNR,Industrials,Aerospace & Defense,8.42,-1.0,12.49,-0.79,-2.55,,5386387472.48,-3.23,26.81,2.388,,99,86
LPCN,Healthcare,Biotechnology,2.89,-0.17,0.09,0.08,0.39,-2.89,3444444126.67,-0.84,20.7,0.787,,99,84
HDL,Consumer Cyclical,Restaurants,18.8,0.5,2.0,-4.0,30000000.0,,1999999944.75,1.0,9.1,13.69,19.0,99,76
KNTK,Energy,Oil & Gas Midstream,42.69,5.6,4.0,-34.0,-0.64,,1644444287.58,0.73,15.28,27.381,57.47,99,82
LITB,Consumer Cyclical,Apparel Manufacturing,1.75,0.0,-12000000.0,2.54,24000000.0,,1599999927.66,0.12,-55.29,12.573,15.5,99,7
PBYI,Healthcare,Biotechnology,5.11,1.0,-5.5,-0.05,2.33,,1311111163.93,0.99,-2.49,4.824,5.08,99,53
KAR,Consumer Cyclical,Auto & Truck Dealerships,29.15,-0.12,-0.61,1.42,16000000.0,,1066666667.64,0.73,-0.85,17.287,39.82,99,58
FENC,Healthcare,Biotechnology,9.18,-1.75,0.5,2.5,0.82,,666666616.36,-0.45,1705555555555713.5,1.212,,99,97
EHAB,Healthcare,Medical Care Facilities,7.86,-2.5,3.63,1.39,10000000.0,,666666515.88,-2.66,-8.31,20.55,,99,36
JOB,Industrials,Staffing & Employment Services,0.191,30000000.0,-29.0,8.5,18000000.0,-29.0,600017939.22,-0.34,-18.97,0.995,,98,14
EE,Energy,Oil & Gas Midstream,23.74,-2.2,0.07,0.25,-0.8,,566666522.14,1.34,1.95,37.377,17.69,98,65
MIR,Industrials,Specialty Industrial Machinery,20.99,4000000.0,3500000.0,1.0,2.5,13000000.0,433333342.38,0.05,7.975555555555556e+17,4.08,458.0,98,99
JVA,Consumer Defensive,Packaged Foods,4.11,-0.82,0.29,0.41,11000000.0,2.33,366666671.18,0.64,8.63,14.829,6.48,98,76
NAGE,Healthcare,Biotechnology,9.32,-0.4,-0.29,3.5,5000000.0,,333333289.7,0.22,20.26,1.501,42.77,98,84
MITK,Technology,Software - Application,9.66,-3.0,3.0,-2.9,5000000.0,,333333207.69,0.33,-3.43,3.897,29.73,98,50
GRAF,Financial Services,Shell Companies,10.49,0.0,-0.12,-0.11,8000000.0,44.29,266711247.38,0.46,-8.97,,22.8,98,31
CTMX,Healthcare,Biotechnology,2.1,-27000000.0,0.59,1.43,8000000.0,0.59,266668677.88,0.5,-13.23,1.457,4.56,98,20
LINK,Technology,Electronic Components,9.11,9000000.0,-0.8,0.2,4000000.0,,266666537.85,-0.2,10.33,1.19,,98,78
LFST,Healthcare,Medical Care Facilities,5.47,-1000000.0,1000000.0,1.0,5.0,6000000.0,200000096.93,-0.04,5.86,3.44,,98,72
