Ticker,Name,Sector,Industry,Price,EPS QoQ (%),QoQ 2Q Algo (%),QoQ 3Q Algo (%),EPS YoY (%),YoY 2Q Algo (%),EPS RS,TTM EPS,Rev RS,TTM RPS,TTM PE,Rating (EPS RS),Rating (Rev RS)
2724,藝舍-KY,Consumer Cyclical,Lodging,33.4,3.71,-1.3,-4.32,31000000.0,-13.0,1033332985.35,-0.39,16.04,2.719,,99,90
2369,菱生,Technology,Semiconductor Equipment & Materials,21.8,2.08,-0.72,-2.62,27000000.0,0.0,899999951.24,-0.56,-27.11,15.287,,99,30
3349,寶德,Technology,Computer Hardware,26.0,4000.68,-0.05,-0.06,4320.65,0.38,143961.99,-1.63,-51.88,9.024,,99,9
8038,長園科,Industrials,Electrical Equipment & Parts,27.0,-0.39,-0.24,-0.32,-3.37,-3.56,34794.38,-1.38,-637.69,2.054,,99,2
1213,大飲,Consumer Defensive,Beverages—Non-Alcoholic,12.4,391.69,0.27,0.21,656.53,-0.26,21783.67,-1.82,-15.5,1.417,,99,60
4541,晟田,Industrials,Aerospace & Defense,31.6,2.2,-0.58,-1.37,2.12,1.27,18534.2,-0.59,-11.79,18.375,,99,68
6609,瀧澤科,Technology,Electronic Components,119.0,6.08,-3.42,-0.77,555.83,-1.5,18503.06,2.45,-21.37,32.536,47.55,99,45
2705,六福,Consumer Cyclical,Lodging,17.4,-453.17,78.76,1.01,0.88,453.17,15102.31,-0.02,-15.82,11.879,,99,59
6264,富裔,Real Estate,Real Estate Services,9.65,241.32,250.9,1.0,2.8,275.63,9159.01,-0.39,-8.85,1.486,,99,72
2485,兆赫,Technology,Communication Equipment,18.1,0.21,-4.83,-4.83,-2.93,-0.84,7909.34,-0.83,-65.9,14.988,,99,7
3362,先進光,Technology,Electronic Components,241.0,-0.63,-0.23,-0.19,-0.28,99.0,7657.84,3.65,-20.19,29.178,65.34,98,48
6419,京晨科,Industrials,Security & Protection Services,114.5,-1.61,0.63,1.68,0.81,197.0,6531.3,6.03,116.36,45.819,18.57,98,96
1453,大將,Consumer Cyclical,Textile Manufacturing,17.4,-0.25,3.29,3.29,0.0,162.4,5383.26,0.7,45.72,1.857,24.5,98,94
4967,十銓,Technology,Computer Hardware,92.2,-1.22,0.77,3.3,2.78,8.59,5166.88,8.46,10.99,281.459,10.87,98,89
