Ticker,Name,Sector,Industry,Price,EPS QoQ (%),QoQ 2Q Algo (%),QoQ 3Q Algo (%),EPS YoY (%),YoY 2Q Algo (%),EPS RS,TTM EPS,Rev RS,TTM RPS,TTM PE,Rating (EPS RS),Rating (Rev RS)
2724,藝舍-KY,Consumer Cyclical,Lodging,33.0,3.71,-1.3,-4.32,31000000.0,-13.0,1033332990.28,-0.39,15.97,2.719,,99,90
2369,菱生,Technology,Semiconductor Equipment & Materials,20.0,-2.08,2.08,-0.72,-5.25,27000000.0,899999781.17,-0.82,-29.45,15.287,,99,26
3349,寶德,Technology,Computer Hardware,25.8,4000.68,-0.05,-0.06,4320.65,0.38,143966.92,-1.63,-51.94,9.024,,99,9
8038,長園科,Industrials,Electrical Equipment & Parts,25.85,-0.39,-0.24,-0.32,-3.37,-3.56,34799.31,-1.38,-637.75,2.054,,99,2
1213,大飲,Consumer Defensive,Beverages - Non-Alcoholic,12.1,391.69,0.27,0.21,656.53,-0.26,21788.59,-1.82,-15.56,1.417,,99,60
4541,晟田,Industrials,Aerospace & Defense,32.75,2.2,-0.58,-1.37,2.12,1.27,18539.13,0.02,-11.85,18.375,1585.0,99,68
6609,瀧澤科,Technology,Electronic Components,111.5,6.08,-3.42,-0.77,555.83,-1.5,18507.99,2.45,-21.44,32.536,41.22,99,44
2705,六福,Consumer Cyclical,Lodging,17.75,-453.17,78.76,1.01,0.88,453.17,15107.23,-0.02,-15.88,11.879,,99,59
6264,富裔,Real Estate,Real Estate Services,9.6,241.32,250.9,1.0,2.8,275.63,9163.93,-0.39,-8.91,1.486,,99,72
2485,兆赫,Technology,Communication Equipment,18.35,0.21,-4.83,-4.83,-2.93,-0.84,7914.27,-0.83,-65.96,14.988,,99,7
3362,先進光,Technology,Electronic Components,226.0,-0.63,-0.23,-0.19,-0.28,99.0,7662.77,3.64,-20.25,29.178,57.14,98,47
6419,京晨科,Industrials,Security & Protection Services,115.5,-1.61,0.63,1.68,0.81,197.0,6536.22,6.03,116.3,45.819,19.24,98,96
1453,大將,Consumer Cyclical,Textile Manufacturing,16.35,-0.25,3.29,3.29,0.0,162.4,5388.18,0.7,45.66,1.857,23.14,98,94
4967,十銓,Technology,Computer Hardware,90.6,-1.22,0.77,3.3,2.78,8.59,5171.81,8.46,10.93,281.459,11.47,98,89
5522,遠雄,Real Estate,Real Estate—Development,67.3,1.37,-0.19,-0.16,132.0,-1.52,4296.74,5.22,257.11,30.311,12.89,98,97
8076,伍豐,Technology,Computer Hardware,32.85,0.6,0.81,4.37,124.0,0.04,4061.0,1.42,-24.18,8.849,22.68,98,37
1305,華夏,Basic Materials,Specialty Chemicals,16.0,4.2,-3.0,-1.5,133.57,-9.0,4043.31,0.3,-30.79,21.63,52.5,98,24
3512,皇龍,Real Estate,Real Estate Services,31.7,-578.93,-0.53,-0.35,118.55,0.07,3911.03,4.94,-87.61,27.369,6.35,98,5
3188,鑫龍騰,Real Estate,Real Estate—Development,28.4,-0.95,0.83,4.75,98.4,8.33,3544.96,3.22,299.21,14.885,8.39,98,97
1436,華友聯,Real Estate,Real Estate - Development,122.0,1.37,16.94,-6.39,50.87,48.83,3298.22,20.86,1284.49,66.752,5.66,98,98
2609,陽明,Industrials,Marine Shipping,69.7,0.48,0.54,1.18,100.5,1.77,3057.61,7.09,4.09,47.254,10.08,98,86
8906,花王,Industrials,Specialty Business Services,33.55,84.44,-0.21,-0.27,88.83,0.89,2860.34,-0.6,-15.9,6.178,,98,59
1907,永豐餘,Basic Materials,Paper & Paper Products,31.2,-16.0,-1.5,-0.6,-11.0,98.47,2845.32,1.16,-19.42,45.69,26.94,98,49
8086,宏捷科,Technology,Semiconductors,93.3,-1.52,-0.03,0.27,-0.5,105.0,2817.8,3.33,-5.07,18.663,27.93,98,78
1467,南緯,Consumer Cyclical,Apparel Manufacturing,10.6,-33.39,0.14,0.17,84.12,5.08,2807.13,0.2,-37.74,20.111,53.25,98,16
1446,宏和,Consumer Cyclical,Textile Manufacturing,42.05,-0.04,1.05,21.8,52.25,24.67,2525.63,5.12,1265.34,14.259,8.26,98,98
2460,建通,Technology,Electronic Components,28.1,177.4,-0.17,-0.2,76.6,-0.83,2504.17,-1.06,7.74,17.807,,98,88
3062,建漢,Technology,Communication Equipment,39.85,13.31,6.68,0.87,6.0,74.93,2457.6,-0.24,-22.36,11.176,,98,41
5426,振發,Industrials,Metal Fabrication,34.3,-0.5,-0.92,-0.48,-1.75,80.89,2361.21,0.43,-23.95,9.361,87.67,97,37
8420,明揚,Consumer Cyclical,Leisure,41.95,-21.15,6.52,9.14,69.42,0.67,2295.97,-0.54,-87.73,20.143,,97,5
3227,原相,Technology,Semiconductors,259.0,0.66,-0.01,-0.01,1.21,66.33,2189.84,9.2,0.19,49.653,25.38,97,83
2034,允強,Basic Materials,Steel,22.15,-9.06,-0.67,2.6,71.45,-6.67,2064.87,-0.45,-27.61,30.807,,97,30
3605,宏致,Technology,Electronic Components,54.7,24.0,-5.5,-0.85,2.47,61.5,2048.24,0.08,-12.45,65.251,640.0,97,66
5487,通泰,Technology,Electronic Components,38.4,18.46,2.25,0.69,75.2,1.12,2046.54,-0.77,-25.2,7.15,,97,34
3313,斐成,Industrials,Engineering & Construction,16.3,-7.62,1.11,10.44,-0.6,14.9,2034.09,1.41,239563.11,0.419,11.49,97,99
5534,長虹,Real Estate,Real Estate—Development,88.9,3.27,-1.4,-0.58,63.0,-0.67,2020.79,7.39,187.71,39.062,11.84,97,97
6596,寬宏藝術,Communication Services,Entertainment,73.0,-2.04,0.02,0.02,2.04,1.44,1986.23,7.69,52.31,61.574,9.35,97,94
2103,台橡,Basic Materials,Specialty Chemicals,24.35,0.1,0.22,0.25,1.26,6.8,1958.47,1.4,-2.54,40.282,17.0,97,80
8107,大億金茂,Consumer Cyclical,Auto Parts,30.65,-0.22,1.44,3.25,3.65,54.0,1882.28,0.32,-1.75,10.154,92.97,97,81
2530,華建,Real Estate,Real Estate Services,40.0,1.7,1.3,4.33,32.0,24.0,1863.7,1.49,38702.57,5.36,27.11,97,99
4909,新復興,Technology,Electronic Components,132.0,-0.16,0.5,1.02,14.2,45.0,1861.21,8.12,317.74,17.321,16.56,97,97
3712,永崴投控,Technology,Semiconductors,52.9,0.36,-0.25,-0.2,16.0,38.5,1813.52,4.02,42.44,85.898,13.03,97,93
8928,鉅明,Consumer Cyclical,Leisure,32.15,-3.24,-1.59,5.17,2.92,55.0,1790.58,0.91,7.03,57.038,35.49,97,87
4416,三圓,Real Estate,Real Estate Services,79.5,-1.14,15000000.0,15000000.0,-2.14,3.2,1773.62,0.17,-24.02,1.811,467.65,97,37
3296,勝德,Technology,Consumer Electronics,27.85,-3.0,0.0,0.0,44.0,12.5,1751.9,0.02,-16.34,16.451,1332.5,97,58
2316,楠梓電,Technology,Electronic Components,52.6,-0.02,0.19,0.23,47.5,5.95,1739.58,6.74,-46.55,18.348,7.66,97,11
4912,聯德控股-KY,Industrials,Metal Fabrication,112.0,1.4,-0.72,-0.42,11.75,41.5,1713.2,6.88,3.65,86.945,15.99,97,85
