Ticker,Sector,Industry,Price,EPS QoQ (%),QoQ 2Q Algo (%),QoQ 3Q Algo (%),EPS YoY (%),YoY 2Q Algo (%),EPS RS,TTM EPS,Rev RS,TTM RPS,TTM PE,Rating (EPS RS),Rating (Rev RS)
CYCC,Healthcare,Biotechnology,9.05,528000000.0,-0.83,3.0,3632000000.0,,242133333039.27,43.2,273333333333227.1,0.016,0.21,99,96
UXIN,Consumer Cyclical,Auto & Truck Dealerships,3.82,32349200.0,-0.18,32.38,1800000000.0,,119999999539.2,-33.93,21.77,9.311,,99,85
SMLR,Healthcare,Medical Devices,35.28,2.18,-2.85,3.55,571000000.0,,38066666251.42,4.56,-58.88,4.723,7.57,99,7
MCRB,Healthcare,Biotechnology,14.53,-2.66,-1.04,-0.51,0.91,2.46,19777777456.07,-6.79,-1.6103e+17,,,99,1
ODP,Consumer Cyclical,Specialty Retail,18.2,97000000.0,-7.82,-16.91,205000000.0,,13666665750.95,1.38,-16.61,215.806,14.07,99,17
YSG,Consumer Defensive,Household & Personal Products,8.94,400000000.0,-2.33,-0.5,120000000.0,,7999999581.53,-0.81,-11.09,35.437,,99,24
RCUS,Healthcare,Biotechnology,9.16,114000000.0,-0.11,-0.03,102000000.0,,6799999509.61,-3.14,184.98,2.702,,99,94
AKTX,Healthcare,Biotechnology,1.05,11871550.0,1.0,2.38,0.0,,5999999578.3,0.0,-8.86,,,99,32
LUNR,Industrials,Aerospace & Defense,10.15,-1.0,12.49,-0.79,-2.55,,5386387151.78,-3.23,26.91,2.388,,99,86
UNCY,Healthcare,Biotechnology,4.01,2500000.0,1.0,-2.6,61000000.0,,4066666234.24,0.0,306666666666653.25,,,99,96
APPN,Technology,Software - Infrastructure,27.8,2000000.0,8.0,-5.0,60000000.0,,3999999571.71,-0.23,8.42,8.93,,99,76
COE,Consumer Defensive,Education & Training Services,32.77,0.0,10923000.0,0.98,60000000.0,,3999999568.93,-0.6,272.85,10.235,,99,94
LPCN,Healthcare,Biotechnology,2.95,-0.17,0.09,0.08,0.39,-2.89,3444443805.97,-0.84,20.8,0.787,,99,84
BXMT,Real Estate,REIT - Mortgage,18.6,4000000.0,16000000.0,1.0,9.75,71000000.0,2366666529.48,-0.07,-5.93,1.371,,99,42
ACDC,Energy,Oil & Gas Equipment & Services,6.09,-4.58,4.46,-1.26,-0.6,,1882715032.85,-1.75,3.79,13.314,,99,69
QRVO,Technology,Semiconductors,86.98,-0.21,-0.29,3.44,28000000.0,,1866666145.57,0.85,-17.27,38.863,105.61,99,16
RENB,Healthcare,Biotechnology,0.2381,4000000.0,6.0,0.46,54000000.0,0.75,1799999586.27,-0.25,-8.86,,,99,32
VTRS,Healthcare,Drug Manufacturers - Specialty & Generic,9.86,255000000.0,-4.93,-6.37,27000000.0,,1799999104.13,-2.93,-15.79,11.881,,99,18
KNTK,Energy,Oil & Gas Midstream,40.7,5.6,4.0,-34.0,-0.64,,1644443966.89,0.73,15.39,27.381,57.47,99,82
LITB,Consumer Cyclical,Apparel Manufacturing,1.35,0.0,-12000000.0,2.54,24000000.0,,1599999606.96,0.12,-55.18,12.573,11.17,99,8
