Ticker,Name,Sector,Industry,Price,EPS QoQ (%),QoQ 2Q Algo (%),QoQ 3Q Algo (%),EPS YoY (%),YoY 2Q Algo (%),EPS RS,TTM EPS,Rev RS,TTM RPS,TTM PE,Rating (EPS RS),Rating (Rev RS)
2724,藝舍-KY,Consumer Cyclical,Lodging,33.95,3.71,-1.3,-4.32,31000000.0,-13.0,1033332988.0,-0.39,15.59,2.719,,99,90
2369,菱生,Technology,Semiconductor Equipment & Materials,17.9,2.08,-0.72,-2.62,27000000.0,0.0,899999953.89,-0.56,-27.56,15.287,,99,30
3349,寶德,Technology,Computer Hardware,25.9,4000.68,-0.05,-0.06,4320.65,0.38,143964.64,-1.63,-52.33,9.024,,99,9
8038,長園科,Industrials,Electrical Equipment & Parts,27.4,-0.39,-0.24,-0.32,-3.37,-3.56,34797.04,-1.38,-638.13,2.054,,99,2
1213,大飲,Consumer Defensive,Beverages—Non-Alcoholic,11.95,391.69,0.27,0.21,656.53,-0.26,21786.32,-1.82,-15.95,1.417,,99,60
4541,晟田,Industrials,Aerospace & Defense,28.8,2.2,-0.58,-1.37,2.12,1.27,18536.85,-0.59,-12.23,18.375,,99,68
6609,瀧澤科,Technology,Electronic Components,91.7,6.08,-3.42,-0.77,555.83,-1.5,18505.71,2.45,-21.82,32.536,35.06,99,45
2705,六福,Consumer Cyclical,Lodging,17.2,-453.17,78.76,1.01,0.88,453.17,15104.96,-0.02,-16.26,11.879,,99,59
6264,富裔,Real Estate,Real Estate Services,10.5,241.32,250.9,1.0,2.8,275.63,9161.66,-0.39,-9.3,1.486,,99,72
2485,兆赫,Technology,Communication Equipment,17.5,0.21,-4.83,-4.83,-2.93,-0.84,7911.99,-0.83,-66.34,14.988,,99,7
3362,先進光,Technology,Electronic Components,237.0,-0.63,-0.23,-0.19,-0.28,99.0,7660.49,3.65,-20.63,29.178,64.52,98,48
6419,京晨科,Industrials,Security & Protection Services,102.0,-1.61,0.63,1.68,0.81,197.0,6533.95,6.03,115.91,45.819,17.25,98,96
1453,大將,Consumer Cyclical,Textile Manufacturing,17.3,-0.25,3.29,3.29,0.0,162.4,5385.91,0.7,45.27,1.857,24.79,98,94
4967,十銓,Technology,Computer Hardware,101.5,-1.22,0.77,3.3,2.78,8.59,5169.53,8.46,10.55,281.459,10.8,98,89
5522,遠雄,Real Estate,Real Estate—Development,70.7,1.37,-0.19,-0.16,132.0,-1.52,4294.47,5.22,256.72,30.311,13.7,98,97
8076,伍豐,Technology,Computer Hardware,34.1,0.6,0.81,4.37,124.0,0.04,4058.72,1.42,-24.57,8.849,23.27,98,37
