Ticker,Sector,Industry,Price,EPS QoQ (%),QoQ 2Q Algo (%),QoQ 3Q Algo (%),EPS YoY (%),YoY 2Q Algo (%),EPS RS,TTM EPS,Rev RS,TTM RPS,TTM PE,Rating (EPS RS),Rating (Rev RS)
MCRB,Healthcare,Biotechnology,18.03,-2.66,-1.04,-0.51,0.91,2.46,19777757525.07,-6.79,-1.6103e+17,,,99,1
LUNR,Industrials,Aerospace & Defense,9.58,-1.0,12.49,-1.14,-2.55,,5386367227.37,-3.23,28.47,2.388,,99,86
LPCN,Healthcare,Biotechnology,2.85,-0.17,0.09,0.08,0.39,-2.89,3444423874.97,-0.84,22.36,0.787,,99,85
BXMT,Real Estate,REIT - Mortgage,19.45,4000000.0,16000000.0,1.0,9.75,71000000.0,2366646598.48,-0.07,-4.37,1.371,,99,40
HDL,Consumer Cyclical,Restaurants,18.8,0.5,2.0,-4.0,30000000.0,,1999979693.05,1.0,10.77,13.69,19.16,99,76
KNTK,Energy,Oil & Gas Midstream,44.17,5.6,4.0,-34.0,-0.64,,1644424035.89,0.73,16.95,27.381,58.82,99,82
BN,Financial Services,Asset Management,70.75,6.5,-12.0,25.0,15000000.0,,999979608.46,0.44,-24.58,52.034,163.2,99,10
JG,Technology,Software - Infrastructure,9.4578,39999900.0,-2.0,2.0,13333300.0,,888866406.18,-0.15,-0.01,58.4,,99,55
LITB,Consumer Cyclical,Apparel Manufacturing,2.04,12000000.0,0.0,-12000000.0,12000000.0,,799979675.96,0.12,-31.24,12.01,16.59,99,9
BEDU,Consumer Defensive,Education & Training Services,1.93,0.0,30.78,-13.43,12000000.0,,799979586.08,-4.15,-11.08,6.008,,99,19
CALX,Technology,Software - Infrastructure,64.04,7000000.0,2.86,-3.5,12000000.0,,799979559.89,-0.41,9.92,13.213,,99,76
FENC,Healthcare,Biotechnology,8.93,-1.75,0.5,2.5,0.82,,666646364.66,-0.45,1705555555555715.5,1.212,,99,97
JOB,Industrials,Staffing & Employment Services,0.2065,30000000.0,-29.0,8.5,18000000.0,-29.0,599997687.52,-0.34,-17.31,0.995,,99,13
EE,Energy,Oil & Gas Midstream,24.35,-2.2,0.07,0.25,-0.8,,566646270.45,1.34,3.62,37.377,17.93,98,65
BB,Technology,Software - Infrastructure,4.2,1000000.0,1.0,0.5,7000000.0,,466645878.07,0.02,-12.02,0.899,210.5,98,18
MIR,Industrials,Specialty Industrial Machinery,24.6,4000000.0,3500000.0,1.0,2.5,13000000.0,433313090.68,0.05,7.975555555555556e+17,4.08,488.8,98,99
CDE,Basic Materials,Gold,16.28,0.83,-0.5,-0.33,11000000.0,2.33,366646405.87,0.4,73.34,3.009,43.55,98,92
JVA,Consumer Defensive,Packaged Foods,5.44,-2.91,-0.82,0.29,-2.91,11000000.0,366646244.74,0.32,13.18,15.722,16.62,98,79
MITK,Technology,Software - Application,10.36,-3.0,3.0,-2.9,5000000.0,,333312955.99,0.33,-1.77,3.897,30.88,98,49
GRAF,Financial Services,Shell Companies,10.53,0.0,-0.12,-0.11,8000000.0,44.29,266690995.69,0.46,-7.3,,22.93,98,30
CTMX,Healthcare,Biotechnology,2.04,-27000000.0,0.59,1.43,8000000.0,0.59,266648426.18,0.5,-11.56,1.457,3.96,98,19
LINK,Technology,Electronic Components,10.34,9000000.0,-0.8,0.2,4000000.0,,266646286.15,-0.2,12.0,1.19,,98,78
CTLP,Technology,Software - Infrastructure,10.6,0.0,8.57,0.75,12.4,10.17,211091554.34,0.86,6.41,4.135,12.36,98,70
LFST,Healthcare,Medical Care Facilities,5.37,-1000000.0,1000000.0,1.0,5.0,6000000.0,199979845.23,-0.04,7.52,3.44,,98,72
CEPO,Financial Services,Shell Companies,10.4,1.0,1.03,36.8,48.11,4000000.0,133314203.5,0.11,-7.3,,94.36,98,30
DSP,Technology,Software - Application,9.4,4.5,-2.57,0.22,2000000.0,,133313028.95,0.13,8.07,19.632,69.92,98,73
MCHX,Communication Services,Advertising Agencies,1.9,5000000.0,-0.25,-1.0,2000000.0,,133312974.82,-0.1,-10.89,1.092,,98,20
CTM,Technology,Information Technology Services,1.06,1000000.0,0.5,0.33,3000000.0,7.0,99979888.56,-0.09,15.45,0.806,,98,81
DEFT,Financial Services,Capital Markets,2.72,-9083900.0,0.21,0.27,2000000.0,3.05,66646436.24,0.06,-160.67,0.241,42.0,98,5
MNKD,Healthcare,Biotechnology,5.61,-4000000.0,0.33,-0.33,1000000.0,,66646429.9,0.11,17.78,1.038,49.36,98,82
KRMD,Healthcare,Medical Instruments & Supplies,4.04,3000000.0,0.0,0.0,2000000.0,0.33,66646317.58,-0.1,10.98,0.802,,98,77
KFFB,Financial Services,Banks - Regional,3.4,0.0,185500.0,69.08,1000000.0,,66646266.21,-0.13,1.42,1.087,,98,59
CFSB,Financial Services,Banks - Regional,14.03,3000000.0,-30.48,-32.48,1000000.0,,66646066.23,0.0,-2.39,1.215,,98,47
GROY,Basic Materials,Gold,3.62,1000000.0,-3.0,-3.0,1000000.0,0.0,33313090.52,-0.01,427.73,0.073,,98,94
CTKB,Healthcare,Medical Devices,4.09,1.25,-1.25,-5.0,1.0,-0.8,22201819.48,-0.05,-3.26,1.522,,98,43
BINI,Consumer Cyclical,Auto Manufacturers,0.051,103.84,96.59,-0.09,8545.4,7.65,264741.02,-4749.94,406666666667098.9,93.806,,98,96
DTSQ,Financial Services,Shell Companies,10.49,-2.32,-0.45,-0.31,18.52,230.93,30604.75,0.28,-7.3,,37.46,98,30
EMPD,Consumer Cyclical,Auto Manufacturers,7.73,-7.32,12.65,0.93,-1.56,1220.59,23007.59,-255.73,69.85,13.978,,98,91
DGLY,Communication Services,Internet Content & Information,2.01,-879.5,4.64,4.64,1083.02,2.02,15791.62,-4926.18,-7.33,70.888,,97,26
CETX,Technology,Software - Infrastructure,0.6565,-3.28,4.97,18.05,335.01,715.03,15042.52,1708.22,8.47,47.814,0.0,97,73
INOD,Technology,Information Technology Services,69.91,-0.09,-0.36,-0.76,475.22,,11778.39,1.29,58.9,7.466,54.71,97,91
BEAG,Financial Services,Shell Companies,10.38,0.0,1.04,25.12,380.13,492.8,9004.94,0.37,-7.3,,28.05,97,30
CNSP,Healthcare,Biotechnology,8.74,-3.06,3.46,0.78,12.66,525.65,5627.43,2131.86,-7.3,,0.0,97,30
EONR,Energy,Oil & Gas E&P,0.506,0.83,2.55,0.72,1.0,7.18,2019.35,-0.55,6.656962999999995e+16,1.376,,97,99
