Ticker,Sector,Industry,Price,EPS QoQ (%),QoQ 2Q Algo (%),QoQ 3Q Algo (%),EPS YoY (%),YoY 2Q Algo (%),EPS RS,TTM EPS,Rev RS,TTM RPS,TTM PE,Rating (EPS RS),Rating (Rev RS)
NCNA,Healthcare,Biotechnology,3.67,10000000000.0,-399.0,1399.0,2500000000.0,,166666546586.16,-1764.82,-8.73,,,99,31
UXIN,Consumer Cyclical,Auto & Truck Dealerships,3.61,32349200.0,-0.18,32.38,1800000000.0,,119999879869.68,-34.22,21.9,9.311,,99,84
SMLR,Healthcare,Medical Devices,28.54,2.18,-2.85,3.55,571000000.0,,38066546581.9,4.56,-58.74,4.723,6.4,99,7
UNCY,Healthcare,Biotechnology,4.09,-52000000.0,25000000.0,1.0,-2.54,610000000.0,20333213161.05,-2.74,306666666666653.44,,,99,96
MCRB,Healthcare,Biotechnology,17.57,-2.66,-1.04,-0.51,0.91,2.46,19777657786.55,-6.79,-1.6103e+17,,,99,1
ODP,Consumer Cyclical,Specialty Retail,21.3,97000000.0,-7.82,-16.91,205000000.0,,13666546081.42,1.38,-16.47,215.806,15.02,99,17
RCUS,Healthcare,Biotechnology,11.5,114000000.0,-0.11,-0.03,102000000.0,,6799879840.09,-3.14,185.11,2.702,,99,93
AKTX,Healthcare,Biotechnology,0.77,0.0,11871550.0,1.0,0.0,0.0,5999879908.78,0.0,-8.73,,,99,31
LUNR,Industrials,Aerospace & Defense,8.52,-1.0,12.49,-0.79,-2.55,,5386267482.26,-3.23,27.05,2.388,,99,86
APPN,Technology,Software - Infrastructure,31.5,2000000.0,8.0,-5.0,60000000.0,,3999879902.19,-0.23,8.55,8.93,,99,75
LPCN,Healthcare,Biotechnology,2.94,-0.17,0.09,0.08,0.39,-2.89,3444324136.45,-0.84,20.94,0.787,,99,84
BXMT,Real Estate,REIT - Mortgage,19.73,4000000.0,16000000.0,1.0,9.75,71000000.0,2366546859.95,-0.07,-5.79,1.371,,99,42
HDL,Consumer Cyclical,Restaurants,19.03,0.5,2.0,-4.0,30000000.0,,1999879954.53,1.0,9.34,13.69,19.03,99,76
ACDC,Energy,Oil & Gas Equipment & Services,3.9,-4.58,4.46,-1.26,-0.6,,1882595363.32,-1.75,3.93,13.314,,99,68
QRVO,Technology,Semiconductors,87.67,-0.21,-0.29,3.44,28000000.0,,1866546476.04,0.85,-17.13,38.863,102.13,99,16
RENB,Healthcare,Biotechnology,0.2006,4000000.0,6.0,0.46,54000000.0,0.75,1799879916.75,-0.25,-8.73,,,99,31
VTRS,Healthcare,Drug Manufacturers - Specialty & Generic,10.17,255000000.0,-4.93,-6.37,27000000.0,,1799879434.61,-2.93,-15.65,11.881,,99,17
KNTK,Energy,Oil & Gas Midstream,43.25,5.6,4.0,-34.0,-0.64,,1644324297.36,0.73,15.52,27.381,59.9,99,81
